left_cluster,right_cluster,distance,n_observations
433,434,0.0020109956331185105,2
367,368,0.0020372735184060234,2
234,235,0.002245913938877373,2
397,398,0.002287201196828935,2
474,475,0.003656308109061289,2
423,424,0.0038010167891992953,2
349,350,0.003824745102890765,2
261,263,0.0040140538275040254,2
327,329,0.004056092178420479,2
122,124,0.004058136374408848,2
289,291,0.004156980327671575,2
215,217,0.004358786626838408,2
266,268,0.004408039964806457,2
43,44,0.004479750478985102,2
5,7,0.004522716541789029,2
73,75,0.00452384806234909,2
206,208,0.00482412741808929,2
192,194,0.005014716232240259,2
164,166,0.005067914681579793,2
17,18,0.005131998029273085,2
21,23,0.005247332115307639,2
149,151,0.005328565742366578,2
178,180,0.005375116526801663,2
78,80,0.005375751096665162,2
257,259,0.00550903725286322,2
214,216,0.006403552400004228,2
126,509,0.006409377752056099,3
162,163,0.006442099397585831,2
54,56,0.0065439946828395245,2
19,20,0.006648939449793525,2
127,129,0.007013640781896655,2
47,49,0.007102229757822107,2
72,74,0.007147645992138117,2
269,271,0.007206056061766745,2
24,27,0.0072759339045503305,2
388,390,0.007321640126800537,2
477,504,0.007360047435311188,3
39,42,0.0074497541089476255,2
294,296,0.007449811680896954,2
378,381,0.007478576078765001,2
152,153,0.007829242414272337,2
418,419,0.007833336777525074,2
117,120,0.007834568456499437,2
187,188,0.007980480295217744,2
357,360,0.008069586932066462,2
464,468,0.008276880793623735,2
96,100,0.008334492939585632,2
410,412,0.008348836707383468,2
407,411,0.00836766693249739,2
150,154,0.008390407764979013,2
81,82,0.008580714557650058,2
318,319,0.008594908865881268,2
157,159,0.008699294387137898,2
305,308,0.008719835435077912,2
487,490,0.008785505434103558,2
76,532,0.008831071827582023,3
394,503,0.009269456529864183,3
133,134,0.009402478413817512,2
245,247,0.009572064097138743,2
444,447,0.009576160377678184,2
442,445,0.009589386402469799,2
339,342,0.009715534784534751,2
425,429,0.009993478403693287,2
106,111,0.010059207271846279,2
380,382,0.010181889124255952,2
93,98,0.010389153174767372,2
489,494,0.01041616183150293,2
46,531,0.010440246297889609,3
219,525,0.010534629506985645,3
137,142,0.010650732682672361,2
427,431,0.010717542127513625,2
9,14,0.010729546307477508,2
77,523,0.01079318790974465,3
232,236,0.010859026749492046,2
155,521,0.01085950707545386,3
108,563,0.010898532267314893,3
12,16,0.010961109664237205,2
59,61,0.01098262721440143,2
175,522,0.011233309370454567,3
332,334,0.011279599589028763,2
104,109,0.011287301088280167,2
29,32,0.011329935168698485,2
369,371,0.011356992674954276,2
140,145,0.011390094155894922,2
331,335,0.011482482065581084,2
197,202,0.011542265898014537,2
195,196,0.011894558902869742,2
512,533,0.011924951705127869,4
272,278,0.01209642833936964,2
135,141,0.012213197741877551,2
160,518,0.012226105480196734,3
222,511,0.012241836493289783,3
34,40,0.012264648531064688,2
288,510,0.01242830594867432,3
321,551,0.012466802392281281,3
221,568,0.012601137565631778,4
84,89,0.012709475441241172,2
304,306,0.012868730615640032,2
25,581,0.01293961349586619,3
86,92,0.013027884321342473,2
110,114,0.013033720975772801,2
33,37,0.013060157136073072,2
284,287,0.013279575390377689,2
237,241,0.013305693887929392,2
30,31,0.01338486678329495,2
467,469,0.013385293789279192,2
295,538,0.013395062764118445,3
430,436,0.013405175848263643,2
161,552,0.013499892721477905,3
555,572,0.013547903387014113,6
174,177,0.01359510077918778,2
353,354,0.013619833192420595,2
181,543,0.013635217927993142,3
254,256,0.013733560092079893,2
48,513,0.01383791156238437,3
508,579,0.013961655115822766,4
209,516,0.014019685736876519,3
2,3,0.01403458161169426,2
190,193,0.01406681522087395,2
218,225,0.014118739471640584,2
131,526,0.014206950642650443,4
280,282,0.014228331455653056,2
87,94,0.014367469432194356,2
405,547,0.014381437207508674,3
6,8,0.01455633367528026,2
112,542,0.014600586655656599,3
498,499,0.01471173220291374,2
492,495,0.014964169338779665,2
529,534,0.014973141676064946,4
252,253,0.015121405530635375,2
200,201,0.015171529902632106,2
336,340,0.015252487751313508,2
281,285,0.01526823093535174,2
116,119,0.015359638143137224,2
374,379,0.015403233072671834,2
537,567,0.01556738409948213,5
144,574,0.015581300375363904,4
515,550,0.015649073331766697,4
507,613,0.015812239140161406,4
248,558,0.015878855898338585,3
366,501,0.016085582799363514,3
413,541,0.01626160671702387,3
213,591,0.016265937417045816,4
95,103,0.016278355811498214,2
38,45,0.016486506023364732,2
105,546,0.01663534320246537,3
316,324,0.016671326893400246,2
101,580,0.016775792891401006,3
10,571,0.016817739439797263,3
376,384,0.016858340431547467,2
414,420,0.016869747949907647,2
107,113,0.01688309899467564,2
199,585,0.016906776823038056,3
497,566,0.017037048412632514,3
364,372,0.017123368601097286,2
171,179,0.01714428552923279,2
520,576,0.017209717099336053,4
66,69,0.0172894475994986,2
52,58,0.017291935080194894,2
62,577,0.017331074778031343,3
293,301,0.01773560531657426,2
279,602,0.017995801475589067,3
466,545,0.018000467795122897,3
170,578,0.018134582976377465,4
185,612,0.018200433015387766,4
79,88,0.018373285141809168,2
260,524,0.018933100751647156,3
370,375,0.01894140811281021,2
298,597,0.018979843932047543,3
1,624,0.019106718840879527,3
409,548,0.019222300622269192,3
123,620,0.019293025783390212,5
83,596,0.01929438063715261,3
28,601,0.019368034034449165,3
172,610,0.019505867161106565,3
223,229,0.019563786305492496,2
457,458,0.0196758806943549,2
455,461,0.01984710786688446,2
617,648,0.019858683310571935,5
64,67,0.019897872633763317,2
243,573,0.019967393593597123,3
616,652,0.020082647539852488,6
26,519,0.020114940352373392,3
438,448,0.02013650290009794,2
158,540,0.020200642828748738,3
481,483,0.0204878595697368,2
549,636,0.02049023677849071,6
323,325,0.020529215727303797,2
249,255,0.0205452064505805,2
358,544,0.020575976956767425,3
575,633,0.020682960573823076,5
618,630,0.020715230929300298,4
465,605,0.02072857623767585,3
65,528,0.02088668030616357,3
517,586,0.02105567438818707,4
344,345,0.02106302722743101,2
456,459,0.021131193743451956,2
277,632,0.02120793746394406,3
315,553,0.021265255391435686,3
377,640,0.021305435191831295,4
165,590,0.021634269703375942,4
362,365,0.021651434257839254,2
53,635,0.021839328237193992,6
592,614,0.021877876883088315,5
341,352,0.022055712998045027,2
36,604,0.022160947492331228,3
250,666,0.02228066050545717,4
176,186,0.022326705882092675,2
146,569,0.02232836411488614,3
238,603,0.02238680423079009,3
300,593,0.022467624508461497,4
312,313,0.023059242234294664,2
130,589,0.023244770852279245,3
0,514,0.02332949844461593,3
337,347,0.02333616879938545,2
435,441,0.023355756548259006,2
440,560,0.023413609053781453,3
326,333,0.0234150597936744,2
267,275,0.023418762180753738,2
406,408,0.023590069860379422,2
51,659,0.023616992682410576,4
220,595,0.023897744641944434,5
251,638,0.023943308667510786,5
460,462,0.02420673286911767,2
182,664,0.02426701481382071,5
204,681,0.02429115599073194,7
143,684,0.02437484402228232,4
125,136,0.02439752509402313,2
404,416,0.024431281601288317,2
493,653,0.024472937794892943,4
361,506,0.02450957688200586,3
439,607,0.024671052177249013,3
4,13,0.02469647840544854,2
207,642,0.024777749781477926,5
320,615,0.02487735926949551,5
392,400,0.02489182169503594,2
90,599,0.0249425356681231,3
227,239,0.024990720679756002,2
307,606,0.02499719710466235,4
115,651,0.025053862448614607,3
228,619,0.025081567301337523,3
484,486,0.025151889863869726,2
302,314,0.025234610120889574,2
530,625,0.025380415002423686,5
