left_cluster,right_cluster,distance,n_observations
177,178,0.0020510652942325198,2
117,118,0.0032418220090816388,2
277,278,0.0036161905457272976,2
23,25,0.004019509351771092,2
247,249,0.004039894273594905,2
3,5,0.00404256275904933,2
71,72,0.0043166783419635105,2
151,152,0.004738901345613647,2
469,471,0.004836045475848389,2
315,317,0.005079916961684349,2
381,383,0.005094441154262848,2
124,127,0.006026166123665046,2
442,445,0.006035366737315545,2
433,436,0.006035694681768675,2
319,322,0.0060418086938498145,2
215,218,0.006913676790121204,2
311,314,0.007009432821156243,2
422,424,0.007349307894376661,2
134,135,0.007349560012474741,2
9,11,0.0074281007255617044,2
179,182,0.007499362785266207,2
373,375,0.007619047973013077,2
83,85,0.007675364995857701,2
389,390,0.00802445676605907,2
357,361,0.008052062329259391,2
283,284,0.008102816575627933,2
232,236,0.008103564504329025,2
194,198,0.008331841187577195,2
312,509,0.008600862110858786,3
35,39,0.008684995274493262,2
165,169,0.008907785048696605,2
439,512,0.009168786845091573,3
122,126,0.009408553983215657,2
368,371,0.00958738608209441,2
393,394,0.009671009136006445,2
376,521,0.009702997755514338,3
466,470,0.009758829133707625,2
68,506,0.009984807725502743,3
391,396,0.01004070812677841,2
53,58,0.010042407660100752,2
479,484,0.010048774279736784,2
176,181,0.01008123901295028,2
224,229,0.010100858858163449,2
56,60,0.010216217670670805,2
235,240,0.010426592350296061,2
443,448,0.010458226695739311,2
150,155,0.010472657327378237,2
454,459,0.010641767278272212,2
286,288,0.010763907138761273,2
429,431,0.010764692342908787,2
67,537,0.011272092391259238,4
282,502,0.011304114616558638,3
225,230,0.011363114872220734,2
401,403,0.011503805157093688,2
406,409,0.01160932022697348,2
13,519,0.012023324061313918,3
410,411,0.01203179036930688,2
185,191,0.012088798009567478,2
447,450,0.012160153667539942,2
387,388,0.012188952967595732,2
302,308,0.012194494984915297,2
340,345,0.012219967337322016,2
136,142,0.012241712004130054,2
183,184,0.01225072688831705,2
137,518,0.012267721126396408,3
231,237,0.012285273781190601,2
12,15,0.012391350423831557,2
360,366,0.012571722159570614,2
36,529,0.012649669123190514,3
190,192,0.012653147763025101,2
222,223,0.012710087577041548,2
44,46,0.01277800844736042,2
121,501,0.012809241374819993,3
462,467,0.012811430110622411,2
343,346,0.012831410990318853,2
287,293,0.012912886571164812,2
486,487,0.012994309369122298,2
398,534,0.013044510773338248,3
32,38,0.013244223358109477,2
20,26,0.013475619863547178,2
428,513,0.01350849924096753,3
446,531,0.013585861241926277,4
270,276,0.013621379233932229,2
203,205,0.013715454824284429,2
477,482,0.013820204722335997,2
298,299,0.013843223111210601,2
451,456,0.013864066674786466,2
294,301,0.014090303733207486,2
1,8,0.014150081138660868,2
457,547,0.014192509703861936,3
490,497,0.01428128967681393,2
334,341,0.014298098040129228,2
332,336,0.014321536343519858,2
427,430,0.014548388604519933,2
415,421,0.014550782917437352,2
412,414,0.014597458629649639,2
358,363,0.014735282515685427,2
228,526,0.014892751455144078,3
260,266,0.014945215280043951,2
149,546,0.015094585322349198,3
253,504,0.015223512470109425,3
197,202,0.01523181934708542,2
432,435,0.01544636954436406,2
158,159,0.015742731593341518,2
300,306,0.0157828127045937,2
251,252,0.01582662869436455,2
200,208,0.016401384750237596,2
356,524,0.016405712175572438,3
29,579,0.016424727687911495,3
94,95,0.01651826289752451,2
310,528,0.0166828547605062,4
320,327,0.01668839203942673,2
144,148,0.017020872381839813,2
335,342,0.01737906062416008,2
480,540,0.01757846998750459,3
220,552,0.0176297862300458,3
416,420,0.017843095743636284,2
473,481,0.01798617624902956,2
75,550,0.01800765443790491,5
385,386,0.0181533582174475,2
216,515,0.018158583712221003,3
474,483,0.018160822058666617,2
351,561,0.018186010397730466,3
309,313,0.018205279078205176,2
323,331,0.018213378944640077,2
461,463,0.018233873192465874,2
425,434,0.018352657707427316,2
81,88,0.018370149711543583,2
65,74,0.018412039840694,2
103,112,0.01849294611026544,2
40,48,0.01854697421349662,2
258,267,0.018705284924005687,2
280,289,0.01872659277978191,2
444,452,0.01887357479220172,2
488,590,0.018983659452986332,3
16,503,0.019203344414427042,3
304,560,0.019439905445883827,3
33,34,0.019460661011095583,2
514,516,0.019591687383155715,4
352,596,0.019711053988957505,3
256,265,0.01994133642078641,2
364,374,0.020145398153296145,2
147,156,0.020220948016213876,2
189,557,0.020447725986761103,3
455,458,0.020459910104220737,2
405,556,0.020597503521239124,3
291,296,0.02064359237428111,2
163,171,0.020828052064678748,2
318,328,0.021063768872529146,2
238,241,0.02131143338136962,2
168,541,0.021432829326465952,3
109,115,0.021456857701314398,2
399,408,0.021536175611299564,2
242,597,0.021545424134951408,4
510,535,0.02155082222364706,5
261,262,0.021634481388586934,2
392,402,0.021674161682087335,2
324,333,0.021692496212880982,2
460,468,0.021745260038561243,2
19,28,0.02194615292951201,2
89,96,0.022263397237757505,2
14,505,0.02272572552892556,3
611,638,0.022768162711264375,6
153,164,0.023097681080780245,2
139,141,0.02318900354044021,2
193,527,0.02320858375532525,3
54,61,0.02327830583215735,2
207,217,0.023585929513492566,2
128,138,0.023726749361714556,2
500,643,0.023754121396148062,5
476,573,0.02402418819778912,3
18,30,0.024133862327099194,2
491,499,0.024224392412465955,2
195,583,0.024227367950644445,3
494,495,0.02427287381544917,2
325,337,0.024322625926697188,2
423,595,0.024329708212038333,3
263,605,0.02439505947560131,3
43,571,0.02442411094209164,3
347,607,0.024486140562573543,4
17,659,0.024546378610620232,3
264,268,0.02470138234307037,2
485,634,0.02476946961818022,4
349,591,0.025006690835474785,3
498,576,0.02518759941812334,3
339,683,0.02536604287788956,4
397,553,0.02551481235522823,3
355,622,0.0255796565702978,4
80,618,0.025687932974528777,6
170,175,0.025728587754307173,2
303,623,0.025768032379507425,3
143,612,0.025802004107235266,3
100,660,0.025802782482588195,3
269,273,0.02585898884530861,2
161,599,0.0258696710942067,4
104,111,0.025942098582839905,2
329,675,0.025951036346424892,3
538,652,0.025978357006360885,4
400,559,0.026085416593715265,3
243,250,0.026266496808783655,2
536,589,0.026747801722496488,5
113,532,0.026823332901752678,3
545,558,0.027163713166473476,4
180,186,0.02747635985485354,2
592,624,0.027511138772210012,4
221,570,0.027560583517976363,3
271,274,0.027602609713439943,2
438,449,0.02767862523480374,2
359,372,0.027726824836978272,2
257,631,0.02775866254699152,3
21,566,0.027968447742549703,3
378,641,0.02805144193875086,3
107,119,0.02819163386568998,2
79,93,0.028252126923737745,2
523,654,0.028317885184336783,7
272,632,0.02840633073487886,3
577,656,0.028544402149138066,5
245,254,0.02855326802849389,2
370,382,0.0285767908344622,2
162,530,0.028613006186481063,3
66,73,0.02864034578879101,2
563,689,0.028673311055183115,4
214,227,0.028739707837679297,2
307,610,0.028799462656653327,5
70,77,0.028842085267636992,2
413,594,0.028964688590167365,3
525,587,0.028986440844478097,4
76,84,0.02915520956120427,2
464,478,0.02931102807466704,2
49,543,0.029366144756082808,3
544,615,0.029378099546778006,5
517,580,0.029426749046305004,5
52,63,0.029478326290488573,2
492,584,0.029761796920456867,3
201,209,0.029854220317672108,2
90,105,0.030286720734041934,2
123,511,0.030330242062899082,3
42,51,0.030403113284328542,2
55,628,0.030592828800054803,3
114,701,0.030707369646628502,4
206,569,0.030881526283280683,3
404,417,0.031030573298997628,2
10,608,0.031309432524941984,4
259,706,0.03141668794343485,3
348,362,0.03173615803958131,2
47,62,0.03176093914492777,2
210,213,0.03183264340309946,2
255,649,0.03197448286593806,3
106,116,0.032053505126709715,2
508,617,0.03216587654458605,4
99,522,0.03217178436494662,3
110,609,0.03218620144941791,3
120,564,0.03240945653193742,4
369,377,0.032578375678986915,2
279,575,0.032581165548412186,3
188,204,0.03262623395905761,2
330,574,0.032717518539218754,3
27,555,0.03278203944227904,4
101,651,0.03286588694819415,3
419,554,0.03330324052160698,3
567,679,0.03332827733058137,6
625,700,0.03366810156977571,7
