left_cluster,right_cluster,distance,n_observations
228,229,0.002010882874159101,2
408,409,0.0020185956437336777,2
243,244,0.0020246322179255523,2
85,86,0.002032006775398843,2
467,468,0.0020681844729767357,2
88,89,0.002073349673487694,2
178,179,0.00207566988723087,2
443,444,0.0021155199291182764,2
314,315,0.0021188856995245976,2
105,106,0.0021226146373769512,2
139,140,0.0021554124274674293,2
285,286,0.002212862333466601,2
222,223,0.0022264458139046824,2
366,367,0.0022425653137894633,2
208,209,0.0022428984422474666,2
164,165,0.002247649867294493,2
132,133,0.002341195162136154,2
254,255,0.0024651403762431926,2
307,308,0.0026157961216981955,2
338,339,0.002641013782474472,2
271,272,0.002645089023054668,2
43,44,0.0026988614244101037,2
121,122,0.002801475980634105,2
464,465,0.002818027917046549,2
62,63,0.0028503419593059968,2
331,332,0.002871605970167844,2
184,185,0.0029598103668901647,2
237,238,0.0029647567528191983,2
258,259,0.002966670738436796,2
33,34,0.003009470547099911,2
301,302,0.003069558586129754,2
344,345,0.0032497054008798895,2
226,227,0.003276355841783693,2
291,292,0.0033109270240855786,2
148,149,0.003429280960538093,2
420,421,0.0034375475076013485,2
472,473,0.0035135711841321683,2
354,355,0.0035361333720032233,2
405,406,0.003722368716833234,2
326,327,0.0038134774938430815,2
168,169,0.00383931285756943,2
284,511,0.0038614147163959136,3
300,530,0.00387893405468194,3
447,448,0.0039529776177447415,2
427,428,0.003978755233865799,2
189,191,0.004016089082436697,2
48,50,0.004016771401776667,2
95,97,0.004020935763377515,2
376,378,0.004021451281873781,2
170,172,0.004025553452749339,2
431,433,0.004026140190380132,2
432,434,0.0040273216310182484,2
484,486,0.00403135706659571,2
349,351,0.0040341457405719434,2
411,413,0.004041388977043425,2
7,8,0.00405377260750784,2
372,374,0.004098889668712995,2
100,101,0.00411191361040801,2
401,403,0.004132426702471634,2
125,127,0.004134589072927658,2
352,353,0.004141302918440879,2
173,175,0.00414307317102659,2
392,393,0.004149123115705263,2
341,343,0.004151533178084081,2
416,417,0.0041672070502535566,2
455,457,0.004189875816248861,2
363,364,0.004190442582996577,2
377,379,0.004266233250037268,2
277,279,0.004314621074493287,2
383,384,0.004451746501332529,2
36,38,0.004460072786492363,2
324,325,0.004531091091038409,2
261,263,0.004541061760292012,2
55,57,0.004697575149168085,2
274,275,0.004714627833442056,2
412,414,0.0047389694149742876,2
247,250,0.004785778329271981,2
316,318,0.004787006383758734,2
456,458,0.004812269381654139,2
195,196,0.004893812441002123,2
398,400,0.004985903917284091,2
460,462,0.005009098018932656,2
22,24,0.005037081388425281,2
312,508,0.005055151606686491,3
211,514,0.005091485630891502,3
278,280,0.005114452266147694,2
143,145,0.0051187773778452695,2
231,233,0.005134133874251793,2
474,475,0.005221824030636038,2
199,200,0.005239036408566643,2
176,506,0.00525012788637521,3
357,537,0.005254531770935688,3
288,290,0.005285439316692567,2
103,557,0.005334654617742712,3
423,535,0.0053492306334446,3
210,212,0.005372743385012212,2
187,526,0.0054219981304800425,3
320,321,0.005469030840577271,2
369,513,0.005482387437299251,3
488,489,0.005496142501943713,2
45,46,0.005534039677541877,2
123,522,0.0055594557513852045,3
87,505,0.005606018866764378,3
268,270,0.005633338533029457,2
337,519,0.00569856184572793,3
446,543,0.0057875488071769355,3
441,507,0.005803409452277518,3
248,251,0.005840997544834614,2
311,313,0.005961083287079663,2
102,104,0.005985546075536449,2
158,161,0.00603189680652625,2
150,153,0.006035473232708826,2
110,113,0.006044180579849538,2
450,453,0.006046059634648309,2
190,193,0.00605926471148413,2
340,604,0.006063948003158623,4
241,242,0.006135583750608983,2
64,524,0.006138755632371576,3
410,554,0.006162771411943928,3
282,541,0.006165864326048432,4
20,23,0.006176746299003775,2
330,333,0.006216134053525457,2
239,240,0.0062333011638419904,2
216,219,0.006236935665783061,2
346,348,0.006272110130283176,2
25,28,0.00629886893079313,2
69,70,0.0063502880365549795,2
6,9,0.006360350253721201,2
375,548,0.006362295906726214,3
466,469,0.006363705582070392,2
32,529,0.006369477298592918,3
126,129,0.006375499756034167,2
160,163,0.006393050876580836,2
273,574,0.0064064795110052065,3
385,388,0.006408222252391413,2
188,545,0.006435727282868636,3
504,523,0.006516132108273284,4
494,497,0.006543020463103011,2
225,532,0.006565472916462211,3
356,591,0.006584532553393416,4
58,60,0.006619506243120972,2
365,368,0.006625153807214386,2
407,538,0.006661369714898309,3
80,81,0.006730107134923122,2
174,561,0.006752593972893593,3
109,112,0.006787894227872411,2
72,75,0.006790228372775918,2
93,547,0.006828264636055652,3
71,74,0.006841998174243593,2
77,78,0.006905222994676191,2
141,142,0.006921317071930236,2
232,500,0.007053482587316574,3
1,4,0.007088207283229517,2
418,564,0.00713244740077891,3
