left_cluster,right_cluster,distance,n_observations
306,307,0.004046397152533295,2
211,212,0.004956311512208257,2
428,429,0.0050644653336154154,2
339,340,0.007255167973193685,2
204,205,0.007519559125038267,2
439,440,0.007537263856137804,2
129,130,0.007666180746969272,2
434,436,0.00802098445555068,2
460,462,0.008242440921419361,2
450,452,0.008372233705080603,2
242,244,0.008400632228068697,2
198,200,0.008831205147979164,2
80,81,0.008854034336673807,2
278,280,0.009110945225601904,2
486,488,0.009679814694564137,2
337,338,0.009966795597997478,2
143,145,0.009993339596895462,2
321,323,0.01090530466798857,2
381,383,0.010997143851270213,2
202,504,0.011204991610677768,3
169,170,0.01159604353700302,2
48,49,0.011965033056625243,2
287,290,0.012025187732016553,2
332,335,0.01204329046911194,2
320,322,0.012352048127984515,2
473,476,0.012412052036243541,2
411,412,0.012701374314608011,2
84,87,0.012867197907867237,2
113,115,0.012903937338356678,2
93,95,0.013210442096710325,2
292,295,0.013215740769720397,2
481,483,0.013346788887172853,2
51,53,0.013605968325348846,2
300,303,0.013676660491723705,2
142,144,0.013959750023270079,2
456,459,0.014451112952989571,2
260,262,0.014529273501819606,2
419,420,0.014666375920565865,2
167,168,0.014740440448310249,2
225,227,0.014930205696593866,2
397,400,0.015012481226952513,2
90,91,0.015421770040233197,2
178,179,0.015510408105924604,2
105,107,0.015554720194288127,2
490,492,0.015747139148481092,2
407,410,0.016015930319428887,2
111,114,0.016059271457605613,2
9,13,0.016082573017941824,2
247,510,0.016105132380346297,3
235,236,0.01623533958979645,2
362,366,0.01625570169041427,2
471,474,0.016279681835523,2
206,207,0.016333574086736722,2
465,469,0.016361947228194992,2
4,7,0.01659520592730046,2
54,55,0.01673466604804873,2
424,427,0.01724968503670407,2
123,125,0.017329405209874676,2
431,432,0.017430355879909983,2
454,457,0.017577980999381636,2
305,533,0.017888832934113624,3
216,218,0.01819964106776155,2
82,512,0.01850329469680564,3
92,94,0.018826039052198627,2
42,45,0.019190157665296487,2
184,186,0.019212386598046312,2
