left_cluster,right_cluster,distance,n_observations
238,257,0.003267431627901347,2
230,268,0.0036409703612478228,2
286,343,0.004538725320762136,2
245,251,0.0047284098444357525,2
259,431,0.004803775264565059,2
275,277,0.005056758943594914,2
204,205,0.005463794410092404,2
237,500,0.005881005492866463,3
234,239,0.005979290234176826,2
226,229,0.006584563689156018,2
5,381,0.006954607313021539,2
263,501,0.00700048884731279,3
298,345,0.00703018222226473,2
233,258,0.007241556571864993,2
246,252,0.0074677015783754346,2
261,503,0.007779431334834476,3
187,498,0.008066815317551443,2
256,264,0.008321224311887535,2
241,254,0.008887267513655936,2
248,253,0.00893285933236327,2
225,271,0.009296384466525188,2
284,502,0.010203817397152518,3
255,504,0.010320764815821441,3
185,516,0.010691509074115337,3
415,491,0.011273265708847641,2
228,265,0.011517403162762877,2
214,218,0.011616293525746604,2
511,513,0.011798208676773655,5
44,45,0.012462330310699274,2
227,270,0.01304433440840791,2
184,361,0.013341227443484338,2
9,10,0.01348413665239466,2
262,519,0.013646792858629991,3
169,170,0.01384993612905132,2
183,468,0.014689123201363886,2
515,527,0.014841237119807676,8
279,282,0.014912357226228891,2
508,518,0.01514094981346717,4
240,514,0.015214510391441826,3
296,436,0.015309845884882803,2
247,267,0.015369751636477058,2
430,509,0.015500209540167502,3
174,175,0.016058135774550866,2
189,191,0.016237687490855544,2
392,480,0.01692792497531415,2
178,179,0.0172133725869399,2
99,100,0.017327892005223135,2
287,291,0.0177983360583223,2
224,525,0.017906858884261686,3
40,464,0.01812436023857034,2
321,324,0.018780039607567394,2
101,102,0.018825736901710376,2
137,138,0.018964018899663402,2
211,338,0.01916911864905488,2
315,482,0.019582664776316552,2
236,522,0.019930827821597236,4
288,290,0.020216693856166076,2
266,517,0.020227255631886425,3
447,472,0.020343321331722303,2
325,432,0.020667884950748006,2
242,548,0.021134118977618892,4
299,300,0.021441588853184364,2
43,528,0.021510829344352146,3
29,30,0.022190078653330357,2
203,207,0.022340734958622946,2
520,535,0.022572866244464425,10
31,32,0.023022830061428894,2
182,523,0.023237182697806197,4
293,297,0.02354529612513911,2
110,111,0.023971579548020906,2
360,367,0.02412074792588457,2
105,107,0.02424685630256989,2
61,63,0.02429794568037794,2
22,24,0.02430782175826191,2
213,289,0.024727240126596495,2
163,165,0.02492820384727203,2
150,151,0.02493550045475098,2
121,123,0.025153887349917622,2
232,244,0.025610846979841794,2
292,512,0.025834516129985538,3
454,487,0.02590915366206091,2
285,547,0.02601118639440886,3
526,541,0.026149962648523695,5
365,372,0.026160725881299914,2
529,538,0.02618675706470773,5
316,319,0.026192476448756257,2
4,379,0.02636168789008378,2
276,557,0.026655340878309144,4
476,481,0.026713009539382108,2
171,172,0.02672719364750278,2
173,533,0.02677090155708954,3
306,311,0.02681701877016093,2
210,217,0.02689274323662573,2
231,260,0.027005185945698354,2
222,507,0.027110525118176135,4
382,441,0.02722073774722727,2
416,422,0.027443483975950134,2
208,506,0.027490403976084803,3
180,530,0.027494817855611666,3
339,532,0.02765181159970423,4
294,579,0.027692866406117737,4
473,489,0.02808829801070481,2
346,385,0.028372801905298946,2
215,219,0.028391233615917486,2
327,550,0.028440390587029865,3
209,295,0.02873801611809671,2
220,235,0.028770856499900906,2
273,599,0.029002887075893144,5
65,67,0.02997303120004146,2
47,450,0.03044424425053092,2
370,397,0.03098007372378878,2
