left_cluster,right_cluster,distance,n_observations
389,390,0.004202492037764187,2
85,86,0.0045131335247949635,2
229,230,0.00537447415887357,2
100,101,0.0054599374003662824,2
154,155,0.0059747262612899026,2
132,133,0.006181019804227605,2
347,348,0.0064868984840654965,2
371,372,0.00663462812556646,2
11,12,0.007175017490992153,2
249,251,0.008076122296050965,2
231,233,0.00809788031984925,2
166,167,0.008917790729372313,2
436,438,0.008950457028058141,2
65,67,0.009088040144075861,2
36,38,0.009622206308837946,2
0,1,0.00967576255374135,2
40,41,0.010152815121983997,2
472,474,0.011205107532960244,2
238,241,0.012026903869089594,2
313,316,0.012031511300528125,2
198,201,0.0120456620158754,2
245,248,0.01213167259892669,2
207,210,0.012561133596493692,2
330,331,0.01263526167082535,2
379,382,0.01280289963572621,2
467,470,0.01290884349081823,2
72,73,0.013075136007461331,2
279,282,0.013234907756662051,2
257,258,0.013387984176522007,2
295,297,0.013445672098639259,2
58,61,0.013462534844371779,2
450,451,0.014198679665345802,2
268,271,0.014284441801156997,2
81,84,0.014316947974543137,2
34,37,0.014813273060358654,2
367,369,0.014847008010268914,2
213,214,0.015361719015299466,2
386,500,0.015500044149833664,3
228,502,0.015575257880876804,3
184,187,0.015777102891797783,2
261,264,0.015876527682346354,2
27,29,0.015908678542557,2
317,321,0.01604045195381328,2
327,328,0.016094655583963845,2
59,63,0.01617439063078924,2
146,150,0.01620675454565318,2
353,357,0.016313198587652285,2
340,344,0.016360620623262788,2
453,457,0.016419373108791265,2
240,242,0.016460302888896473,2
232,236,0.01662941615344096,2
137,141,0.016679665580153123,2
359,362,0.01679197083316662,2
468,471,0.01685424262984544,2
123,127,0.01695654109370479,2
208,211,0.017125440887289293,2
117,119,0.017196225959293664,2
104,108,0.017229042027645584,2
318,322,0.017314945494174283,2
125,129,0.01776818258064056,2
134,138,0.01796569797955845,2
477,479,0.018008130936823498,2
277,281,0.01812516232574963,2
235,518,0.018187115117645168,3
204,520,0.018427552183087947,3
256,260,0.018793359145948547,2
56,530,0.018945870812459416,3
262,528,0.019158065052372712,3
247,521,0.019173444306820425,3
160,162,0.02003879344234066,2
423,427,0.020100608440900725,2
300,305,0.020167609150658267,2
292,293,0.020189360822844185,2
443,448,0.020330497401679946,2
92,97,0.020514315020499416,2
180,182,0.02051660680600562,2
383,384,0.02055691642501724,2
163,165,0.020842785292072865,2
493,495,0.021085688012712375,2
43,48,0.02122350168861988,2
114,116,0.021241044981513066,2
234,538,0.021278057220898653,4
139,144,0.02197769971632175,2
490,491,0.022035602798702127,2
217,222,0.02216250539762533,2
44,579,0.022162536580345667,3
91,501,0.022166847442378908,3
485,486,0.0222165012689666,2
368,535,0.022604880079016745,3
342,506,0.022826454660161047,3
349,351,0.02362204071385612,2
179,181,0.023767181815648717,2
212,216,0.02424404656616938,2
304,310,0.024329912835931142,2
289,294,0.024516209843345134,2
301,307,0.024600918844026282,2
246,549,0.024611286531823796,3
176,178,0.024660265717091175,2
115,121,0.02479766220656335,2
99,103,0.02490112722586339,2
302,529,0.024902178381846087,3
405,406,0.024912196368876847,2
419,425,0.024960131839269404,2
102,105,0.025001209238118008,2
413,418,0.025557849054432133,2
358,546,0.02584227021635356,3
429,435,0.02598636169527731,2
64,566,0.026132345661726824,4
220,584,0.026242916003283344,3
47,51,0.02626619278158415,2
28,541,0.02627863755233751,3
89,533,0.02634160552286849,3
513,544,0.02648093891064448,4
494,498,0.026648944084280875,2
5,10,0.026703685142140898,2
71,526,0.02675821853281722,3
126,131,0.02684970013641161,2
360,361,0.027061336325346044,2
272,278,0.02724000936558896,2
171,597,0.02724943102288435,3
21,24,0.027530495626530573,2
456,531,0.0277063566259894,3
259,540,0.02782672220546028,3
483,489,0.028051739183582114,2
140,147,0.028059470412240627,2
326,543,0.028060308752735623,3
183,190,0.028088016835040856,2
414,421,0.028150808298471962,2
253,509,0.028179588730290063,3
332,339,0.028300194684734756,2
517,525,0.028522598201976716,4
395,397,0.02916010018621071,2
462,469,0.029284809528489636,2
394,399,0.029448579814084313,2
110,112,0.029551135572719513,2
70,77,0.029604133376767032,2
365,507,0.03018093595536804,3
455,548,0.030356831644248686,3
422,426,0.030395205826856054,2
18,19,0.030428209271622958,2
239,550,0.030509983397940182,3
430,431,0.030522924340911223,2
323,329,0.03097756797581899,2
196,203,0.031001931637479788,2
200,564,0.031060074641572222,4
267,273,0.03124918655841424,2
31,514,0.03142122843368041,3
69,74,0.03204426656538835,2
334,523,0.03248241131771509,3
274,618,0.03265035813847877,3
441,445,0.032731107698885493,2
338,345,0.03280652640395985,2
350,352,0.03285987448004225,2
312,542,0.03290285873542319,3
168,174,0.03302182471998198,2
464,630,0.03319669480052364,5
364,636,0.03320139650506734,4
402,410,0.03320963184663112,2
49,57,0.03324837673100661,2
446,452,0.03341244554493531,2
79,83,0.03364059543428649,2
90,98,0.03372722139528201,2
554,556,0.03378037646457692,4
206,536,0.03388861126221407,3
487,623,0.03415523663811973,3
478,587,0.034239331137235485,3
298,571,0.0342976059694103,3
152,545,0.03445641947613083,3
52,54,0.03453397917211678,2
482,484,0.034801347041888905,2
603,634,0.035083132436823934,4
319,625,0.03516893314707091,4
366,588,0.035374342051307135,4
8,515,0.03560025325095033,3
283,287,0.0356723275457308,2
172,591,0.035959093779474885,3
243,244,0.03600355567331502,2
306,314,0.03616484427492985,2
135,505,0.03649415393986134,3
447,637,0.03651106471919983,4
128,130,0.03687380905179092,2
440,449,0.03737521770986469,2
107,109,0.038160114566598125,2
324,519,0.038188631060997305,3
428,512,0.03820309614886627,3
170,173,0.03835694728797789,2
284,286,0.038604535491810366,2
510,563,0.03878527604011437,5
403,408,0.03895421495121046,2
157,511,0.03907407155856399,3
459,461,0.03908903751337953,2
370,377,0.03910565964891032,2
388,393,0.039217598938992425,2
175,619,0.03924084555400509,4
215,522,0.03936493572624167,3
458,621,0.03948728383399386,4
156,158,0.03980890807051079,2
145,504,0.040081759760581315,3
309,595,0.04016337346684342,3
23,620,0.04029633994352966,3
336,589,0.04033087832792446,4
237,568,0.040360542078915325,4
396,404,0.04054628696788503,2
218,227,0.04056722432073202,2
622,645,0.04060431634637228,5
437,573,0.04062823559324144,3
192,202,0.04071529416277062,2
570,606,0.040868049223452586,4
475,480,0.041082741225355275,2
45,646,0.04108643279990981,4
354,552,0.041127160196502796,3
30,32,0.041254153150603136,2
76,647,0.04135528597070326,3
39,609,0.041824203876291474,3
280,288,0.04187652964162316,2
481,583,0.04190495845004712,3
254,263,0.04195625605742806,2
223,608,0.042621348592268536,4
285,572,0.042723079121761404,3
111,599,0.04357520995761893,3
62,615,0.04370311066533131,4
159,164,0.04376424450581164,2
601,604,0.043899955978257674,4
432,442,0.04393227507159507,2
299,594,0.04431590460050689,3
375,378,0.04453327497142677,2
149,153,0.04454408269093574,2
151,667,0.04472190755973476,4
16,25,0.04479235477101733,2
266,532,0.045059087906871895,3
381,385,0.045229902735863324,2
106,580,0.04541799323533385,3
9,639,0.04541935523590369,3
120,616,0.04546286560184527,3
195,199,0.045468806936518155,2
265,275,0.04554570651112757,2
14,17,0.04556385134658953,2
185,188,0.04560507905209159,2
250,701,0.04560771366292245,5
463,473,0.04610839821549162,2
557,574,0.046274445385166445,4
454,632,0.046294394943356146,3
596,628,0.04641736551062079,6
189,643,0.04644939907697085,3
503,670,0.04687081806413336,6
42,53,0.04690811160152885,2
143,624,0.0479961420152119,3
598,680,0.04805480777189472,4
416,420,0.04812130390381153,2
296,308,0.04835105466321344,2
387,537,0.0484930989984132,4
197,539,0.04852135857572924,3
13,20,0.0487519641507441,2
497,664,0.04887848117004626,4
590,700,0.049446901700419724,6
391,631,0.0497091156743002,3
600,718,0.050170170120978845,6
320,653,0.05022839125649701,4
93,96,0.0507428642308661,2
276,649,0.05094111448366234,4
193,575,0.050962326002767136,3
50,60,0.05117999304457049,2
465,679,0.05118047439656135,5
122,678,0.05201448013213777,4
578,669,0.05202141925988468,4
553,708,0.05211554606837817,4
269,567,0.0521567520754945,4
681,705,0.052319144651332576,5
341,651,0.052592722957435944,3
602,641,0.052816064458975756,4
66,658,0.05325553309007056,3
417,424,0.053309902269847005,2
22,610,0.0536186534703623,4
411,638,0.05369327089400923,3
148,582,0.05427099134242114,3
33,534,0.054470156061043815,3
657,748,0.05473526762063649,4
94,660,0.05494719977218093,3
508,699,0.05510236364864628,5
2,15,0.055255233500056684,2
224,663,0.0553149809551576,4
547,648,0.055681232994245114,5
627,707,0.056297015565441935,6
586,661,0.05646385194264993,5
398,412,0.05651233076012389,2
225,717,0.056622573732309334,5
476,488,0.05679455295550815,2
607,668,0.0572062339904415,6
355,656,0.057262422274178784,5
444,695,0.05809477062500899,5
644,706,0.05882204741051804,6
555,743,0.058860875210783516,5
88,611,0.05911388955530741,4
592,780,0.05912981891217256,6
136,662,0.05930902037292083,5
492,561,0.05940477260071634,3
303,311,0.0600404266484957,2
693,721,0.0604600134561391,6
581,676,0.060798566021766226,6
335,558,0.06093394027640997,3
698,756,0.06101687187892494,9
524,691,0.061023809964367126,4
78,783,0.06113442182364699,6
177,186,0.06159749417112712,2
527,724,0.06177435231015562,5
255,738,0.061837227397438244,6
325,629,0.06194259235590428,3
655,665,0.062064848497890214,8
191,205,0.06226787531757845,2
752,778,0.06321241808236153,7
290,562,0.06328852167864249,3
4,6,0.06406188808461794,2
392,692,0.06454229021419713,3
694,734,0.06471171355673327,5
560,726,0.06482049411262128,4
626,790,0.06529082708815513,8
716,766,0.06547349914740772,6
569,697,0.06556144660518241,5
343,605,0.06569098094333814,4
617,652,0.06574904735009962,4
333,757,0.06600137260941989,5
113,118,0.06610311993993259,2
640,742,0.06613720075872596,9
654,760,0.06759595837716921,5
559,733,0.06777398921570876,5
35,46,0.06781755157159057,2
673,732,0.06790269996895489,6
675,751,0.06815450009213735,6
124,682,0.06818304329441371,3
400,784,0.06828569878237817,3
460,739,0.06927445085564041,3
635,787,0.06939392794405404,8
374,710,0.06960040458818648,4
356,672,0.06976866662724036,5
407,771,0.07053875966788306,3
516,770,0.07109286814607589,5
633,688,0.07153420543070915,4
687,798,0.07303710572023926,11
252,565,0.07328642159256832,3
741,762,0.07353446558227354,8
740,744,0.07353606319096902,10
315,642,0.07362217992826361,3
87,95,0.07384851147705782,2
161,797,0.07426472000872782,7
722,773,0.07453764278254212,7
80,82,0.07454208107269297,2
735,838,0.07461373273207085,5
68,831,0.07576935411583316,9
612,745,0.07595114780247803,6
712,761,0.07656107820164403,5
26,585,0.07675634704996936,4
719,802,0.07676904031504957,9
731,794,0.0770055598179256,8
750,836,0.07712171208700483,8
551,696,0.07728240114233911,4
714,729,0.07754228312651211,5
689,803,0.07818494497701156,5
363,801,0.07884248451141904,5
409,782,0.07888788542589646,7
683,781,0.07900681013619865,8
499,786,0.07932736725268187,3
737,808,0.08028083243684477,4
720,777,0.0803257944953031,7
169,727,0.0804845796047769,5
219,226,0.08123225319532201,2
730,788,0.0818209332431277,7
666,820,0.08252540843316995,8
715,764,0.08364944344924452,7
686,804,0.08392121912978964,7
593,841,0.08433849157247826,5
728,736,0.08646777104075981,4
791,815,0.08664555090483902,13
713,847,0.08677246939165453,12
373,725,0.08686127038847799,3
650,684,0.08698580264601224,5
659,830,0.08724685016726179,5
709,772,0.08817873302208151,8
833,865,0.0893153303518968,12
746,763,0.08954895936803602,7
753,795,0.09042169099934333,7
747,774,0.09125643825607707,7
835,848,0.09185823647757625,11
434,776,0.09203818066621096,5
690,807,0.09211150649465173,10
810,855,0.09225288149903448,8
818,832,0.09356683649994582,8
785,813,0.093595613377671,10
723,789,0.09374102494939823,7
758,851,0.09395600000475189,11
577,827,0.09409034928620966,8
194,793,0.09412976769377752,7
702,844,0.09535304480265751,9
779,826,0.09647384509888235,8
704,846,0.09710130850336332,10
380,576,0.09735910458584413,3
