dataset,n_vectors,n_dimensions,k,k_source,linkage_method,metric,n_clusters,n_clustered,evaluation_quantile,evaluation_radius,internal_coherence,coverage,clustering_quality,linkage_seconds,cut_seconds,clustering_seconds,quality_seconds,total_seconds,status,error
bifurcation_2way_noise_high,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,4,500,0.15,0.2099250463948295,1.0,1.0,1.0,0.002299569998285733,0.01003538399527315,0.012334953993558884,0.00245283599360846,0.014967206996516325,ok,
bifurcation_2way_noise_low,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,4,500,0.15,0.14437171889260536,0.9015641933959286,1.0,0.9482342973506044,0.0018112250036210753,0.00971705799747724,0.011528283001098316,0.0023045440029818565,0.01397575799637707,ok,
bifurcation_2way_noise_medium,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,4,500,0.15,0.16431585438895818,0.8959989638300201,1.0,0.9451471028444592,0.0015830510019441135,0.00925138899765443,0.010834439999598544,0.002373836003243923,0.013362480996875092,ok,
bifurcation_3way_noise_high,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,4,500,0.15,0.2258264496395394,0.861859678037933,1.0,0.9258051916631859,0.0014550479972967878,0.008742833000724204,0.010197880998020992,0.0026815650053322315,0.01300531499873614,ok,
bifurcation_3way_noise_low,500,2,5,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,5,500,0.15,0.15379708063700293,0.8966810745338507,1.0,0.9455264636456912,0.0015312879986595362,0.008716096999705769,0.010247384998365305,0.002190070998040028,0.012583080999320373,ok,
bifurcation_3way_noise_medium,500,2,5,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,5,500,0.15,0.16358770126827832,0.9055913372043944,1.0,0.9504570256211868,0.001595654000993818,0.009787980998225976,0.011383634999219794,0.003705761999299284,0.015242745001160074,ok,
circular_arc_noise_high,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.25455057799214903,0.8442741629641988,1.0,0.9155625339426152,0.0019761069997912273,0.00976302500203019,0.011739132001821417,0.0027397570011089556,0.014637180996942334,ok,
circular_arc_noise_low,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.18199412971222623,0.8803557380878352,1.0,0.936371475094477,0.0017363509978167713,0.010262061005050782,0.011998412002867553,0.003299295000033453,0.015572379998047836,ok,
circular_arc_noise_medium,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.2074848161782871,0.8784965161567851,1.0,0.9353187600838363,0.0018418479958199896,0.009736395004438236,0.011578243000258226,0.0038348519956343807,0.015595694996591192,ok,
cubic_noise_high,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,4,500,0.15,0.5476083230883362,0.9117337540653706,1.0,0.9538292161516069,0.0015979300005710684,0.01171117699414026,0.013309106994711328,0.003481255000224337,0.016946451003605034,ok,
cubic_noise_low,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,4,500,0.15,0.5382384173566812,0.9292501568022573,1.0,0.963327802281996,0.001554212998598814,0.00853643399750581,0.010090646996104624,0.003295629001513589,0.013512831996195018,ok,
cubic_noise_medium,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,4,500,0.15,0.5248553416587505,0.8936279917886755,1.0,0.9438263435729801,0.0015198159962892532,0.009135688997048419,0.010655504993337672,0.003073796004173346,0.013868259993614629,ok,
exponential_noise_high,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.5965232942241294,0.9454736185918298,1.0,0.9719726955497667,0.0014596210021409206,0.009610688000975642,0.011070309003116563,0.003606696001952514,0.014800965996982995,ok,
exponential_noise_low,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.5781123997494532,0.9138295441863332,1.0,0.9549748533899334,0.00138170100399293,0.00878601599833928,0.01016771700233221,0.003227089997380972,0.013517487001081463,ok,
exponential_noise_medium,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.5982057199088577,0.8947298998358394,1.0,0.9444405769005485,0.001767089997883886,0.013014468000619672,0.014781557998503558,0.006303554997430183,0.02127714800008107,ok,
heteroscedastic_noise_high,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.22195899071812128,0.8822866896216486,1.0,0.9374626027866071,0.0014003329997649416,0.009556525998050347,0.010956858997815289,0.003219674006686546,0.014333553997857962,ok,
heteroscedastic_noise_low,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.1613204977373611,0.9045184334410823,1.0,0.9498657692766975,0.0013475130035658367,0.008819818998745177,0.010167332002311014,0.002648162997502368,0.012973336000868585,ok,
heteroscedastic_noise_medium,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.1737309070327638,0.9672525740409398,1.0,0.9833537257029514,0.0015464940006495453,0.00936255999840796,0.010909053999057505,0.0029731530012213625,0.014007413003128022,ok,
kinked_curve_noise_high,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.19736976952425656,0.9113892404343706,1.0,0.9536406516835408,0.0015172330022323877,0.010045075003290549,0.011562308005522937,0.0030002729981788434,0.014714226999785751,ok,
kinked_curve_noise_low,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.20819758730424834,0.8769251829255533,1.0,0.9344274251344369,0.0014380159991560504,0.008290463003504556,0.009728479002660606,0.004171264001342934,0.014039684996532742,ok,
kinked_curve_noise_medium,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.19224406782508288,0.8772144543394269,1.0,0.9345916257054497,0.0013898510005674325,0.00934976900316542,0.010739620003732853,0.004771788000653032,0.015658750999136828,ok,
linear_noise_high,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.3709946635468396,0.9099559789579178,1.0,0.952855446913907,0.0014482710030279122,0.00846052300039446,0.009908794003422372,0.0028310880006756634,0.01286983500176575,ok,
linear_noise_low,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.32490144478425076,0.9018017631346542,1.0,0.9483656820764063,0.0012942319954163395,0.011165211006300524,0.012459443001716863,0.0024172490011551417,0.015007549001893494,ok,
linear_noise_medium,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,3,500,0.15,0.34211894003393667,0.9042170241239036,1.0,0.949699548600473,0.0013135339977452531,0.0090481320003164,0.010361665998061653,0.0027630170006887056,0.01325252200331306,ok,
mixed_generators_noise_high,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,4,500,0.15,0.6019276128594454,0.8537721799077566,1.0,0.921118775177908,0.0019623779953690246,0.009611275992938317,0.011573653988307342,0.00321514700044645,0.014915592997567728,ok,
mixed_generators_noise_low,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,average,euclidean,4,500,0.15,0.5865173968114423,0.8073020737421491,1.0,0.8933781302763317,0.0014966230010031722,0.009019092998642009,0.010515715999645181,0.003166599002724979,0.013803465997625608,ok,
