left_cluster,right_cluster,distance,n_observations
317,325,0.0008124482282634873,2
178,350,0.0016935868927592833,2
402,405,0.0017337533929345896,2
349,361,0.0021272890948170215,2
45,60,0.0023733585082801258,2
356,362,0.00245829889937705,2
169,336,0.002530733156157079,2
250,257,0.0025579255683040075,2
309,318,0.002775991447772708,2
204,225,0.003020570701048112,2
177,353,0.0033918397604020155,2
155,189,0.003437396631435965,2
193,200,0.003697712659930258,2
374,384,0.004329952179158272,2
241,245,0.0048974210801466505,2
176,205,0.0054054554956001165,2
41,42,0.00552395515954456,2
338,342,0.005540491351085151,2
147,340,0.005909495977676377,2
118,143,0.006115923387431785,2
208,230,0.006168257358734257,2
274,294,0.006741620602653571,2
271,283,0.007154957291541147,2
424,429,0.007204677392745688,2
422,439,0.007350376058340841,2
445,458,0.007429064327660881,2
30,74,0.007617289335517469,2
299,316,0.0077270447634027895,2
54,77,0.007882427420286308,2
481,493,0.00804764284909879,2
182,510,0.008151927133028118,3
2,35,0.008203551245164632,2
226,237,0.008307696291801637,2
301,312,0.008356761483603202,2
146,156,0.008414198721574697,2
434,461,0.008562615755153942,2
122,141,0.008644731985529524,2
47,68,0.008838440921448696,2
124,140,0.008843527398837332,2
395,513,0.008843817860004013,3
472,496,0.008883355024196909,2
321,329,0.00901111355095941,2
63,80,0.00921333353727564,2
452,471,0.00927565249137661,2
411,427,0.009446824258991909,2
5,8,0.009452611158582746,2
255,281,0.009569032262764374,2
67,73,0.009759864287640337,2
453,474,0.00981503087342194,2
26,40,0.009860322234105733,2
93,104,0.009869941748485711,2
196,220,0.01006364079582228,2
207,228,0.010108223410126694,2
363,368,0.010279921313027712,2
24,51,0.010287467189459294,2
313,508,0.010362564609576266,3
187,190,0.010442126100972065,2
142,506,0.010528504344663426,3
21,32,0.01054861954151089,2
198,206,0.011123968414679426,2
106,117,0.011322695472499996,2
76,105,0.011419706143696761,2
306,310,0.011428813028302015,2
383,412,0.011501534147783416,2
81,153,0.011524214189159663,2
333,517,0.01166408520691987,3
15,29,0.01215538492011298,2
265,279,0.012227097303809963,2
99,110,0.01233042569987663,2
385,393,0.012483614854623383,2
388,460,0.01255443162415511,2
466,475,0.012797211767829298,2
431,444,0.012831752941418155,2
254,514,0.013073474348976027,3
465,525,0.01315451209331945,3
376,400,0.013250519678340972,2
433,443,0.013766075219196513,2
209,227,0.013829085401827923,2
382,386,0.013852700700783697,2
167,530,0.0139445423545854,4
166,348,0.014164652777511022,2
61,82,0.014198113462669163,2
408,421,0.01425859734529034,2
91,119,0.014314189635687329,2
184,341,0.01438276021688059,2
158,503,0.014385733994182047,3
479,485,0.014410301160498016,2
332,337,0.014540231738273894,2
263,297,0.014958672173699571,2
442,455,0.01519881857434888,2
114,135,0.01566725407228547,2
66,90,0.01587805155207351,2
409,414,0.015924553807572368,2
285,298,0.01603619219274296,2
413,523,0.016107726897366677,3
420,462,0.016115749514889813,2
238,253,0.016328294133027457,2
191,194,0.016416384248861108,2
171,585,0.01713688430391086,4
215,552,0.017151694011242752,3
370,399,0.017315251853434004,2
126,130,0.017315609383766785,2
351,515,0.017418112316484963,3
17,48,0.01750516872416392,2
440,441,0.01761506454107501,2
85,537,0.017644812269805844,3
377,401,0.017814733342317996,2
303,324,0.017911733743201052,2
128,154,0.017931880708936865,2
334,364,0.01809238617528216,2
394,406,0.018176736981330856,2
391,592,0.018246279291338693,3
107,133,0.018254196777188543,2
307,315,0.018291924548721288,2
123,148,0.01889318425634243,2
446,450,0.018895107248399302,2
468,469,0.01933741486547325,2
161,335,0.01948747905640159,2
94,113,0.019506362491210832,2
260,275,0.019519136168166563,2
308,562,0.019545221770381198,3
367,378,0.019562850042317625,2
134,139,0.019703043651048708,2
181,343,0.01970814986144023,2
97,560,0.01986007788570382,3
9,10,0.020137945019960468,2
115,125,0.020157912823035664,2
168,357,0.020295006882501306,2
347,387,0.020470616760474118,2
152,157,0.020533182051960162,2
448,535,0.02056742821897432,3
232,233,0.0207081733336303,2
170,359,0.02081853645847263,2
192,559,0.02084067642011478,3
416,435,0.020867408563518784,2
268,278,0.021022698553009266,2
160,212,0.021222640661282516,2
65,516,0.021676210707124156,3
259,573,0.021713606079411803,4
46,58,0.021734588518695513,2
419,426,0.021838028678802454,2
482,571,0.021872174072800947,3
344,501,0.022119496690515914,3
483,499,0.022203815009053454,2
72,526,0.02223510465931531,3
398,563,0.022294306614671418,3
293,322,0.022302931223873425,2
203,219,0.022407864004052785,2
222,234,0.022759118905904374,2
423,430,0.023034799570570207,2
522,593,0.023145196272323403,4
129,199,0.023216466065564666,2
456,634,0.02326556619300174,3
175,339,0.023408915631570867,2
326,328,0.023418607042389433,2
121,149,0.023427934424222134,2
13,18,0.023451646099879413,2
470,494,0.02360258439815535,2
11,38,0.023688288162999192,2
202,512,0.023693492907022596,3
75,591,0.023832895778621264,3
49,605,0.024084565854276135,4
179,609,0.02413697139952374,3
484,491,0.024430244493076892,2
269,302,0.024568233733867045,2
136,564,0.024617397721249684,3
216,551,0.02481074995877616,3
0,52,0.02500441167520223,2
304,555,0.025055848457970768,4
213,556,0.025065592906266594,3
243,247,0.025100857831102035,2
418,582,0.02525311655835821,3
162,579,0.025468430873506885,5
415,544,0.025577611541612217,3
1,37,0.025935925882583838,2
488,540,0.026174745144008593,3
286,521,0.026256763624902993,3
172,173,0.026346782229075175,2
473,641,0.026662636761563597,4
79,528,0.026704513442743768,3
252,532,0.026706236329770656,3
242,631,0.02691463375901501,3
138,536,0.026969314278487273,3
150,538,0.027361882260193423,3
311,533,0.02737128719016568,3
112,519,0.027608851682587105,3
55,554,0.027773129738710475,3
300,588,0.02786279112794818,3
565,617,0.0278629423700246,5
98,568,0.02788857850539468,3
210,223,0.0279689386938348,2
495,663,0.028048386418766977,3
314,607,0.02809692213441185,3
4,6,0.028214195659689315,2
14,31,0.02878981412034428,2
354,580,0.028857855787575472,3
425,432,0.028916936165055987,2
28,57,0.02894678056908341,2
371,578,0.029000630305076196,3
365,372,0.029106830861737088,2
403,410,0.029225184464837156,2
389,404,0.029445615543003262,2
392,610,0.029616405870982056,3
352,511,0.02992436187975237,3
292,620,0.02993308797541041,4
78,101,0.030017392995605456,2
151,557,0.0301304252891208,4
490,492,0.03021598726703327,2
417,640,0.030321194271222696,3
23,549,0.030719754245253264,3
44,70,0.030993943795431734,2
258,280,0.031093727875533078,2
289,290,0.031174002456571554,2
396,628,0.03130255774038102,3
92,102,0.03147749419889761,2
360,505,0.03160836295399892,3
36,56,0.031774670931782004,2
144,163,0.0318011727466626,2
437,576,0.031875458834826495,3
463,574,0.032294963793023546,4
531,545,0.03263939762597722,4
264,273,0.0328256187183199,2
267,270,0.03287616334825344,2
256,262,0.03305616577651792,2
214,229,0.0331830608946326,2
131,132,0.03344646382762165,2
108,655,0.03359920763562018,3
64,86,0.033629142420909565,2
103,660,0.03370164175798671,4
558,686,0.03372648668016685,5
165,598,0.03397048938756703,5
201,597,0.034403688908558536,3
217,596,0.034404755093104304,3
84,581,0.03446365407368802,3
95,109,0.03452790395186896,2
345,672,0.03474868960051307,6
246,276,0.03491812328952709,2
589,595,0.03513645862174839,4
277,282,0.03544590225833576,2
527,668,0.03546529279333316,6
358,366,0.03590614492409692,2
236,240,0.036100716777782024,2
249,638,0.03638062696297545,5
459,477,0.03643062974721437,2
180,186,0.0368775381851312,2
3,43,0.03690265803707595,2
239,248,0.0369784363477289,2
449,476,0.03718089545596257,2
195,534,0.0385005302581579,3
489,675,0.03852870949183405,4
346,379,0.038586300618229166,2
570,696,0.03869433126362729,4
504,639,0.039196727055375545,4
53,667,0.039198777267443356,3
59,583,0.039371640464880946,3
567,619,0.03947598527695413,4
613,676,0.03951529367892371,5
33,710,0.039632077863317856,3
221,235,0.03995928895124785,2
211,218,0.04054767439851257,2
608,683,0.0406110529986473,5
19,83,0.040784488786399266,2
266,648,0.041188692198775446,3
69,618,0.04127628124692024,3
116,626,0.04287503566843602,3
627,653,0.04312727704526789,4
553,662,0.04324242574269221,5
183,602,0.04372804816854129,4
320,692,0.04442520545979119,4
251,261,0.04457931821704765,2
185,375,0.044749584729052765,2
454,630,0.04476514922410896,4
295,646,0.04512280041578618,3
145,159,0.04514328846188977,2
529,707,0.04591339928500672,4
22,625,0.0460534239475386,3
575,606,0.04721343642290617,4
87,754,0.04725416157680681,4
550,689,0.04734128570254123,5
88,96,0.04749271581097298,2
464,572,0.047926735065831304,3
518,677,0.0480903603260262,4
539,569,0.04819293740506188,5
604,649,0.048212247948911886,4
632,695,0.048320843410790265,5
323,327,0.04886360945838813,2
62,644,0.04903184713052383,4
397,502,0.04983960955482183,3
715,750,0.050145343265080175,5
27,674,0.05038471631137483,3
39,542,0.050477839043815795,3
20,25,0.05053637588366875,2
231,742,0.05076823722507474,6
645,699,0.0507850179215195,5
447,451,0.05149881696035765,2
174,629,0.05178153911816308,3
164,669,0.05209747720213185,4
584,651,0.052839134468185354,4
622,685,0.053110162593976065,5
369,381,0.05322513786309428,2
719,780,0.05327695015398822,7
71,679,0.05388783058787769,4
547,733,0.054123462698171323,5
650,722,0.05417658423336377,6
291,712,0.05425766256958617,3
197,390,0.05453654097888315,2
373,600,0.054682319402034274,3
224,759,0.054714298028427796,3
12,34,0.05512398868198667,2
636,659,0.05526020982884767,5
665,725,0.0553169951859311,5
612,763,0.0563061682417108,5
188,633,0.05653690037429254,4
284,756,0.05725375192742423,6
16,656,0.05725838511430207,3
509,731,0.0583645419203685,5
720,789,0.05876828907033949,7
647,690,0.05956363359315108,4
287,635,0.0596696233718751,3
637,757,0.05974854336435127,6
100,111,0.060417024652639754,2
467,480,0.06050724211270278,2
684,768,0.060564963520870166,7
428,652,0.06059668642581454,4
673,700,0.060860480211272966,5
507,711,0.06094099977227284,4
543,657,0.06094917832700074,4
50,697,0.06204894972989053,3
487,643,0.0628876776399416,3
520,815,0.06402767086221646,7
601,781,0.06488327185281903,6
718,771,0.06575800593652072,7
658,693,0.066100292828772,4
486,497,0.06732025192699971,2
541,654,0.06741553166812145,4
704,772,0.06807421802618571,7
717,726,0.06810847165844161,5
586,616,0.06871202141911761,4
457,743,0.06947957600964656,3
407,701,0.07121962160930642,3
694,791,0.07135216297009118,4
642,730,0.07156176290851883,8
738,755,0.07159270420359799,6
590,764,0.07161279854627293,5
599,758,0.07175086628772681,5
127,137,0.07189141130737062,2
546,736,0.07235087548980579,4
611,702,0.07240634016913429,6
561,801,0.07245402744586169,6
687,721,0.07352217385131052,5
678,747,0.073709105847916,6
727,778,0.07407104216997655,7
244,741,0.07437618222038408,3
478,498,0.07457641035255204,2
795,798,0.07638082490078327,8
661,716,0.07657853257442103,6
623,748,0.07870562677954966,5
708,824,0.08012594766194973,8
380,787,0.08212351180998846,4
752,855,0.08237391044037382,10
621,788,0.0829557536864833,7
734,779,0.08351000285128986,4
680,724,0.08448743144452,5
566,603,0.08511838845346317,4
706,765,0.0854885343083,8
698,740,0.08694765453553484,5
703,784,0.08786194024300506,8
330,331,0.08866287488126741,2
436,524,0.08869167500266355,3
671,751,0.09368990054220032,7
705,728,0.09442804436133727,6
624,843,0.09857517680704615,8
776,793,0.09864741565211153,9
577,746,0.10044942729450293,4
305,822,0.10123757707554193,8
548,826,0.10155349714991192,6
7,814,0.10203087697809926,4
785,834,0.10263171232485716,6
120,820,0.10290067694234391,3
709,729,0.10316338214341361,8
272,769,0.10362894186876015,3
744,797,0.1037235276192135,6
761,790,0.1074114880909463,5
691,828,0.1075404787469202,6
760,830,0.1076805980241253,11
732,762,0.10963485891224538,6
682,773,0.11195110240039098,5
664,849,0.11242660528976443,7
745,832,0.11255989700178358,6
89,861,0.11306304828290673,5
288,846,0.11430564565247663,5
681,862,0.11512762261633155,8
587,770,0.11552388420129311,4
803,818,0.11885472705031014,9
666,829,0.11963207636483543,10
723,792,0.11974904917665828,8
614,854,0.12137214011329024,10
782,839,0.12216232051460735,8
767,812,0.12629972144938403,8
739,813,0.12678314658421294,12
753,816,0.1272084137349028,10
688,864,0.12733502685263495,13
713,860,0.12857161187871105,10
794,868,0.129982763766242,5
783,857,0.13093984000361458,12
774,837,0.13186998833345503,8
819,863,0.13192058360182746,10
809,856,0.13262419723658828,10
775,888,0.13335822116103005,9
714,777,0.13353731532141266,6
811,851,0.1347336562402358,12
821,838,0.1356254332447398,5
804,835,0.1399136981672511,10
786,859,0.1408861010255289,14
823,869,0.14485803094593103,11
799,858,0.1458835385491885,6
825,890,0.146246713216619,9
806,865,0.15001479009687793,8
670,817,0.15131716704704193,6
615,737,0.15153776133538618,6
840,879,0.152711736533054,12
836,871,0.157540383468768,13
594,904,0.1587771418320365,15
735,766,0.1643297058907848,11
802,870,0.16548609963242897,11
355,892,0.16682563197433423,5
833,883,0.1709937104303314,8
500,867,0.17298194730461397,4
810,845,0.1747263617296141,7
831,919,0.1766011074873621,13
853,926,0.1781379235799467,10
796,844,0.1798161780623973,9
808,900,0.18190401713731283,12
805,807,0.1822270338084681,5
841,866,0.18981791442526197,16
852,880,0.19008378003432289,6
438,914,0.19450735442384873,12
887,893,0.19670853536824787,16
872,897,0.20123931914448576,17
878,886,0.20620021432612498,8
800,850,0.20758497120217875,13
873,918,0.21516806936275948,10
875,905,0.22123450537397582,14
874,877,0.22813079762293673,14
885,891,0.23330548994029868,14
847,915,0.23928081399882944,12
848,909,0.2406600071145974,12
319,899,0.24410427830355505,13
881,901,0.24966453989674314,19
842,937,0.261940681528274,22
903,929,0.2676044336254606,18
896,928,0.26789171174808607,17
296,912,0.2686186715958143,11
898,907,0.2732466988548499,18
895,916,0.2763021468385411,17
894,941,0.2769686081942741,20
827,906,0.2788644244041667,13
902,917,0.2893978217955394,18
923,934,0.3011866311702071,27
749,930,0.30694610882122303,14
889,924,0.3072840623280944,16
882,913,0.3080389443845108,19
876,908,0.3157853687867087,13
911,942,0.3461152886891953,19
910,921,0.34832942450357884,25
927,943,0.3495313164867206,18
884,948,0.3645440630775284,30
922,936,0.37341853461137897,27
933,955,0.3770880520055976,25
932,956,0.39671282637437255,25
925,958,0.4257835070902959,32
938,945,0.43193002042534034,29
920,962,0.4515099010643671,25
940,963,0.4966147312455815,32
947,952,0.5002474920076916,24
946,960,0.5126524455834612,28
939,964,0.5295702237554183,33
965,974,0.5420367514598918,42
935,954,0.5485227959002995,23
931,953,0.5512068665729059,27
951,966,0.5647448539285381,47
957,970,0.6494239832438641,50
969,972,0.6830268309194567,50
944,978,0.6908283316692114,37
959,973,0.7003858100984997,46
961,975,0.7068878484128294,47
950,967,0.7201681693330186,45
968,979,0.7483201232329675,52
949,977,1.0447285372451454,64
976,980,1.0522356368004568,80
971,986,1.1954843137239477,74
981,987,1.675822743540584,102
982,985,1.7981393988353958,97
983,988,2.2257386146494467,101
989,991,2.7265196549417463,182
984,990,2.931942779226968,120
992,994,6.749032867924169,279
993,995,8.495196411330058,221
996,997,11.329452413766905,500
