left_cluster,right_cluster,distance,n_observations
129,254,0.0006964866566080166,2
82,84,0.0008528475175395493,2
155,161,0.0008995149941346846,2
180,181,0.0009018476786768375,2
378,380,0.0010834416479027914,2
356,358,0.0012513731998028846,2
340,341,0.0013589766821303104,2
113,376,0.0015131031949810266,2
21,22,0.002082309246382821,2
160,162,0.002121637166189315,2
415,416,0.0021330724144829434,2
111,115,0.0023793198168211467,2
159,502,0.002754996734295998,3
440,444,0.003030678239313046,2
145,146,0.003205821772474462,2
257,504,0.0033008788113414672,3
289,298,0.0033899051891138937,2
118,119,0.00351671310415203,2
136,137,0.0038690478025943703,2
496,497,0.00398682000470621,2
424,425,0.0040182997380879696,2
219,220,0.004034874133584973,2
474,476,0.004083887665811411,2
239,243,0.004124269002111494,2
456,459,0.004178104865064799,2
413,421,0.004242726895108304,2
461,467,0.004325059176656221,2
23,24,0.004348337213872898,2
122,375,0.004547576290145666,2
362,364,0.004583001252832974,2
215,216,0.0046583213999602776,2
124,511,0.004766652224351373,3
131,377,0.004807444017616116,2
436,437,0.004854609238329943,2
36,41,0.0049011716203454505,2
299,303,0.0049297443830756795,2
9,12,0.004934033432664997,2
192,194,0.005243272961694527,2
116,121,0.005307304635472396,2
163,165,0.005309597901605025,2
241,242,0.005311554955423273,2
150,153,0.005404135565063966,2
63,68,0.00556223321321558,2
417,420,0.005653363269372043,2
271,274,0.005796021159614207,2
49,54,0.0059044706890076385,2
58,59,0.005925738834135235,2
390,398,0.005985422015142277,2
490,491,0.006040093647668902,2
2,3,0.006072945772316077,2
117,507,0.006104175123290825,3
478,481,0.006149280873689312,2
445,453,0.006174875502643021,2
238,245,0.006304707929560211,2
60,62,0.006332100560105653,2
48,51,0.006411673811163628,2
338,339,0.006540405596703828,2
125,126,0.0065782545386428555,2
342,348,0.006609534599375082,2
144,147,0.006611059912583391,2
106,112,0.006726923441230797,2
272,276,0.006784985647310583,2
290,516,0.006822023375562549,3
120,250,0.006826391619499924,2
99,102,0.007002544510627152,2
383,384,0.0070094055694085245,2
76,81,0.007074326207335997,2
231,236,0.007084658790758907,2
294,302,0.007216675119621703,2
224,227,0.007258274207442442,2
71,75,0.007313249256758389,2
166,167,0.007367045433118872,2
325,329,0.007394340659843463,2
138,142,0.007555665991576843,2
483,488,0.007565450783276907,2
130,259,0.007617795832205983,2
439,447,0.00787249205368142,2
4,8,0.007919575051773506,2
65,542,0.00792222637333245,3
108,564,0.00800870762847437,3
211,214,0.0080849365660271,2
28,31,0.008230165794073976,2
363,505,0.008312730270151667,3
178,184,0.008320550852260054,2
19,508,0.008339409098633954,3
149,154,0.008464502912902324,2
475,482,0.008526785395649808,2
395,404,0.008685563235404764,2
306,307,0.008786535263670533,2
317,321,0.008891115814665215,2
493,574,0.008919153284972387,3
158,509,0.009059784034958631,3
354,355,0.009073298267627896,2
304,305,0.009195116991308334,2
386,388,0.009386913925557237,2
83,92,0.009406180427862013,2
87,90,0.009413160823858865,2
66,70,0.009513792244248682,2
322,327,0.009515514100295977,2
330,335,0.009526660406229525,2
346,353,0.00968888165199014,2
17,26,0.009709474274698978,2
226,229,0.009763243034224212,2
196,200,0.009964142987779388,2
419,543,0.010107516800693179,3
328,331,0.010211367476796513,2
33,40,0.010221582155348444,2
176,186,0.010256965514362285,2
156,157,0.010412595516978639,2
97,101,0.010420490232434146,2
285,286,0.010554880459488596,2
468,470,0.010583135559726467,2
396,400,0.010583584737264706,2
333,337,0.0105843765576927,2
489,548,0.010600235376132939,3
428,429,0.010611585687081558,2
77,79,0.010633042280779426,2
351,359,0.010829463059500081,2
521,530,0.010872887015947536,4
544,561,0.010891131531505326,4
266,268,0.010913870734112537,2
442,513,0.010923708769796358,3
469,472,0.01094891816999588,2
277,283,0.011008412877981481,2
18,527,0.011059599459256617,3
300,535,0.011154322857748124,3
452,457,0.011201953439549614,2
370,371,0.011289762094228986,2
253,382,0.011317764972852537,2
367,369,0.011319227142905553,2
265,267,0.011342538994877947,2
528,538,0.01157851397448028,4
43,45,0.011581902660238095,2
310,318,0.01160501719398962,2
187,190,0.01165661336798669,2
292,295,0.011748126830021714,2
29,30,0.011995780577862436,2
430,431,0.012060500853433445,2
308,588,0.012088834191239444,3
401,407,0.012108242302230508,2
94,98,0.012169088494798998,2
320,324,0.01237948403874691,2
402,409,0.012412227538597378,2
473,477,0.012430485796414849,2
72,570,0.012431192873671462,3
168,171,0.012436744934150321,2
164,512,0.012436809549328416,4
80,88,0.012527349219281409,2
260,264,0.012954968556345862,2
16,584,0.013059086869790274,4
93,579,0.013106164538657065,4
6,7,0.013122216110255044,2
50,52,0.013216799680605679,2
188,537,0.013246835811243368,3
46,555,0.013279444379350275,3
244,540,0.013548827809594762,3
495,499,0.01356287809009793,2
206,207,0.013603228796303247,2
212,217,0.013665250346716163,2
379,565,0.013665648351744894,3
14,15,0.01369705415716351,2
35,581,0.013698622035050689,3
256,575,0.0138298193773209,3
133,532,0.013866292588650974,3
291,297,0.013966339352788295,2
261,263,0.01450984531673041,2
221,223,0.014553479008492768,2
449,450,0.014633018761927038,2
132,134,0.014809595722370483,2
197,199,0.014834479269793213,2
177,179,0.014860228959863366,2
433,435,0.015030627393693078,2
139,518,0.015141934054666604,3
357,582,0.015177674002423293,4
412,510,0.015305028132944778,3
463,466,0.0153734409836425,2
397,587,0.015481482585478833,3
347,558,0.01565836800640431,3
235,237,0.015700425482696224,2
394,547,0.015731803329965745,3
406,411,0.01574660451570023,2
123,127,0.01591504322118726,2
282,284,0.015937206377434236,2
213,580,0.015945698052400977,3
53,56,0.016027253927025198,2
193,653,0.016264480558418424,4
550,563,0.016413769049474846,5
323,572,0.01657583635769632,3
557,681,0.016826001481835186,4
172,174,0.016932225934936165,2
391,392,0.01700714212424407,2
61,554,0.017011374553131592,3
109,110,0.017020765228254117,2
534,606,0.017062167863606724,4
296,562,0.017166400956212323,4
5,10,0.01721998638794267,2
100,105,0.01727187777022323,2
128,628,0.017340518619093748,3
551,586,0.017539304219304826,4
315,633,0.017624782673859463,3
203,603,0.017697119452976473,3
86,95,0.017750768028285846,2
104,560,0.017874435728720803,3
42,632,0.01794240802708923,3
372,627,0.018235945486512035,3
486,590,0.018309307635003408,4
47,654,0.01834141401539633,4
279,281,0.01834664152878286,2
251,258,0.018716364229527327,2
611,622,0.018784026868919324,4
313,314,0.018840044272593226,2
262,387,0.01887067256909809,2
247,249,0.018952136015280834,2
343,345,0.01895620550767959,2
135,672,0.01918105527884614,4
228,569,0.019202926174103012,3
25,636,0.019232239577045833,3
209,210,0.01925742260244941,2
34,38,0.01946087273363163,2
270,273,0.019568173135212218,2
255,663,0.019623743340322262,4
385,659,0.019646914290572068,4
373,374,0.019771839749341182,2
169,571,0.01978143464441909,3
336,599,0.01982689036385232,3
479,643,0.02036730873315596,3
366,629,0.020407380779508745,3
454,626,0.02059175707589729,3
103,640,0.020649610990700895,3
458,460,0.02066041026346768,2
182,583,0.020895575554643737,3
418,423,0.020932779133813778,2
503,670,0.021023952565200274,4
55,545,0.021144639879611914,3
64,578,0.021767202463250524,4
389,393,0.021889300848011915,2
405,639,0.021905158338786465,3
350,600,0.02200064440009466,3
67,597,0.022002654165587502,3
269,620,0.022076892338834576,3
595,596,0.022152244744510392,4
414,604,0.022633030652909836,4
360,529,0.022659526110991177,3
422,525,0.02274230013396607,3
441,621,0.02278118297918936,4
464,465,0.02290655124522997,2
288,610,0.022938035098731227,3
173,175,0.02297003165982282,2
368,704,0.022973829579352737,4
455,552,0.023399080311117756,3
312,710,0.023428155317244168,3
189,685,0.023694286021000797,5
222,618,0.023730072480550188,5
623,682,0.02407008936359198,4
195,201,0.024172321259840004,2
20,601,0.024295792147850707,3
332,605,0.02430358938962461,3
85,647,0.024444551189627052,3
204,205,0.02460985568738661,2
319,641,0.024614230353816748,3
141,148,0.02477078782197509,2
218,225,0.02487546700670694,2
408,642,0.024941203064279167,3
344,737,0.025209319513339407,4
316,699,0.02521816716863047,4
651,695,0.025345802716750018,4
426,427,0.02570106422269699,2
515,697,0.02574059477332054,6
448,667,0.02582771402386544,3
531,686,0.026045234777089,8
246,248,0.026259742310815296,2
27,718,0.02628420465941747,3
403,680,0.02648635316640063,3
301,593,0.0266029078939238,3
37,39,0.026623165190975732,2
13,649,0.026719145559837336,5
191,634,0.02685436979490204,3
609,650,0.02698381216987521,6
278,630,0.0270825463916096,3
