left_cluster,right_cluster,distance,n_observations
454,455,0.004154438992420938,2
7,8,0.004250530650179267,2
226,227,0.004286558910041083,2
291,292,0.004884301632522505,2
277,278,0.005202783011612956,2
27,28,0.00526791827296005,2
462,463,0.005299182175613436,2
286,287,0.0071445670258177465,2
495,496,0.007229361928218791,2
165,167,0.008256984985402473,2
458,460,0.008387001634578554,2
385,387,0.008457775410465674,2
243,245,0.008532880900650104,2
379,381,0.008534016649465086,2
483,484,0.008797318936947313,2
374,376,0.008837122642695136,2
2,4,0.009071477382005448,2
348,350,0.009388620483923896,2
377,378,0.009492318749343974,2
211,213,0.009545165774768001,2
120,122,0.009932419951842684,2
136,137,0.010183461555350166,2
362,364,0.010323157658377206,2
334,335,0.011833332020405098,2
301,302,0.01188157033076191,2
466,467,0.01197687765860089,2
70,73,0.012036592467648077,2
447,450,0.012106296961604446,2
150,153,0.01227059814883764,2
336,338,0.012277339871915937,2
452,500,0.012291277418901816,3
367,369,0.0124590225129424,2
418,421,0.012526126034345646,2
118,121,0.012574759324390661,2
298,300,0.012830333682412192,2
382,384,0.012874599289367416,2
51,53,0.013221858444004444,2
238,239,0.013288377080427623,2
182,185,0.013810445266557858,2
224,502,0.01472153309421323,3
443,446,0.014911609891977571,2
200,201,0.015034362342547812,2
396,399,0.015120504124733442,2
151,528,0.01525741920291293,3
186,189,0.015465277876007391,2
157,158,0.015554520870988185,2
308,309,0.015573137474275191,2
26,29,0.015611622329451097,2
0,516,0.015624816010037392,3
268,271,0.01570746616384075,2
86,88,0.015788149084775303,2
110,113,0.015816209756181716,2
59,61,0.01591856331656608,2
240,244,0.0162122061308552,2
208,212,0.016261809115885862,2
100,103,0.016306856172641715,2
391,394,0.016391485096899017,2
25,547,0.016573019890086287,3
171,172,0.01685978171988853,2
132,135,0.016888970139490977,2
402,403,0.01690394342349579,2
19,23,0.017088651445847654,2
97,101,0.017318867777658505,2
178,181,0.017738599795915022,2
115,117,0.0181765032177618,2
252,253,0.0184502024044446,2
141,144,0.018533343557031828,2
254,257,0.018617337166996675,2
477,481,0.018655165684963018,2
386,535,0.01889535040143559,3
343,346,0.019088740581311634,2
46,47,0.019179881034812638,2
74,76,0.019232709724790513,2
492,508,0.019250663748877822,3
324,327,0.019526765931999306,2
468,471,0.019706474501624424,2
11,16,0.02004029886400237,2
124,129,0.020044622755917986,2
154,159,0.020057715292830798,2
192,197,0.02014329732136608,2
175,180,0.02085417229750835,2
229,233,0.02099161602690604,2
123,126,0.021010764013903328,2
130,131,0.021262009504639898,2
232,237,0.02127406061726357,2
479,514,0.022048934415721307,3
50,52,0.022319792282942657,2
40,44,0.02235372389163215,2
361,365,0.022456796796521735,2
320,325,0.022921212056271574,2
525,575,0.023163553006283217,4
303,304,0.02331644628166104,2
397,556,0.023608190045004983,3
293,297,0.023896424532733423,2
128,133,0.02390082637799586,2
145,146,0.02410334029665599,2
283,289,0.02420946685151934,2
429,431,0.024291242792003894,2
266,272,0.024598625759861183,2
372,531,0.02464579530448167,3
161,509,0.02472580078906748,3
190,191,0.024727943476519083,2
482,485,0.024872364494793863,2
41,45,0.024889451316796027,2
5,548,0.025284096930137452,4
275,280,0.025294413837037396,2
33,37,0.025353413228870424,2
205,541,0.025513046396043876,3
75,81,0.025578118400057203,2
12,13,0.025737550907033408,2
420,426,0.025773535859445636,2
353,354,0.025782390738619845,2
422,427,0.026079288781665856,2
63,64,0.02614622454671835,2
48,49,0.026225512651848526,2
177,183,0.026257436923862915,2
225,230,0.026468294092094637,2
138,521,0.026777747586074943,3
246,247,0.02686325940160143,2
65,71,0.02696888577399628,2
261,267,0.0271282038016219,2
433,436,0.027158928827944327,2
6,9,0.027268333739209977,2
388,511,0.027281726819929183,3
281,284,0.027332091677035902,2
409,410,0.02751713435802253,2
82,83,0.0275509578823274,2
149,152,0.02772811391468744,2
437,442,0.027937176283649227,2
345,517,0.0280992212513599,3
18,24,0.028329202612549065,2
428,435,0.028426630669867326,2
401,407,0.02861267500512809,2
105,555,0.02869324895443222,3
520,564,0.02920804270303817,4
322,329,0.029316493795319743,2
79,84,0.02948467205194342,2
408,415,0.02995400410840672,2
54,57,0.030190198290838154,2
242,537,0.030637747541393125,3
340,344,0.030719654027733027,2
127,559,0.031028296399514058,3
406,412,0.031113166082371486,2
195,196,0.03119624360727063,2
370,371,0.03156736982981417,2
456,530,0.031586297200906624,4
258,265,0.031897029711953365,2
475,478,0.03222551899270307,2
318,323,0.03227849896333285,2
296,534,0.03306287663177159,3
439,540,0.03336743482929805,3
515,518,0.03362234573723748,4
313,319,0.03386439243734902,2
184,601,0.03425429753648803,3
480,585,0.034620021578324264,4
363,599,0.03472730115756496,4
256,264,0.034805752919146275,2
570,629,0.03492078393021965,5
295,524,0.035415434236329944,3
92,99,0.035539202730711095,2
390,542,0.035874387756322,3
307,315,0.035897629317119886,2
89,94,0.03592816919875219,2
30,36,0.03602264326456396,2
109,111,0.03616801324080361,2
276,285,0.036180906148407584,2
459,506,0.03621031066027319,3
194,202,0.036214901067586215,2
299,306,0.03645697797519668,2
351,356,0.03689943117755165,2
174,176,0.037024241634505815,2
107,562,0.03705146329511598,3
490,499,0.037069356121447766,2
316,546,0.037533287537835046,3
164,545,0.037818353501590685,3
314,673,0.037899646749877273,4
66,67,0.03791278240226136,2
139,148,0.03794618906568825,2
255,260,0.038118005747582825,2
400,404,0.03821886123662779,2
228,584,0.038742155065663406,3
279,288,0.0394643542270954,2
