left_cluster,right_cluster,distance,n_observations
413,414,0.00401474172552351,2
269,270,0.004170681519339157,2
433,434,0.0047196266075005535,2
366,367,0.004751785020995295,2
375,376,0.004896851384281808,2
349,350,0.005307613848925153,2
385,386,0.005846261846299183,2
259,260,0.006258284862308296,2
276,277,0.007027804205449561,2
429,430,0.007037011037681504,2
181,182,0.007610605640236954,2
153,155,0.00805872177264736,2
334,335,0.00820753446162041,2
184,185,0.008652930059796107,2
162,164,0.008910284353329656,2
478,480,0.008967423756647991,2
204,206,0.008998598455688756,2
201,203,0.009028077610670603,2
317,318,0.009148748790185695,2
192,193,0.009721585092923474,2
444,446,0.009904495503798093,2
437,439,0.010081295060031584,2
322,324,0.010144468441293094,2
346,348,0.010241539237849416,2
333,512,0.010311252797137427,3
108,110,0.010955405258138295,2
83,84,0.011281263925198891,2
2,3,0.011548800765468175,2
424,426,0.011712529800147073,2
304,306,0.011768792381382872,2
67,70,0.012027160789776678,2
166,169,0.012073377653886963,2
50,51,0.012080514223808547,2
142,144,0.012179676204274533,2
121,124,0.012183727666804086,2
209,211,0.012273873073294929,2
465,467,0.012565518597076348,2
408,410,0.01263439326833179,2
12,14,0.012838240836850355,2
361,364,0.012941496833388891,2
227,230,0.013031486525040183,2
262,265,0.013108635870109362,2
16,19,0.013417376665534714,2
89,91,0.013553862073009317,2
82,85,0.013723160539859443,2
309,311,0.013859398593261942,2
368,371,0.013905523673459859,2
212,214,0.014163663633112241,2
398,401,0.01438968555117416,2
32,35,0.014618125049695077,2
143,145,0.014630589358256613,2
240,241,0.014883403825351336,2
275,508,0.0149691225744945,3
469,471,0.015211832616124295,2
412,537,0.015880693407282084,3
112,116,0.016067688650162126,2
131,133,0.016198310901699202,2
168,172,0.01620613755389027,2
127,130,0.01628203645276852,2
340,344,0.016298422790231467,2
128,129,0.016305654915822445,2
163,167,0.016307931489280073,2
15,542,0.01632663619002066,3
418,422,0.01641006570245002,2
24,26,0.016487415978700255,2
257,261,0.016697434121557116,2
77,80,0.017118074763840654,2
288,291,0.017155715365404604,2
483,486,0.017303451461144113,2
55,57,0.01745816154601965,2
170,174,0.017845677125565576,2
389,393,0.017929407902933788,2
135,137,0.01831053735210676,2
272,501,0.018374239696880647,3
188,189,0.018500659756110552,2
252,255,0.018546715451050896,2
402,548,0.019021392426596805,3
316,518,0.019071651892520428,3
445,449,0.019293665493418856,2
253,254,0.019556561356408958,2
228,233,0.02004024421303101,2
435,440,0.020063314501302408,2
109,114,0.020226346524177524,2
61,66,0.02024097032866221,2
474,479,0.0204102556700192,2
282,287,0.020665995997907458,2
299,300,0.021111704784802354,2
337,342,0.02135610294068574,2
448,520,0.021680077019117883,3
183,186,0.021789661251885317,2
72,530,0.021885452331279226,3
147,533,0.022210348818374092,3
293,295,0.022488770741633725,2
373,377,0.02252553131821511,2
374,379,0.022531867329879458,2
281,286,0.022603779594802833,2
354,358,0.022699109909992722,2
207,516,0.022796411581801995,3
327,522,0.023090470053603263,3
492,493,0.023181771179398538,2
394,399,0.023414826991101693,2
99,103,0.023509852939010426,2
195,199,0.023778932220077063,2
243,248,0.02387002573174642,2
159,511,0.024022233924506142,3
400,406,0.02404811024978545,2
405,411,0.02406844084161078,2
92,96,0.024072947349651007,2
154,160,0.024405731399900318,2
97,102,0.02454257282999942,2
343,345,0.025082327502543987,2
59,65,0.025087778181010167,2
310,529,0.02520467794141235,3
421,427,0.025379826957144767,2
179,510,0.025755522437357625,3
98,101,0.02593554802912081,2
312,314,0.02608989234579795,2
223,540,0.026492915167901743,3
176,178,0.026639794631149936,2
290,296,0.026735663989242132,2
4,527,0.026999066611008142,3
496,499,0.0270004156661359,2
171,531,0.027024421933647298,3
232,237,0.027187050584857497,2
149,152,0.02726409518613673,2
74,79,0.027488620693409575,2
200,597,0.027819639336621547,4
132,558,0.027829986554290066,3
219,225,0.02792747875662667,2
68,73,0.0280352855610854,2
308,315,0.028065682956669145,2
1,8,0.028071684884564754,2
325,332,0.028123478910800116,2
284,567,0.028380719653342067,3
457,461,0.02838604004229361,2
383,390,0.02844377461385343,2
285,292,0.028809859581311225,2
180,513,0.029031224687415917,3
58,64,0.029347671591749145,2
136,141,0.029444111773890135,2
