left_cluster,right_cluster,distance,n_observations
188,189,0.004008227477260954,2
77,78,0.004008609777734307,2
67,68,0.004017398758520581,2
438,439,0.00401874948548907,2
232,233,0.004023396941988566,2
390,391,0.004037709113640647,2
70,71,0.004069602044218049,2
338,339,0.004110348035267137,2
127,128,0.004111364493761947,2
444,445,0.004139117090487928,2
431,432,0.004224301530520533,2
359,360,0.004317058431449774,2
169,170,0.004322986172808117,2
448,449,0.004365884795838512,2
247,248,0.004520471351024188,2
177,178,0.004562405996467127,2
110,111,0.004692362579667844,2
258,259,0.004700089748828108,2
278,279,0.0047069129625908375,2
479,480,0.004738019822738646,2
198,199,0.004781965189195553,2
321,322,0.004803355435584309,2
107,108,0.004821360124971001,2
291,292,0.004906992351651347,2
403,404,0.004945534751542218,2
172,173,0.004961077810893469,2
230,231,0.005000944077177639,2
303,304,0.005004804854838708,2
227,228,0.005018262293537707,2
90,91,0.005145369912874243,2
240,241,0.005231064530541703,2
180,181,0.00536193202843101,2
222,223,0.005548857162665199,2
130,131,0.005680914089991266,2
216,217,0.0057625110708836485,2
154,155,0.005957533976506048,2
204,205,0.006069051077869025,2
165,166,0.006155160440643518,2
236,237,0.0061705053754178025,2
119,120,0.00618858994109516,2
477,478,0.006319842913070915,2
116,117,0.006573572336301705,2
394,395,0.006646744124238785,2
133,134,0.006754153148949637,2
398,399,0.0068387062035368965,2
348,349,0.006907750528562788,2
330,331,0.006908888413067382,2
371,372,0.007055272664419543,2
392,505,0.007118081857849844,3
440,441,0.007155165543069434,2
337,507,0.007300491689319749,3
328,329,0.00730101725583427,2
343,344,0.007328278345577576,2
361,362,0.007346418161590835,2
286,287,0.007358056982695935,2
402,524,0.00745687174065226,3
369,370,0.007614864862477594,2
293,294,0.0076246993838967785,2
152,153,0.00768718280993725,2
72,73,0.007708297447187695,2
81,82,0.007789607269561937,2
125,126,0.00780008717211157,2
145,146,0.007840368498168934,2
296,297,0.007931836622562612,2
350,352,0.008016228964413872,2
262,264,0.008017140557701388,2
206,208,0.008017736983104271,2
138,140,0.008022381245043784,2
121,539,0.008043754922675105,3
340,342,0.008054969737570358,2
75,76,0.008058421312304873,2
317,319,0.008091638408115123,2
255,257,0.008100849400201763,2
249,251,0.008153199928069342,2
122,123,0.008168046538761298,2
269,270,0.008175528448290977,2
182,531,0.008249196592754068,3
353,354,0.00833726873698182,2
334,336,0.008339733090203033,2
185,187,0.008451411606499825,2
194,196,0.008532639325374609,2
191,193,0.008592252835767249,2
458,459,0.008655103603467142,2
306,307,0.008669748917216771,2
384,386,0.008672626365717065,2
272,274,0.008728280631425826,2
280,282,0.008760309712165062,2
299,301,0.008883126545211046,2
358,511,0.008893539665961084,3
124,561,0.008957004084415425,3
42,43,0.008991154260237853,2
112,113,0.009031771814199178,2
387,388,0.009040481227476855,2
213,215,0.009065006914976692,2
442,443,0.009072980173028263,2
377,379,0.0094929446891689,2
305,527,0.009560321318274567,3
400,401,0.009572949488944025,2
418,420,0.00977501260415156,2
254,256,0.009787873518305885,2
220,221,0.009789802926464225,2
366,367,0.009806188926412874,2
376,378,0.009821130561026459,2
410,412,0.009822109123867767,2
324,325,0.00985263341424816,2
405,407,0.009858521678090171,2
267,268,0.009928545535157077,2
97,98,0.009951021585722837,2
320,521,0.009955030758315601,3
277,518,0.010025992417132942,3
58,59,0.010026959110425565,2
246,514,0.01007181689999273,3
332,333,0.01014789901130993,2
487,488,0.010151178537295929,2
314,315,0.010179729424739565,2
411,413,0.010429193739859356,2
159,161,0.010471376824901391,2
415,416,0.010522941124836196,2
374,375,0.010547005593708712,2
61,62,0.010639310226131632,2
141,142,0.010659710803102445,2
451,453,0.010671096203761317,2
101,102,0.010750218084149086,2
135,136,0.0110942165468906,2
323,608,0.011159600846815844,4
168,512,0.011184484141489728,3
203,536,0.011259880208182768,3
295,563,0.011484486038056765,3
143,144,0.0115148341932291,2
283,284,0.011553317224175238,2
56,57,0.011570306122213771,2
346,545,0.011688683927745828,3
351,577,0.011894474521680236,3
312,313,0.011972006482923209,2
433,435,0.012027000900451763,2
209,212,0.012057198757254108,2
309,311,0.012102677379984727,2
219,534,0.01212786939505835,3
149,151,0.012182216917488276,2
9,10,0.012224341473232956,2
260,517,0.012226669186347633,3
275,585,0.012242943816066984,3
424,427,0.012322391996687446,2
423,425,0.012408417715969188,2
200,201,0.012445900109847871,2
156,158,0.012526291394794031,2
243,245,0.012583645936057559,2
380,383,0.012729720633525449,2
89,529,0.01277699215637038,3
92,94,0.012805188363662016,2
225,528,0.012840006375910136,3
218,600,0.01292080814485364,3
335,612,0.012939321431484564,3
176,179,0.013001395707831303,2
429,510,0.01306983671403351,3
434,436,0.013180112858390332,2
302,587,0.013311578390824658,3
115,118,0.013563359146366786,2
265,565,0.013625186272208389,3
495,496,0.013626527603506019,2
242,244,0.013635918436865289,2
419,598,0.01377995712120099,3
446,447,0.013801866850953325,2
408,605,0.013857186401722116,3
190,581,0.014086927333016992,3
273,276,0.014156744358055674,2
137,139,0.014210798065176526,2
428,430,0.014325987939671166,2
207,210,0.01442545804580513,2
261,640,0.014534727959374005,4
192,580,0.01457856675230903,3
160,163,0.01469080079094825,2
164,167,0.014747074801239464,2
318,571,0.014803176790858134,3
457,460,0.015098250824477437,2
406,555,0.015242608447468347,4
99,607,0.015289443674078137,3
345,347,0.015473077662182023,2
426,643,0.015577310261031783,3
397,544,0.015604999550926016,3
385,584,0.01603966047605214,3
530,660,0.01617462948723478,4
27,28,0.016212582218158602,2
195,520,0.016297703677992,3
288,523,0.016458539110377517,3
226,532,0.01652093958633664,3
450,513,0.016786922822608245,3
356,588,0.016922619045376657,4
469,470,0.01694332654518387,2
129,533,0.01703367816058928,3
464,465,0.01706442829721634,2
363,365,0.01725606640567923,2
30,31,0.01741717201415911,2
393,542,0.017436878916233734,3
327,546,0.017443453185563514,3
454,456,0.017952225500343397,2
310,583,0.018244776511709426,3
171,525,0.018321674694074877,3
38,39,0.01836026696524004,2
211,214,0.018479433917041026,2
364,601,0.01879412163479257,3
389,592,0.01881040854862436,3
202,626,0.018826402886946675,4
183,184,0.018883641425496492,2
552,677,0.01922705539206935,4
472,473,0.019298267801848283,2
373,602,0.01958158407417171,3
381,680,0.019661732233371785,4
252,253,0.02011228888534424,2
150,638,0.020151754584023823,3
45,46,0.02032597372335488,2
238,239,0.02041187730826455,2
104,105,0.020552675685719606,2
285,290,0.02067031529309785,2
266,271,0.02086822813545723,2
421,422,0.020986057581075294,2
229,234,0.02101244055560198,2
235,526,0.021062781060429477,3
575,606,0.02113227602220958,4
224,651,0.021507919797063887,4
368,556,0.02155043123790006,3
49,50,0.021597898791970913,2
474,475,0.021642690004728373,2
355,357,0.021795585996988234,2
289,557,0.021924182228759165,3
550,569,0.02201863566268235,5
109,522,0.02219838657455359,3
504,717,0.02227991467748847,5
64,65,0.022337811138855135,2
281,629,0.022703832741555977,3
437,655,0.022813670467368662,3
326,624,0.022887733549049872,5
