left_cluster,right_cluster,distance,n_observations
398,399,0.004128040738448136,2
457,458,0.004185959418801875,2
345,346,0.004655282116410236,2
320,321,0.005201871297595791,2
76,78,0.008081150491901015,2
354,356,0.008241096430252295,2
325,327,0.008381385379067387,2
251,252,0.00887529667199643,2
495,497,0.00917204103260486,2
62,64,0.009223237232561186,2
289,290,0.009265140299440727,2
16,18,0.009387361412912283,2
202,203,0.009541501493530367,2
53,55,0.009806462324651608,2
312,313,0.009826094139382383,2
181,183,0.009897918696495327,2
456,501,0.010075627932255412,3
472,474,0.01022014137994492,2
225,227,0.010485760726193102,2
159,160,0.011119198810371989,2
142,143,0.01126839600501433,2
389,390,0.011276404902515049,2
417,419,0.011416782854764742,2
1,2,0.01165301051831591,2
299,302,0.012024703314507886,2
447,450,0.012031667835440922,2
393,396,0.012469473299173429,2
490,493,0.012518430885110999,2
375,378,0.012546948664995177,2
193,194,0.013612754074014462,2
482,485,0.01392055105776987,2
61,63,0.013950217725284602,2
29,30,0.013980129822273375,2
366,368,0.014222807680529305,2
177,180,0.01437904270981348,2
424,425,0.014409526129840892,2
115,118,0.01452189816057156,2
166,167,0.01486995665877774,2
318,503,0.015206136793885784,3
403,406,0.015295725339325024,2
171,174,0.01565383300092976,2
445,446,0.015712576864461196,2
420,423,0.01609965721370058,2
301,305,0.016272285633202935,2
337,341,0.016396300847152784,2
25,27,0.016445851163588782,2
467,468,0.016526849002807143,2
200,204,0.016710378775749154,2
51,513,0.017228882447365788,3
258,261,0.0176801353234531,2
131,134,0.017859933950183777,2
105,109,0.01790629492140499,2
268,272,0.018724467302405144,2
426,428,0.01874014350412558,2
330,506,0.018771288927497718,3
475,517,0.019140016910270702,3
256,259,0.019459329278036522,2
24,26,0.01956866049152082,2
285,287,0.01967857250578108,2
414,418,0.019757350901724535,2
236,238,0.019833371953212803,2
358,360,0.01992578345359163,2
460,462,0.01993996032657974,2
263,549,0.020060246212326542,3
439,441,0.020092220180661386,2
344,348,0.020146124739253382,2
243,248,0.020174207478443437,2
488,527,0.020199254109117167,3
486,491,0.020324381283337134,2
151,154,0.020393542750239555,2
179,184,0.020423014262172624,2
136,550,0.02042743871771813,3
380,385,0.020456718839905068,2
5,9,0.02047888854403833,2
14,19,0.02051463018884713,2
41,46,0.020741315076970433,2
397,526,0.020820079982969582,3
52,57,0.020939013501175403,2
400,404,0.021035260160509515,2
410,412,0.021092117228990306,2
112,114,0.021118815333555776,2
147,150,0.02130398958600296,2
483,487,0.02160331318986208,2
190,191,0.021825464107284847,2
146,149,0.021940421632574706,2
156,161,0.022389756357006966,2
392,521,0.022789930498982834,3
79,504,0.022825374934283663,3
437,438,0.02292068099515833,2
237,242,0.02311665968569048,2
15,511,0.023221568756022753,3
192,196,0.023228277968068752,2
123,124,0.023281790212631236,2
104,108,0.023654330380906006,2
66,67,0.02377226077527545,2
127,129,0.023837954654832735,2
246,249,0.023935637095005787,2
224,230,0.02405734398792031,2
130,135,0.024077165077405545,2
449,455,0.024153284615401584,2
372,533,0.024219305274803257,3
102,107,0.024240650279601705,2
65,71,0.024252469365112588,2
370,376,0.0243102436015748,2
319,324,0.024336091371078346,2
119,125,0.024826234097173872,2
288,294,0.02493224266349867,2
333,339,0.025082872609972787,2
359,362,0.02522531481374972,2
298,304,0.025388802297807496,2
531,594,0.025847115728615127,4
187,515,0.025866467405114574,3
162,164,0.026074197115766588,2
92,98,0.02612305644449862,2
405,411,0.026129231947538037,2
332,334,0.026281242975466128,2
40,43,0.026412572986776163,2
436,564,0.026907123840869084,3
234,240,0.026992019808453678,2
282,283,0.027110354366725507,2
357,361,0.028016017922620505,2
4,11,0.02805799035691072,2
473,480,0.028096794591604038,2
210,217,0.02821957970286674,2
292,295,0.028280372413140253,2
322,554,0.02833387145996573,4
255,262,0.028521658647267835,2
85,89,0.028772852812527488,2
93,99,0.028775709991816424,2
374,381,0.028934725178086658,2
132,138,0.02922201618274179,2
407,579,0.029229136138229195,3
307,514,0.02949443933799271,3
7,8,0.02974548337716491,2
84,88,0.03027005713819653,2
331,336,0.030418639818178134,2
155,581,0.03045859160290226,3
461,466,0.03048077471997048,2
228,518,0.030628333910517423,3
215,218,0.030763724670778248,2
157,158,0.03090995199656947,2
209,512,0.031151656928018318,3
254,507,0.031432994655554033,3
205,208,0.0314588308337464,2
265,266,0.03167423022635167,2
90,95,0.031822349742153644,2
355,561,0.03208410732861339,3
120,128,0.032130032538388226,2
175,534,0.03216719154651508,3
97,101,0.032431929560345144,2
296,543,0.032433669859542796,3
278,286,0.0325033742369154,2
520,584,0.032513293706389015,4
91,94,0.03261610400066216,2
293,558,0.032619161075118495,3
273,281,0.03271073100338586,2
384,386,0.0327372923104501,2
542,553,0.0329213552469448,4
408,614,0.03299073379993214,3
10,574,0.03381175985848831,3
172,537,0.03382398340060842,3
463,546,0.03408027990238619,3
188,195,0.034111663696294516,2
469,470,0.034156207998319324,2
148,153,0.034678533996598065,2
297,510,0.034722469732599785,3
17,23,0.034779713495540765,2
185,583,0.035093726747481215,3
241,566,0.035353039260252565,3
459,464,0.035361028612151055,2
49,577,0.0354006189779677,3
367,371,0.0358976594688948,2
199,206,0.03632931086618845,2
388,576,0.036504593158412306,4
74,587,0.03661524043799757,4
433,434,0.036948317841172106,2
314,323,0.03695155505716793,2
492,498,0.037012185178497754,2
35,44,0.037071550412397423,2
34,39,0.0372225857957854,2
169,173,0.037377043585394155,2
106,593,0.037631651711329664,3
440,444,0.03765477354307443,2
116,536,0.03795061092888417,3
409,559,0.03818261370151922,3
260,626,0.03828836730650621,3
271,277,0.038474077078381005,2
415,416,0.03924382070670714,2
347,350,0.03950394365256924,2
77,83,0.03964994044287997,2
