left_cluster,right_cluster,distance,n_observations
282,283,0.004008644287040267,2
146,147,0.004011332471420848,2
225,226,0.0040161808034139745,2
162,163,0.004104903608480388,2
359,360,0.004173815877480589,2
2,3,0.004309974389304335,2
438,439,0.004787913663657888,2
375,376,0.004809634846403579,2
362,363,0.00509528083306847,2
105,106,0.005262981519286955,2
397,398,0.005493805490916094,2
280,281,0.005545610832406595,2
175,176,0.005992754837195248,2
14,15,0.006004814014237626,2
242,243,0.006185173142428482,2
151,152,0.006274628710980771,2
300,301,0.006310179335286461,2
222,223,0.00673428443224568,2
114,115,0.007264581393661847,2
426,427,0.00780803670674383,2
94,95,0.007815408446083706,2
279,511,0.007831310678495252,3
276,278,0.008027597402304378,2
311,313,0.008042951462626343,2
339,341,0.008099340372774334,2
83,85,0.008136446976603115,2
461,463,0.008187932996638335,2
166,167,0.008201611612725352,2
271,273,0.008209031953468289,2
406,408,0.008396517449383854,2
38,39,0.00844156084360409,2
292,294,0.00848300168892156,2
264,265,0.00860237423429614,2
66,68,0.008681564856966128,2
192,193,0.008760670407330237,2
432,434,0.008787402451530292,2
440,442,0.008817943685071989,2
154,156,0.008896295973449337,2
317,318,0.00902864874382837,2
72,73,0.009126085862688494,2
171,173,0.00916410055752878,2
364,365,0.009286074601031888,2
445,446,0.00940378704851449,2
285,287,0.009606612349602004,2
76,78,0.009636595872952217,2
110,111,0.009686350311551543,2
340,524,0.009709126701520344,3
372,373,0.009740951123209211,2
348,350,0.009788105801761869,2
312,314,0.009993613870880543,2
134,135,0.01002556779383515,2
129,131,0.010030217351892315,2
470,471,0.010101383861541427,2
237,238,0.010418542003406576,2
344,346,0.010617292045020472,2
233,235,0.01078193073989508,2
298,299,0.010839219802093758,2
431,433,0.01122775554181346,2
385,387,0.011317133879590926,2
330,331,0.011442434196782406,2
100,101,0.01153291084525621,2
321,322,0.011574806222409738,2
17,513,0.011592231641512173,3
361,504,0.011608633900603772,3
170,540,0.011628181366862092,3
253,254,0.011937753527743938,2
142,145,0.012029280435691193,2
55,58,0.012099446832906344,2
41,44,0.012103516175387736,2
412,415,0.012109588340291964,2
396,399,0.012249903912949039,2
88,90,0.01225369063979796,2
391,394,0.012257451559203974,2
468,469,0.012259983281575789,2
335,338,0.012315418873869128,2
258,261,0.012387763980087096,2
284,286,0.012406361759189561,2
227,230,0.012490681267397821,2
202,203,0.012511086497571502,2
267,270,0.012631614700922814,2
377,379,0.012635478574016316,2
125,126,0.012701262477390327,2
67,69,0.01272423429714217,2
389,390,0.012730293226484647,2
127,130,0.01276646688714797,2
218,219,0.012899720709251368,2
155,158,0.012976947908636564,2
138,141,0.013120422570013402,2
401,403,0.013259987933566633,2
508,541,0.013268711129283212,4
380,381,0.01342837140645935,2
174,177,0.013641988879715603,2
324,326,0.013707587035857996,2
367,369,0.013731905909054905,2
371,374,0.014071830601279652,2
290,531,0.01419769080613169,3
272,528,0.014211823182617723,3
241,514,0.01427824364640923,3
75,539,0.01428762219215616,3
421,422,0.014398528372706297,2
453,455,0.014399611099139658,2
80,82,0.01459701978129952,2
309,523,0.01498471487461358,3
417,419,0.015501300325617058,2
137,139,0.015767996797974353,2
195,196,0.015848334823133255,2
210,211,0.015982158949348336,2
136,140,0.016039652362334123,2
205,209,0.016089179256188364,2
86,87,0.01613022494195033,2
150,515,0.01615260753342114,3
482,486,0.016179370024324128,2
97,520,0.016196408541627412,3
355,358,0.01621976494191032,2
179,512,0.016608570978660163,3
325,329,0.0166293428919257,2
77,544,0.017115598586346318,3
194,534,0.017161295595515866,3
184,187,0.017465894706188135,2
22,25,0.017509367772787235,2
63,64,0.01755533879998974,2
334,559,0.017650953303747483,3
240,244,0.01781009928828039,2
447,448,0.017910775806094726,2
1,4,0.01797619658194453,2
293,295,0.017992706546734235,2
351,354,0.01831925218025049,2
6,8,0.018322746293436623,2
57,60,0.018438482341194603,2
42,46,0.018490832078888138,2
29,33,0.01861279854042027,2
489,490,0.018711784149700414,2
288,291,0.01871305359079397,2
437,535,0.018796005420966683,3
259,575,0.019588251170526247,3
27,31,0.019637871026686075,2
112,545,0.019927178524812444,3
208,212,0.019976779788991237,2
302,307,0.020159833585160727,2
310,315,0.02019268612467126,2
121,123,0.020248539293553015,2
553,555,0.020284232587037297,4
43,48,0.020672893734000764,2
51,54,0.020675725681922157,2
477,478,0.02087052887474368,2
40,45,0.020979898734830343,2
204,206,0.02109555993497078,2
395,400,0.02111729211699016,2
19,21,0.02114729645791166,2
169,527,0.02119058267137841,3
7,505,0.021252275704933623,3
245,250,0.021257767984979956,2
118,119,0.021579884608998224,2
441,444,0.021996786909197444,2
353,548,0.02224536900599699,3
274,522,0.022268426440629183,3
65,533,0.02243004886953111,3
198,200,0.022719773672562536,2
413,414,0.02283374240128059,2
148,610,0.022977851931947013,4
296,595,0.023040234844762073,4
188,191,0.02334233031253821,2
452,456,0.02335223363467461,2
149,153,0.023369668544569615,2
11,16,0.023641170106592328,2
79,525,0.023828373129898293,3
181,185,0.023914165499795085,2
248,252,0.02418905724202312,2
144,566,0.024320059846110752,3
516,556,0.02436017695897225,4
343,546,0.024436088862095334,4
47,568,0.024513982008565253,3
316,602,0.024561411751354876,4
275,521,0.024740756328972078,4
98,103,0.024851289243455546,2
30,35,0.02491267271796382,2
420,425,0.024997962013954503,2
591,614,0.025027708339170934,5
277,596,0.02531322617355843,4
224,228,0.02536278036171827,2
269,532,0.025374652817543236,3
116,120,0.0254686551124987,2
220,502,0.025474287523874817,3
423,603,0.02548710441924312,3
582,620,0.02557201072384612,4
409,410,0.025689445605666772,2
480,485,0.025701200029136645,2
160,161,0.025828337422260532,2
249,255,0.025853318980942834,2
133,604,0.026035974019933607,3
305,306,0.02606424072921345,2
20,562,0.02624410536137332,4
215,637,0.026482864069464988,3
570,588,0.027038379955025817,4
472,473,0.02732195649557943,2
476,479,0.027825917749635665,2
366,368,0.027923920140942825,2
488,494,0.027958365660340583,2
262,266,0.028060516429332775,2
327,621,0.028065758362506188,4
576,632,0.02813495394434616,4
217,221,0.0282571477169889,2
132,607,0.02829341681943295,3
297,304,0.02832980379997122,2
388,392,0.028409265445796566,2
26,32,0.02875981241943535,2
457,662,0.028864832180559203,3
182,189,0.02895656721447605,2
143,587,0.029356233494224854,3
320,538,0.02977944721900462,3
