left_cluster,right_cluster,distance,n_observations
433,434,0.0020109956331185105,2
367,368,0.0020372735184060234,2
234,235,0.002245913938877373,2
397,398,0.002287201196828935,2
474,475,0.003656308109061289,2
423,424,0.0038010167891992953,2
349,350,0.003824745102890765,2
261,263,0.0040140538275040254,2
327,329,0.004056092178420479,2
122,124,0.004058136374408848,2
289,291,0.004156980327671575,2
215,217,0.004358786626838408,2
266,268,0.004408039964806457,2
43,44,0.004479750478985102,2
5,7,0.004522716541789029,2
73,75,0.00452384806234909,2
206,208,0.00482412741808929,2
192,194,0.005014716232240259,2
164,166,0.005067914681579793,2
17,18,0.005131998029273085,2
21,23,0.005247332115307639,2
149,151,0.005328565742366578,2
178,180,0.005375116526801663,2
78,80,0.005375751096665162,2
257,259,0.00550903725286322,2
214,216,0.006403552400004228,2
162,163,0.006442099397585831,2
54,56,0.0065439946828395245,2
19,20,0.006648939449793525,2
127,129,0.007013640781896655,2
47,49,0.007102229757822107,2
72,74,0.007147645992138117,2
269,271,0.007206056061766745,2
24,27,0.0072759339045503305,2
126,509,0.007315179137087915,3
388,390,0.007321640126800537,2
39,42,0.0074497541089476255,2
294,296,0.007449811680896954,2
378,381,0.007478576078765001,2
152,153,0.007829242414272337,2
418,419,0.007833336777525074,2
117,120,0.007834568456499437,2
187,188,0.007980480295217744,2
357,360,0.008069586932066462,2
464,468,0.008276880793623735,2
96,100,0.008334492939585632,2
410,412,0.008348836707383468,2
407,411,0.00836766693249739,2
150,154,0.008390407764979013,2
477,504,0.0084907102555122,3
81,82,0.008580714557650058,2
318,319,0.008594908865881268,2
157,159,0.008699294387137898,2
305,308,0.008719835435077912,2
487,490,0.008785505434103558,2
76,531,0.009339298051053449,3
133,134,0.009402478413817512,2
245,247,0.009572064097138743,2
444,447,0.009576160377678184,2
442,445,0.009589386402469799,2
339,342,0.009715534784534751,2
425,429,0.009993478403693287,2
106,111,0.010059207271846279,2
380,382,0.010181889124255952,2
93,98,0.010389153174767372,2
489,494,0.01041616183150293,2
137,142,0.010650732682672361,2
394,503,0.010699878053797657,3
427,431,0.010717542127513625,2
9,14,0.010729546307477508,2
232,236,0.010859026749492046,2
12,16,0.010961109664237205,2
59,61,0.01098262721440143,2
108,562,0.011164581102866923,3
332,334,0.011279599589028763,2
104,109,0.011287301088280167,2
29,32,0.011329935168698485,2
369,371,0.011356992674954276,2
140,145,0.011390094155894922,2
331,335,0.011482482065581084,2
46,530,0.01152498584826171,3
197,202,0.011542265898014537,2
219,525,0.0115894058361479,3
195,196,0.011894558902869742,2
272,278,0.01209642833936964,2
135,141,0.012213197741877551,2
34,40,0.012264648531064688,2
77,523,0.012383009539228463,3
155,521,0.012497069022404267,3
175,522,0.012597719111828025,3
84,89,0.012709475441241172,2
304,306,0.012868730615640032,2
86,92,0.013027884321342473,2
110,114,0.013033720975772801,2
33,37,0.013060157136073072,2
284,287,0.013279575390377689,2
237,241,0.013305693887929392,2
30,31,0.01338486678329495,2
467,469,0.013385293789279192,2
430,436,0.013405175848263643,2
25,576,0.013495293630172487,3
174,177,0.01359510077918778,2
353,354,0.013619833192420595,2
254,256,0.013733560092079893,2
2,3,0.01403458161169426,2
321,551,0.014043961034131204,3
190,193,0.01406681522087395,2
222,511,0.014069507656443984,3
160,518,0.014116745807235329,3
218,225,0.014118739471640584,2
288,510,0.014212404773876875,3
280,282,0.014228331455653056,2
221,582,0.014238974689380395,4
87,94,0.014367469432194356,2
6,8,0.01455633367528026,2
131,138,0.014616813283321803,2
498,499,0.01471173220291374,2
492,495,0.014964169338779665,2
161,552,0.01501607486175736,3
252,253,0.015121405530635375,2
181,542,0.015139359842489727,3
200,201,0.015171529902632106,2
336,340,0.015252487751313508,2
281,285,0.01526823093535174,2
295,537,0.015283025960773501,3
116,119,0.015359638143137224,2
374,379,0.015403233072671834,2
405,546,0.015891331886119485,3
48,513,0.01596584002216113,3
209,516,0.016089694652156834,3
512,532,0.016115590644379188,4
95,103,0.016278355811498214,2
112,541,0.01636247090866061,3
38,45,0.016486506023364732,2
316,324,0.016671326893400246,2
376,384,0.016858340431547467,2
414,420,0.016869747949907647,2
107,113,0.01688309899467564,2
364,372,0.017123368601097286,2
171,179,0.01714428552923279,2
66,69,0.0172894475994986,2
52,58,0.017291935080194894,2
293,301,0.01773560531657426,2
508,574,0.018140948525454167,4
248,557,0.018307157652764038,3
101,575,0.018326523130544198,3
413,540,0.018369048653994177,3
79,88,0.018373285141809168,2
366,501,0.018541594986513775,3
10,569,0.018668574365244724,3
199,581,0.01868085420048485,3
105,545,0.01887616245413135,3
144,588,0.018901401375132267,4
497,565,0.01890715234897771,3
370,375,0.01894140811281021,2
213,607,0.019283413392732564,4
279,595,0.019372085224797546,3
28,533,0.01941129304620737,3
53,580,0.01955486467687751,4
223,229,0.019563786305492496,2
457,458,0.0196758806943549,2
455,461,0.01984710786688446,2
64,67,0.019897872633763317,2
62,572,0.019990512420097504,3
250,260,0.020108967884829573,2
507,603,0.02012625614631676,4
438,448,0.02013650290009794,2
466,544,0.020261615542694896,3
298,303,0.020437956833845285,2
481,483,0.0204878595697368,2
323,325,0.020529215727303797,2
249,255,0.0205452064505805,2
555,587,0.020685048572061843,6
1,614,0.020833499484670674,3
185,620,0.020966774620639183,4
123,534,0.020970491820471965,4
344,345,0.02106302722743101,2
456,459,0.021131193743451956,2
515,550,0.02128399563241233,4
243,251,0.021303848779823976,2
170,589,0.021316266688540995,4
362,365,0.021651434257839254,2
409,547,0.021706213755356352,3
172,601,0.021706281768440527,3
83,590,0.021940589989306116,3
341,352,0.022055712998045027,2
176,186,0.022326705882092675,2
26,528,0.022482598142336014,3
277,623,0.02304477367745136,3
312,313,0.023059242234294664,2
158,539,0.023280915635181244,3
337,347,0.02333616879938545,2
435,441,0.023355756548259006,2
520,571,0.023370850516029724,4
326,333,0.0234150597936744,2
267,275,0.023418762180753738,2
358,543,0.02347738060832659,3
406,408,0.023590069860379422,2
300,310,0.023670582722651285,2
65,527,0.023867046663274317,3
146,156,0.023894729917621964,2
121,625,0.02389987254503518,3
465,598,0.023935163456434583,3
460,462,0.02420673286911767,2
125,136,0.02439752509402313,2
404,416,0.024431281601288317,2
315,553,0.02453975874537977,3
377,648,0.024545347195718187,4
4,13,0.02469647840544854,2
428,440,0.0247032816714259,2
392,400,0.02489182169503594,2
227,239,0.024990720679756002,2
36,597,0.025093617851715065,3
484,486,0.025151889863869726,2
302,314,0.025234610120889574,2
238,596,0.025301092519747846,3
262,264,0.02548228880171867,2
606,621,0.025939541554301795,4
165,608,0.025960254570674794,4
426,439,0.026075661247423873,2
130,585,0.02619512958494208,3
524,664,0.026310158750454907,4
55,68,0.02656179657796296,2
604,649,0.026656254126798094,5
50,63,0.026762450552985692,2
0,514,0.026812225419403195,3
211,224,0.027071207468443714,2
204,650,0.027211995555468122,4
485,491,0.02731322349972429,2
387,391,0.02731337732122771,2
115,637,0.02741416894877349,3
446,660,0.027525679707158416,3
90,99,0.027530532614264636,2
51,663,0.027730523997899926,4
143,690,0.027905448215031804,4
228,609,0.0282312993257269,3
361,506,0.02826740953825255,3
309,320,0.02844489577102118,2
168,182,0.028678286260276797,2
493,653,0.028928650856906303,4
479,482,0.02911029280008368,2
383,535,0.02916951112206204,3
207,583,0.02928970174289662,3
71,85,0.029377794159823698,2
