left_cluster,right_cluster,distance,n_observations
407,408,0.00400827450005227,2
5,6,0.004028471567185563,2
349,350,0.004059511363570457,2
331,332,0.004177241717306561,2
323,324,0.00424645305353416,2
351,352,0.004266759740083485,2
458,459,0.004372873623803016,2
55,56,0.004460577119728103,2
186,187,0.004857112027123279,2
404,405,0.005358752160238657,2
92,93,0.00539368674703793,2
203,204,0.00554885724793233,2
283,284,0.005629007345236885,2
155,156,0.005946576245054243,2
163,164,0.006835915988561636,2
172,173,0.00698099009884461,2
144,145,0.007097575078628451,2
147,148,0.00731157591385245,2
193,194,0.007373698580354815,2
115,116,0.007576811832004385,2
229,231,0.008016076264291455,2
448,450,0.008025036839233494,2
46,48,0.008028210637150177,2
217,219,0.008034723055345668,2
19,21,0.008039215153833703,2
37,39,0.008041952439135013,2
34,36,0.008042676072665835,2
178,180,0.008089590624750474,2
316,318,0.008113025060706613,2
11,12,0.008136424040914608,2
261,263,0.008139704485707099,2
200,202,0.008155612021353602,2
96,98,0.008281143659192197,2
38,40,0.008363029707952807,2
305,307,0.008386754509883002,2
138,139,0.00859794107527359,2
290,292,0.008702959569036866,2
224,226,0.008887266839754908,2
298,299,0.009065220216335615,2
345,346,0.009168982151842689,2
343,344,0.010090706975701203,2
235,236,0.010135526302197875,2
157,159,0.0102657875262338,2
441,442,0.010555040068838723,2
462,464,0.010556176207439797,2
122,124,0.010691674625307119,2
479,480,0.01081683108934872,2
160,161,0.010922244624499425,2
303,304,0.010994914546071951,2
58,60,0.011086023448484965,2
411,412,0.011177976920582523,2
22,24,0.011311800891427172,2
384,386,0.011463629072708263,2
415,417,0.011785174316791757,2
196,518,0.011853407983861875,3
377,378,0.011896340364774974,2
248,250,0.011981604496649149,2
381,382,0.012018388801441448,2
338,341,0.012045118129225884,2
50,51,0.012051344870265369,2
495,498,0.01205347919073188,2
213,216,0.01208940897345209,2
489,492,0.012210037877485728,2
483,484,0.012220685529065415,2
117,118,0.012239412752282358,2
357,360,0.012295361651602743,2
285,286,0.012398360915622658,2
63,65,0.012405572123857898,2
167,170,0.01249972739926439,2
366,367,0.012560007604177041,2
225,228,0.012808638826560389,2
270,272,0.012819803387138558,2
310,311,0.012853588927698653,2
453,455,0.012883044013732352,2
279,282,0.012950495661323141,2
15,16,0.01297638107375256,2
0,3,0.013025493955729469,2
70,73,0.013040158671274765,2
244,246,0.013161918398608237,2
291,536,0.013201538003514694,3
497,499,0.013266810474305779,2
355,356,0.013520439319722835,2
414,550,0.013682390274466081,3
400,402,0.013742336340906302,2
82,85,0.013772916105228458,2
4,7,0.013903290442904214,2
207,209,0.013907583624345595,2
188,189,0.013909658989739985,2
132,133,0.014076484472683415,2
86,89,0.01427269427449883,2
14,17,0.014450322398174507,2
137,140,0.014829772956416163,2
482,485,0.014863146375265956,2
416,419,0.015053124897268337,2
53,54,0.01520822273096683,2
392,395,0.015255579486942738,2
389,390,0.015566512979074772,2
245,247,0.01583912573304954,2
295,297,0.015872924708936694,2
77,80,0.01599059061558819,2
223,227,0.016037294064178212,2
110,112,0.016062838170938645,2
451,454,0.016087891851096898,2
105,109,0.016112104841552274,2
42,533,0.01621095329267517,3
252,556,0.01628370359596919,3
201,205,0.016383625922501276,2
335,339,0.0164744511785104,2
100,104,0.016673389993498686,2
327,328,0.016717460489091267,2
57,507,0.0169576000256813,3
210,211,0.017079354549595784,2
9,501,0.01710564395200652,3
214,218,0.01711310632028087,2
28,32,0.017118014223026855,2
256,257,0.017137778027043613,2
329,333,0.017421174420965056,2
314,317,0.017468024776859357,2
474,476,0.017487646620144865,2
456,457,0.017600687855699244,2
29,33,0.017711586817244825,2
421,425,0.017772164950586984,2
47,49,0.017934281892491397,2
493,494,0.018006560187544096,2
325,326,0.018549236198352057,2
23,27,0.01875728272480008,2
175,176,0.01903152846354947,2
183,527,0.019364373366591893,3
84,584,0.019402104766496387,3
481,546,0.01950738214038473,3
397,401,0.01952250692031114,2
436,440,0.019636354908133934,2
471,473,0.019984408879285053,2
296,301,0.020135796774854556,2
266,271,0.020151703924973455,2
237,239,0.020222948115623626,2
302,534,0.020266242522759093,3
383,388,0.02039711634463189,2
513,542,0.02039787561873282,4
273,274,0.020440331803867097,2
312,617,0.02047304852514513,3
181,184,0.02049889202360854,2
370,569,0.020522188827642934,3
447,452,0.020581646615837355,2
348,502,0.02068825098143841,3
267,269,0.02095751208039043,2
88,510,0.020973841199478597,3
427,429,0.020995408462897977,2
158,162,0.02102160369385533,2
90,95,0.02105140227449954,2
165,166,0.02127746602626807,2
30,35,0.021299436207739927,2
169,568,0.02168733435322165,3
8,529,0.021778312972478616,3
276,281,0.021798158070164816,2
409,413,0.02181895281921912,2
249,251,0.021946506895315653,2
277,278,0.022227198216509522,2
306,572,0.02224210852096184,3
119,564,0.02228192144576509,3
87,589,0.022494866761845544,3
25,26,0.022562059051259936,2
371,373,0.022872142072309663,2
128,588,0.02288653642454472,3
434,438,0.0229108430679739,2
375,379,0.022955182443238444,2
199,531,0.023025410896968607,3
76,81,0.023354095460904258,2
94,99,0.023746301316695168,2
177,179,0.023814800840917315,2
101,532,0.02393738960500236,3
293,294,0.024008313745187353,2
121,127,0.02405016925722426,2
309,315,0.024062070632029975,2
374,376,0.02409893863180036,2
394,398,0.024113559958040067,2
403,500,0.024118470924066403,3
470,618,0.024191178162026476,3
393,595,0.024267202266478757,3
353,359,0.024317458942207503,2
391,396,0.02437242787804837,2
380,385,0.02464099610860365,2
503,609,0.02481139953243418,4
490,562,0.02490409163087188,3
208,511,0.024937275660106454,3
439,445,0.025225182663129272,2
91,97,0.025346282635563756,2
523,561,0.025435390868456236,4
506,544,0.025511811285426265,4
185,587,0.025651323690487372,3
142,516,0.02590121857338735,3
131,136,0.025914414780630005,2
134,535,0.026110526471765906,3
340,607,0.026239203849406315,3
488,623,0.026256821413575007,3
102,608,0.02627120718892191,3
287,512,0.026328790578537084,3
364,365,0.026329847170932348,2
74,599,0.026430923722642503,3
469,475,0.02661119379983123,2
552,637,0.02669264008782726,4
522,559,0.026700469131197446,4
422,593,0.02681652105020266,3
230,600,0.027039540608137513,3
520,570,0.02730009402280182,4
449,602,0.027630162979109935,3
418,582,0.02781811584127717,4
468,632,0.027894119301689203,3
410,509,0.027934039986338456,3
460,573,0.027973475101554776,3
268,530,0.02799799464120068,3
129,545,0.028040793946833526,3
519,601,0.028044740702483955,4
313,320,0.028073758623112743,2
362,363,0.028172392451601524,2
18,575,0.028193648227848776,3
538,548,0.02846622603686137,4
13,20,0.028469697474001753,2
540,558,0.02861737926077137,4
126,130,0.02899927074901794,2
437,443,0.029167994855538934,2
465,472,0.02921709344479352,2
59,594,0.029711392392563943,3
106,107,0.029922850020770133,2
354,679,0.030018806848195124,3
337,616,0.030167944114134024,3
280,639,0.030225657607700577,3
585,612,0.030300216603266705,5
66,68,0.0304912299925122,2
399,406,0.03078785471010858,2
215,220,0.030930103216451132,2
10,653,0.031129820989857195,4
253,259,0.031169304029765595,2
514,547,0.031343638134471954,4
262,645,0.03177738116516133,3
190,197,0.031861299391400096,2
288,696,0.03188863626818776,4
242,597,0.03218849353403222,3
64,72,0.03258709372351927,2
232,541,0.03264038559955866,3
435,647,0.032646010448106284,3
192,508,0.03271010008544036,3
555,557,0.03309030674135966,4
426,432,0.03329783488511545,2
477,699,0.033532915677613524,3
524,625,0.033810771873379254,4
446,685,0.03391647792532038,3
52,549,0.0343700275188753,3
67,567,0.034376637839655846,3
254,605,0.03439968201133177,4
461,463,0.03452335830057274,2
505,644,0.034805842265396646,5
191,554,0.03481205677942291,4
41,526,0.03483104549938329,3
141,149,0.034867103886335356,2
361,581,0.03519336570084934,3
260,265,0.03597560657723626,2
566,579,0.0364708934936637,5
152,517,0.03651031781910054,3
206,666,0.0365491085215483,4
515,626,0.03660648066838793,4
372,697,0.036656366271770734,3
234,243,0.036970580524227595,2
221,222,0.037191267692078755,2
656,737,0.03754755675484983,5
504,528,0.037744393036019654,4
123,711,0.03832631058732839,4
264,571,0.03835202050398433,3
111,120,0.038464334499190046,2
71,79,0.038612732228356886,2
423,553,0.038819833675627906,3
368,674,0.03886964519944002,3
334,342,0.03941056265369629,2
31,551,0.039435341743351324,3
578,635,0.040163800661692804,4
69,78,0.040323383070471105,2
491,592,0.04057963010379032,3
539,718,0.04080757450271954,6
195,689,0.040924225995546466,4
143,692,0.04141117878757474,4
649,686,0.04146168153009331,4
430,631,0.04162993649837759,3
125,135,0.04165104900288022,2
486,487,0.04225735395288617,2
212,611,0.04230624097687898,3
638,733,0.04267719139758533,8
630,680,0.04268488635614253,4
420,655,0.04276866419519732,3
322,624,0.04304452551059913,3
151,648,0.04367185447221436,3
525,651,0.04385408174225862,4
198,606,0.04394988876059552,3
62,577,0.04400367358559011,3
319,321,0.044273161608793,2
633,716,0.044725778028744625,6
369,665,0.04531699394312977,3
560,683,0.04532752987442114,5
537,730,0.0453900846370157,4
466,619,0.04543950754367676,3
521,543,0.045910641176524374,4
563,629,0.04655277500526523,5
153,690,0.046620257610433875,4
433,621,0.046838814981293934,3
590,717,0.04685710408452031,4
664,720,0.0469595675781985,4
735,741,0.04699247916819283,5
300,658,0.04726001755391353,4
583,678,0.047608424407096735,5
467,721,0.047644216861104316,3
358,755,0.047879554488467375,4
613,687,0.049324406923321934,6
428,431,0.05074390051941914,2
634,710,0.05185980036864059,5
103,712,0.052088234128784154,5
688,798,0.052258774509458546,7
659,672,0.05238572992799905,5
478,707,0.05258011959375825,4
336,777,0.052610637089787735,7
233,240,0.05307123059583711,2
719,782,0.053086505902968414,4
636,673,0.05337366192668518,5
114,766,0.05392409839090803,5
108,670,0.0540754640771908,4
615,756,0.05457648889414534,4
610,701,0.054599825923279,7
614,753,0.05531556328626255,5
45,790,0.05547846346231202,5
182,641,0.05556337480754361,3
330,765,0.055655140862451914,5
596,786,0.056116104334168186,6
565,724,0.056379300574824626,5
657,767,0.05639010225759777,5
574,726,0.057320825465051135,5
113,723,0.05785954612342502,3
308,640,0.05815953376664048,4
628,769,0.058611242608503776,5
174,650,0.0593817340410852,3
576,731,0.06010411720118651,6
676,706,0.060739626467531935,7
44,620,0.06103806035159904,3
762,774,0.06177569473161471,6
43,722,0.062271423380532744,4
289,654,0.06232057135693942,3
75,728,0.062487897572923404,3
682,725,0.06260193015882631,7
738,792,0.06289285323037283,5
660,667,0.06318895180369893,5
713,828,0.06328986156692328,7
702,770,0.06343956820836218,6
275,812,0.06362168541679035,6
740,781,0.06396077221960193,6
642,771,0.06412764032002057,6
83,668,0.06543664472335207,3
784,791,0.06727804952414278,6
704,818,0.0686876274257883,6
604,622,0.0695260081841689,5
693,772,0.07051401524888569,5
627,669,0.07120773732671644,5
387,742,0.07124913150588028,5
168,171,0.07127599316481904,2
661,803,0.07139069527303431,6
444,709,0.07206412123122585,4
677,750,0.07248632886871162,5
662,761,0.07261482009694238,5
743,848,0.07269106254704441,8
591,801,0.07280683902973654,6
675,708,0.07308343169309628,5
768,813,0.07335865906747191,7
154,652,0.07404979221253301,4
255,734,0.07407825029990235,4
698,835,0.07415144190621403,8
241,703,0.07524690430320524,4
1,715,0.07566387128684679,4
663,779,0.07578235031633895,7
424,787,0.07600763832928095,4
747,748,0.07666503621442573,6
760,836,0.07705276545098236,7
643,804,0.0775414935604399,6
150,789,0.07819774076225146,4
694,800,0.07969907800833137,8
258,749,0.0799569447087063,5
705,799,0.0831866486933969,7
598,806,0.08343631763381688,6
732,849,0.08354570903686082,8
238,840,0.08366292442257482,7
700,795,0.08419264971323293,7
780,822,0.08453843256013803,8
586,797,0.08672252849701506,6
347,830,0.08857087641862828,6
146,819,0.08897871758898104,5
736,757,0.08970407113860857,9
603,815,0.09079549637529653,7
580,783,0.0915851284820822,4
824,841,0.09162393900245698,11
814,861,0.09183085005330055,11
807,866,0.09260457593657907,10
773,839,0.09339166071422196,6
695,852,0.09363770807238353,6
794,820,0.09714284412392286,11
739,764,0.09805806156077564,8
729,829,0.09901367707989711,8
691,758,0.0991417107681502,5
775,875,0.09948826847851644,8
778,857,0.10131340332093433,9
61,845,0.10150635194710333,6
751,809,0.10289966817002838,9
754,785,0.10332588214019767,10
684,759,0.10409380484671464,7
745,825,0.10469462513527257,9
823,883,0.10735770007053985,12
671,832,0.10937710044406984,7
816,862,0.10950275057373458,9
646,886,0.11367500298830101,11
793,834,0.11570981160436353,6
746,850,0.11687005729544862,9
763,853,0.11702115025062376,8
811,877,0.11895165999337455,8
2,727,0.11915769556275194,6
865,901,0.1211415132073693,11
681,895,0.12344377013620099,12
714,851,0.12442010820631079,8
878,906,0.12881129865834795,14
496,892,0.1304032612548114,5
831,842,0.13153267486317996,8
837,860,0.1327766283985157,12
796,879,0.1377022615506767,13
817,905,0.13788485370421114,16
880,884,0.14267946310380353,12
802,838,0.14336730033405715,10
776,911,0.14550369982475364,12
788,856,0.14574869049617123,8
827,876,0.14667074537352434,10
871,887,0.14727289175962993,10
846,870,0.14984933548758733,13
863,888,0.15480232331395113,11
833,912,0.15791912700290628,14
826,908,0.1588274536627393,14
805,903,0.16556925206468823,14
872,896,0.166124442744751,10
882,898,0.16638629706319,17
843,893,0.16698734162471637,14
858,920,0.16810167042648927,13
854,932,0.16812531067749178,16
752,907,0.17071026414204768,11
844,913,0.1723658143535944,13
864,928,0.17280491508673856,18
810,915,0.17300758294148344,14
869,910,0.17632955645606427,11
855,940,0.18809306416427035,19
874,914,0.19100542106441687,13
