left_cluster,right_cluster,distance,n_observations
238,257,0.003267431627901347,2
230,268,0.0036409703612478228,2
286,343,0.004538725320762136,2
245,251,0.0047284098444357525,2
259,431,0.004803775264565059,2
275,277,0.005056758943594914,2
204,205,0.005463794410092404,2
234,239,0.005979290234176826,2
226,229,0.006584563689156018,2
237,500,0.006627306437703752,3
5,381,0.006954607313021539,2
298,345,0.00703018222226473,2
233,258,0.007241556571864993,2
246,252,0.0074677015783754346,2
263,501,0.007867784062724108,3
187,498,0.008066815317551443,2
256,264,0.008321224311887535,2
261,503,0.008663797526705121,3
241,254,0.008887267513655936,2
248,253,0.00893285933236327,2
225,271,0.009296384466525188,2
415,491,0.011273265708847641,2
284,502,0.011491316874819291,3
228,265,0.011517403162762877,2
255,504,0.011595649710972692,3
214,218,0.011616293525746604,2
185,515,0.011819404363711074,3
44,45,0.012462330310699274,2
227,270,0.01304433440840791,2
184,361,0.013341227443484338,2
9,10,0.01348413665239466,2
169,170,0.01384993612905132,2
183,468,0.014689123201363886,2
279,282,0.014912357226228891,2
296,436,0.015309845884882803,2
262,519,0.015356520146017825,3
247,267,0.015369751636477058,2
174,175,0.016058135774550866,2
189,191,0.016237687490855544,2
512,514,0.01681368616267756,5
392,480,0.01692792497531415,2
178,179,0.0172133725869399,2
99,100,0.017327892005223135,2
430,508,0.0174898097641203,3
240,513,0.017555248587933867,3
287,291,0.0177983360583223,2
40,464,0.01812436023857034,2
321,324,0.018780039607567394,2
101,102,0.018825736901710376,2
137,138,0.018964018899663402,2
211,338,0.01916911864905488,2
315,482,0.019582664776316552,2
224,523,0.01962506949209942,3
288,290,0.020216693856166076,2
447,472,0.020343321331722303,2
325,432,0.020667884950748006,2
507,518,0.021144782014072775,4
299,300,0.021441588853184364,2
29,30,0.022190078653330357,2
203,207,0.022340734958622946,2
266,276,0.02250187831151001,2
31,32,0.023022830061428894,2
293,297,0.02354529612513911,2
110,111,0.023971579548020906,2
360,367,0.02412074792588457,2
242,552,0.02418023008344727,4
236,524,0.024229123548689124,4
105,107,0.02424685630256989,2
61,63,0.02429794568037794,2
22,24,0.02430782175826191,2
43,527,0.024312370026997175,3
213,289,0.024727240126596495,2
163,165,0.02492820384727203,2
150,151,0.02493550045475098,2
121,123,0.025153887349917622,2
232,244,0.025610846979841794,2
517,539,0.025618757805933572,8
454,487,0.02590915366206091,2
365,372,0.026160725881299914,2
316,319,0.026192476448756257,2
4,379,0.02636168789008378,2
476,481,0.026713009539382108,2
171,172,0.02672719364750278,2
306,311,0.02681701877016093,2
210,217,0.02689274323662573,2
231,260,0.027005185945698354,2
292,294,0.02720457721205342,2
382,441,0.02722073774722727,2
416,422,0.027443483975950134,2
182,526,0.027848962362534965,4
473,489,0.02808829801070481,2
285,545,0.02822465655785748,3
346,385,0.028372801905298946,2
215,219,0.028391233615917486,2
209,295,0.02873801611809671,2
220,235,0.028770856499900906,2
65,67,0.02997303120004146,2
47,450,0.03044424425053092,2
173,531,0.030648753809472254,3
249,339,0.030857145605063228,2
180,529,0.03090294937807959,3
370,397,0.03098007372378878,2
516,560,0.031067654596162574,4
269,281,0.031374678938096395,2
15,17,0.03158241892623768,2
208,506,0.03159846698485275,3
511,586,0.032605883607004955,4
327,547,0.03275847803329798,3
222,509,0.03301742064864214,4
51,456,0.033665461152838506,2
273,535,0.034068840668518306,4
