left_cluster,right_cluster,distance,n_observations
389,390,0.004202492037764187,2
85,86,0.0045131335247949635,2
229,230,0.00537447415887357,2
100,101,0.0054599374003662824,2
154,155,0.0059747262612899026,2
132,133,0.006181019804227605,2
347,348,0.0064868984840654965,2
371,372,0.00663462812556646,2
11,12,0.007175017490992153,2
249,251,0.008076122296050965,2
231,233,0.00809788031984925,2
166,167,0.008917790729372313,2
436,438,0.008950457028058141,2
65,67,0.009088040144075861,2
36,38,0.009622206308837946,2
0,1,0.00967576255374135,2
40,41,0.010152815121983997,2
472,474,0.011205107532960244,2
238,241,0.012026903869089594,2
313,316,0.012031511300528125,2
198,201,0.0120456620158754,2
245,248,0.01213167259892669,2
207,210,0.012561133596493692,2
330,331,0.01263526167082535,2
379,382,0.01280289963572621,2
467,470,0.01290884349081823,2
72,73,0.013075136007461331,2
279,282,0.013234907756662051,2
257,258,0.013387984176522007,2
295,297,0.013445672098639259,2
58,61,0.013462534844371779,2
450,451,0.014198679665345802,2
268,271,0.014284441801156997,2
81,84,0.014316947974543137,2
34,37,0.014813273060358654,2
367,369,0.014847008010268914,2
213,214,0.015361719015299466,2
184,187,0.015777102891797783,2
261,264,0.015876527682346354,2
27,29,0.015908678542557,2
317,321,0.01604045195381328,2
327,328,0.016094655583963845,2
59,63,0.01617439063078924,2
146,150,0.01620675454565318,2
353,357,0.016313198587652285,2
340,344,0.016360620623262788,2
453,457,0.016419373108791265,2
240,242,0.016460302888896473,2
232,236,0.01662941615344096,2
137,141,0.016679665580153123,2
359,362,0.01679197083316662,2
468,471,0.01685424262984544,2
123,127,0.01695654109370479,2
208,211,0.017125440887289293,2
117,119,0.017196225959293664,2
104,108,0.017229042027645584,2
318,322,0.017314945494174283,2
228,502,0.01774234166499617,3
125,129,0.01776818258064056,2
386,500,0.017894938541717358,3
134,138,0.01796569797955845,2
477,479,0.018008130936823498,2
277,281,0.01812516232574963,2
256,260,0.018793359145948547,2
160,162,0.02003879344234066,2
423,427,0.020100608440900725,2
300,305,0.020167609150658267,2
292,293,0.020189360822844185,2
443,448,0.020330497401679946,2
92,97,0.020514315020499416,2
180,182,0.02051660680600562,2
383,384,0.02055691642501724,2
56,530,0.020680953528130114,3
163,165,0.020842785292072865,2
262,528,0.02092169337599232,3
235,518,0.02098728008394783,3
247,521,0.02100298260783373,3
493,495,0.021085688012712375,2
43,48,0.02122350168861988,2
114,116,0.021241044981513066,2
204,520,0.021253262040449417,3
139,144,0.02197769971632175,2
490,491,0.022035602798702127,2
217,222,0.02216250539762533,2
485,486,0.0222165012689666,2
44,578,0.02246800747525719,3
349,351,0.02362204071385612,2
179,181,0.023767181815648717,2
212,216,0.02424404656616938,2
304,310,0.024329912835931142,2
289,294,0.024516209843345134,2
301,307,0.024600918844026282,2
176,178,0.024660265717091175,2
234,557,0.02470582336246003,4
115,121,0.02479766220656335,2
99,103,0.02490112722586339,2
405,406,0.024912196368876847,2
419,425,0.024960131839269404,2
102,105,0.025001209238118008,2
413,418,0.025557849054432133,2
91,501,0.025577709123096457,3
368,535,0.02565378175729752,3
429,435,0.02598636169527731,2
342,506,0.026137559810799904,3
47,51,0.02626619278158415,2
220,223,0.026420972651904785,2
494,498,0.026648944084280875,2
5,10,0.026703685142140898,2
246,547,0.026783123752709397,3
126,131,0.02684970013641161,2
360,361,0.027061336325346044,2
272,278,0.02724000936558896,2
21,24,0.027530495626530573,2
302,529,0.027944983743442748,3
483,489,0.028051739183582114,2
140,147,0.028059470412240627,2
183,190,0.028088016835040856,2
171,592,0.028140380564164444,3
414,421,0.028150808298471962,2
332,339,0.028300194684734756,2
358,544,0.02889976480552929,3
395,397,0.02916010018621071,2
462,469,0.029284809528489636,2
394,399,0.029448579814084313,2
110,112,0.029551135572719513,2
70,77,0.029604133376767032,2
28,539,0.029962729481909166,3
89,533,0.03011190458857887,3
422,426,0.030395205826856054,2
18,19,0.030428209271622958,2
430,431,0.030522924340911223,2
71,526,0.030641627930798748,3
64,572,0.03071164857330066,4
323,329,0.03097756797581899,2
196,203,0.031001931637479788,2
456,531,0.03102695766043909,3
267,273,0.03124918655841424,2
364,365,0.03130802149321478,2
319,326,0.031958613835328734,2
259,538,0.03198466530063413,3
69,74,0.03204426656538835,2
253,509,0.03223657679771241,3
441,445,0.032731107698885493,2
338,345,0.03280652640395985,2
350,352,0.03285987448004225,2
168,174,0.03302182471998198,2
402,410,0.03320963184663112,2
49,57,0.03324837673100661,2
446,452,0.03341244554493531,2
447,455,0.03349144823167651,2
79,83,0.03364059543428649,2
90,98,0.03372722139528201,2
239,548,0.03416310919300144,3
464,525,0.03440202890394905,3
52,54,0.03453397917211678,2
274,611,0.03463028637138301,3
482,484,0.034801347041888905,2
200,202,0.03494567810435191,2
283,287,0.0356723275457308,2
31,514,0.03589068201137086,3
243,244,0.03600355567331502,2
306,314,0.03616484427492985,2
487,614,0.03646017902829999,3
513,542,0.03684931015324969,4
128,130,0.03687380905179092,2
440,449,0.03737521770986469,2
334,523,0.03749619860484955,3
312,540,0.03765140718977106,3
478,584,0.03804791311383445,3
206,536,0.03813875178743707,3
107,109,0.038160114566598125,2
170,173,0.03835694728797789,2
298,566,0.03852324017464196,3
284,286,0.038604535491810366,2
152,543,0.03879759193554905,3
403,408,0.03895421495121046,2
459,461,0.03908903751337953,2
370,377,0.03910565964891032,2
172,587,0.039189275498820626,3
388,393,0.039217598938992425,2
507,637,0.039680279502884455,4
541,638,0.03979623029257262,4
156,158,0.03980890807051079,2
396,404,0.04054628696788503,2
218,227,0.04056722432073202,2
8,515,0.04073200422032175,3
475,480,0.041082741225355275,2
30,32,0.041254153150603136,2
546,649,0.04133507529444398,4
280,288,0.04187652964162316,2
254,263,0.04195625605742806,2
135,505,0.04211371488994278,3
598,624,0.04254382922865302,4
517,653,0.04255944497820319,5
366,601,0.04275702677147781,4
23,25,0.04277804186801976,2
192,657,0.04317549583990788,3
159,164,0.04376424450581164,2
432,442,0.04393227507159507,2
428,512,0.04396016484864684,3
324,519,0.044095478134240036,3
375,378,0.04453327497142677,2
149,153,0.04454408269093574,2
76,640,0.044555006278850215,3
157,511,0.04484458834029928,3
309,591,0.04514409913026242,3
381,385,0.045229902735863324,2
215,522,0.0452929062155587,3
552,554,0.04533120554292484,4
195,199,0.045468806936518155,2
265,275,0.04554570651112757,2
14,17,0.04556385134658953,2
185,188,0.04560507905209159,2
458,635,0.04563485516203907,4
13,612,0.045859810074387775,3
175,617,0.046066146234445424,4
463,473,0.04610839821549162,2
145,504,0.046250559883382995,3
354,550,0.04649404031926379,3
437,568,0.04667857753748143,3
42,53,0.04690811160152885,2
481,582,0.04713487441234351,3
225,583,0.047147439196034986,3
39,604,0.047191605514946354,3
416,420,0.04812130390381153,2
237,576,0.0482870993077442,4
285,567,0.04832963787827812,3
296,308,0.04835105466321344,2
111,595,0.048512770920084915,3
336,603,0.04889286410173872,4
45,659,0.04939663170487402,4
9,629,0.05044840225324555,3
93,96,0.0507428642308661,2
106,579,0.05106270445495145,3
299,590,0.05107990519161084,3
50,60,0.05117999304457049,2
62,631,0.051263176876847234,4
266,532,0.05176520786085722,3
189,634,0.051978094773582596,3
120,609,0.052495944774037885,3
143,615,0.05300849274461467,3
151,674,0.05302774911668492,4
454,622,0.05322371054432897,3
417,424,0.053309902269847005,2
565,602,0.05360252650528975,4
250,725,0.054310708359555274,5
2,15,0.055255233500056684,2
197,537,0.055502270767666916,3
636,639,0.05556528536490341,5
387,571,0.055881342800845994,3
497,662,0.056119559266853455,4
398,412,0.05651233076012389,2
476,488,0.05679455295550815,2
341,586,0.05712839892017892,3
391,621,0.05734892764716939,3
193,570,0.05813429746104695,3
20,714,0.058143906820437234,4
596,599,0.058310554864975564,4
510,575,0.05879522062219824,5
26,33,0.05905262699120229,2
320,667,0.059639953032331314,4
303,311,0.0600404266484957,2
122,691,0.060045498745922445,4
411,628,0.06017145151465487,3
94,650,0.06075152631365541,3
276,655,0.06076534662642212,4
66,647,0.060933360101773734,3
148,581,0.06137865081708192,3
177,186,0.06159749417112712,2
465,688,0.06215572609721164,5
191,205,0.06226787531757845,2
594,664,0.06246521605932981,4
269,574,0.06311400304048805,4
4,6,0.06406188808461794,2
22,626,0.06490235282383154,4
555,569,0.06518481595513391,4
224,588,0.06592147502239079,3
113,118,0.06610311993993259,2
16,695,0.0662372346164256,3
35,46,0.06781755157159057,2
503,775,0.06809631781714984,6
444,642,0.06809693959064972,3
551,686,0.06815169358818725,4
492,561,0.0681893659681142,3
646,724,0.0689114405538694,4
577,656,0.07013162343545405,4
335,556,0.07032378914431482,3
355,680,0.07053542967834987,5
325,619,0.07075486646562408,3
88,627,0.07075747039102438,4
333,337,0.07122063257205401,2
78,600,0.07171906543109709,4
665,719,0.07200514524632562,5
400,751,0.07204562304725616,3
161,697,0.07222258084695028,3
597,630,0.07224902196471161,4
290,562,0.07238879081909295,3
219,553,0.07255643173551674,3
68,632,0.07281144116072687,5
605,722,0.07311202876575869,5
392,679,0.07384267550506747,3
87,95,0.07384851147705782,2
136,708,0.07430007271784052,5
80,82,0.07454208107269297,2
608,641,0.07480076349279945,6
407,743,0.07542077624469862,3
460,716,0.07543174563108228,3
124,670,0.07558580098650837,3
255,745,0.0763852230932309,6
409,618,0.07739919714165133,3
270,527,0.0777171067408234,3
613,726,0.07834494174698382,6
343,620,0.08018264069566326,4
356,677,0.08124242467105315,3
363,373,0.08188576045064563,2
545,666,0.08233279911536193,5
315,633,0.08310989851157619,3
651,791,0.08320055419896735,6
226,797,0.08393848203918577,4
374,718,0.08431360863475844,4
252,563,0.08434127088162392,3
669,776,0.08514427415661877,6
508,778,0.08606901971189443,5
499,752,0.08714728623800745,3
560,702,0.08765265226407533,4
580,696,0.08812102903588383,6
610,644,0.09056225020326773,4
55,735,0.09304049860224767,3
729,753,0.09326828262689321,7
707,709,0.09338604430548686,5
593,660,0.09454609913764309,6
376,623,0.09538328601476743,3
625,798,0.09690523029441747,7
564,717,0.09708259691377408,5
169,741,0.0976096529397044,5
690,772,0.09895071567489812,6
694,813,0.10032647673905039,7
645,755,0.10037473194603576,5
710,820,0.1003928567664815,5
558,739,0.1007587468341728,5
616,825,0.10160524248233596,8
712,770,0.10219902406973609,4
715,794,0.10406079529481498,7
744,809,0.10407410579341247,7
434,699,0.10446264549546047,4
585,759,0.10519199780990443,5
466,693,0.10589522719118678,6
549,682,0.10619877034828047,4
559,675,0.1066028488462112,5
524,814,0.10804332886885112,4
705,811,0.10858980204638938,9
516,766,0.10897336438860601,5
401,415,0.10969003360352678,2
194,768,0.10974068020377692,3
685,731,0.10981334825669732,6
496,606,0.11233624330814196,3
678,747,0.11433129210718214,6
689,737,0.11439018257938467,5
734,810,0.11815908622557213,6
663,720,0.11853810961720701,6
589,816,0.11893991780755821,5
652,804,0.12109562791080546,9
654,832,0.12147688104559792,9
728,732,0.1215509157152191,5
672,760,0.12250277656872573,7
534,827,0.12450294784522337,5
757,763,0.1256203816544005,7
831,848,0.1256655245369223,8
648,806,0.12644415559476252,5
380,793,0.12786949036413403,4
742,769,0.12874254016215264,8
3,7,0.1310420560086248,2
706,787,0.13242488166964475,7
643,826,0.13293961922987155,6
738,856,0.13356653215349001,9
687,723,0.13373104261851557,5
668,846,0.13386817564114978,9
75,780,0.13412719726060218,7
209,830,0.13652738291648073,7
733,802,0.1407095550748663,8
291,748,0.14157092015035766,6
777,801,0.14186368828718823,4
698,713,0.14283945037920104,6
673,858,0.14405588177064546,8
736,764,0.1440738643436687,7
711,730,0.14429644385341506,6
721,785,0.14454537728868438,7
701,754,0.14484929142554315,5
746,773,0.14584543298582991,4
700,815,0.1461540007813718,8
676,783,0.14737125657275757,5
683,866,0.1511188060226306,9
796,857,0.15220212838125702,8
607,756,0.15789843966750844,6
740,767,0.15872867100904278,6
