left_cluster,right_cluster,distance,n_observations
460,461,0.004008086136461365,2
451,452,0.004008328256471137,2
90,91,0.004012293747192673,2
493,494,0.00403414347387978,2
54,55,0.004044213965988973,2
246,247,0.004054952337091614,2
200,201,0.004072919006823875,2
348,349,0.004078203011427619,2
70,71,0.0040926132066071074,2
471,472,0.004093683538424859,2
394,395,0.004105826149741575,2
340,341,0.004135800331129415,2
354,355,0.004158970684815837,2
363,364,0.004192040272788339,2
169,170,0.004286884396850057,2
176,177,0.004316805831259975,2
403,404,0.004354331827719299,2
324,325,0.004391381794860402,2
382,383,0.004441638314904934,2
270,271,0.004453924031067615,2
250,251,0.0044927055552191585,2
209,210,0.004505688606457879,2
98,99,0.004529199166853731,2
229,230,0.00452988252551751,2
9,10,0.004532282669149,2
319,320,0.004662344481088909,2
18,19,0.004684455618483284,2
100,101,0.004691264953260398,2
453,454,0.00470894357401404,2
144,145,0.004751452964749167,2
150,151,0.004759110527222684,2
465,466,0.004813176350195906,2
231,232,0.004840685035749219,2
293,294,0.00497884991296453,2
74,75,0.0049980477767175855,2
23,24,0.005007064064366949,2
27,28,0.005031580546714958,2
299,300,0.005053699424424528,2
419,420,0.005071209434944098,2
45,46,0.0052002436064115445,2
204,205,0.005288333587780111,2
186,187,0.005304615871367628,2
463,464,0.005336250503713525,2
82,83,0.005371286658886171,2
50,51,0.005426066136944499,2
421,422,0.005467392242416208,2
275,276,0.005548788798364983,2
263,264,0.00561968956758936,2
237,238,0.005619812676798375,2
476,477,0.00566674174284478,2
449,450,0.00575991782594256,2
48,49,0.00581364808622053,2
415,416,0.005842802000799498,2
372,373,0.005944596591221739,2
437,438,0.005945385586898887,2
194,195,0.006028895739424539,2
115,116,0.006109653141087305,2
198,199,0.006248305255854638,2
130,131,0.006258129587057606,2
36,37,0.006308555465137261,2
192,193,0.00647851674518528,2
326,327,0.0065679808000575785,2
104,105,0.006572544462051211,2
109,110,0.006576052091588146,2
265,266,0.006794428111511837,2
146,147,0.006939693072720422,2
218,219,0.006943566534672492,2
446,447,0.006967010740100179,2
353,512,0.006978062424996813,3
473,509,0.007115601624215951,3
106,107,0.007116879652519104,2
425,426,0.007140397962839679,2
301,537,0.0075790021426449476,3
459,500,0.007613518875506814,3
157,158,0.007764211815295824,2
297,298,0.007978485935465076,2
148,149,0.008010465466803892,2
310,312,0.008059002947089701,2
304,306,0.00806096752543756,2
334,336,0.008099261459832504,2
124,125,0.00813281336381604,2
226,227,0.008147519123121796,2
216,217,0.008158979810760974,2
31,33,0.008173999720231556,2
430,432,0.008183816923628254,2
64,66,0.008290235393985509,2
488,490,0.008535878162711553,2
84,86,0.00854888522100867,2
162,164,0.00858334169493532,2
342,511,0.00859207469012637,3
427,571,0.008627016913776077,3
410,412,0.008700382011595344,2
152,153,0.008700800344566951,2
328,561,0.008701408129440228,3
202,203,0.008718639311766238,2
