left_cluster,right_cluster,distance,n_observations
440,441,0.0040083209202019425,2
221,222,0.00400960561400793,2
254,255,0.004019891315375965,2
374,375,0.004044020978156443,2
343,344,0.004045050962210037,2
215,216,0.004047499455831194,2
164,165,0.00407528898574343,2
35,36,0.0041236374392805515,2
300,301,0.004185108807464989,2
256,257,0.004215210666012145,2
317,318,0.004248358515975976,2
430,431,0.004329838438313307,2
32,33,0.0043949829241305615,2
129,130,0.004502673229283702,2
347,348,0.005316505153351233,2
297,298,0.005605102807354432,2
103,104,0.00573903607234255,2
136,137,0.0057574703250352815,2
12,13,0.0058255758368751355,2
126,127,0.005952768433449454,2
359,360,0.006548217327177859,2
178,179,0.007066538902689003,2
162,163,0.0072122809600272285,2
200,201,0.007239098197295473,2
51,52,0.007257444728013311,2
155,156,0.007335904187323821,2
248,249,0.007605962419577628,2
481,482,0.007765235393566705,2
414,416,0.008016322101676512,2
401,403,0.008032707635887926,2
325,327,0.008039990752127317,2
60,62,0.00804323327168853,2
147,149,0.008076273299902348,2
108,110,0.008077186499692524,2
7,9,0.008078418949256377,2
90,92,0.00808635917416789,2
143,145,0.008282277703656051,2
243,245,0.008763001117565799,2
171,173,0.008767433851651713,2
388,390,0.00877786164245044,2
158,160,0.008876063537344865,2
323,324,0.009145227059907494,2
334,335,0.009233261260468712,2
47,49,0.009274081236992174,2
125,519,0.009341933909427566,3
307,309,0.00958752476933667,2
76,78,0.009621053481488607,2
494,496,0.009639001510742007,2
97,98,0.009769028024844015,2
210,212,0.00994762371089776,2
99,101,0.010135390748131618,2
57,58,0.01036047763466443,2
472,473,0.010434032426877037,2
122,123,0.010869043970963688,2
287,289,0.011149123051782077,2
384,386,0.011205067139079454,2
456,458,0.011248293499995616,2
393,395,0.011357416327149653,2
229,231,0.011515725048562728,2
135,517,0.011564997889447426,3
153,525,0.011638355801679571,3
357,520,0.011719740522113761,3
428,511,0.011793864544729818,3
315,510,0.011996387255806115,3
330,331,0.012010480514428906,2
282,285,0.012039498305213463,2
382,385,0.012071201720143853,2
180,183,0.012088274035339923,2
436,439,0.012108135611907395,2
495,498,0.012171019273426167,2
131,513,0.012243204826897645,3
167,170,0.012323147945941991,2
387,539,0.012643611377532405,3
66,68,0.01282320606297362,2
18,21,0.012884537578562796,2
91,94,0.012912763256233514,2
39,42,0.012927670319332748,2
213,214,0.013040557826402028,2
260,263,0.013141354163162871,2
312,314,0.013167127696841975,2
54,55,0.013189224452283417,2
487,490,0.013331107843860388,2
365,368,0.013710300556206532,2
452,455,0.013780469964209535,2
27,30,0.01379979140032058,2
352,355,0.014048119379147976,2
448,451,0.014085564348853025,2
466,467,0.01425400739239946,2
336,542,0.01459750441222414,3
424,427,0.014602303750917266,2
274,277,0.014625601194762862,2
31,34,0.014740236890916067,2
308,545,0.014796371587951447,3
238,241,0.014805644764287857,2
19,20,0.014829697857826616,2
75,546,0.015046036025599263,3
410,411,0.015682502874997097,2
59,531,0.01570465481593813,3
69,72,0.01581969667376281,2
477,478,0.015933308559474366,2
328,530,0.015976872815561437,3
24,28,0.01604939629949008,2
349,351,0.016084055071468706,2
306,310,0.016117763644196197,2
370,371,0.016239841851867973,2
252,526,0.016241253985583595,3
235,239,0.016256093240024912,2
81,82,0.016282673178818142,2
196,199,0.01643849240059335,2
291,295,0.016520115725088817,2
65,573,0.01658458416256643,3
181,182,0.016590609981932885,2
11,15,0.016594287228313537,2
479,527,0.01675069697571221,3
48,50,0.01681383254484991,2
190,193,0.016871376214070227,2
485,489,0.01703487100220477,2
139,140,0.01714501635280827,2
141,142,0.017293137355487077,2
217,218,0.01735638334232318,2
362,366,0.017396528565576098,2
460,463,0.01744538105682951,2
207,211,0.017454303842790987,2
398,400,0.017457552413687717,2
461,465,0.01774093502358663,2
77,79,0.017863675424638528,2
442,500,0.01794564227579271,3
242,246,0.018066996381803608,2
128,544,0.018092733286641755,4
346,350,0.018096152617082768,2
425,426,0.018126614562602554,2
373,503,0.018139228487922838,3
338,341,0.018146626849835916,2
396,397,0.018579973616440155,2
225,501,0.018596176974000213,3
497,547,0.018669582143985154,3
302,303,0.018886245189084553,2
71,74,0.018906441165761532,2
121,124,0.01892588686899374,2
233,558,0.019104962323488288,3
483,613,0.019157326182122604,4
112,533,0.019304458062076757,3
471,474,0.019380992576325678,2
392,557,0.019463494438090728,3
361,561,0.019523247482811545,4
195,198,0.01981933252228798,2
446,449,0.019898119638276653,2
132,133,0.02022926630281349,2
262,265,0.020332921835858025,2
283,565,0.020356073350044045,3
316,321,0.020442370046531533,2
205,209,0.020561085481177396,2
353,602,0.02071381839683869,3
270,273,0.020729297358826355,2
118,553,0.020855911061050246,3
340,504,0.02101415388232148,3
486,488,0.02114948564656013,2
38,507,0.02116275547498395,3
168,172,0.021265036899133307,2
102,548,0.021310706493615012,3
492,569,0.02133155073373104,3
227,232,0.0214125753678492,2
294,515,0.021992380949650607,3
22,26,0.022070869339388222,2
406,596,0.022083368951666994,3
408,413,0.022209921280731675,2
462,587,0.02240434053172398,3
187,191,0.022408058856796146,2
299,304,0.022570580222853024,2
86,88,0.022613421805803335,2
419,421,0.02283139282746608,2
166,571,0.022871754773452102,3
418,423,0.023038826946226935,2
0,1,0.02315757404091114,2
151,560,0.023544125290351357,4
237,606,0.02358911092996084,3
106,109,0.02365272603203632,2
95,100,0.023686326490547933,2
577,619,0.023856891928899025,4
4,8,0.023972153810480828,2
87,93,0.02406214331253457,2
326,332,0.024077393024480632,2
296,508,0.024280127601990602,3
244,250,0.024442158324140564,2
288,292,0.02453712871333701,2
14,612,0.02514732673416926,3
443,626,0.025173363354765766,4
6,534,0.025429426554871442,3
433,562,0.02559679598259458,4
148,536,0.025888506564176503,3
186,611,0.025897113286742737,3
445,450,0.025917588738860946,2
25,594,0.026075594647604783,3
405,409,0.026134669817507578,2
138,144,0.02622663508717954,2
251,253,0.02653166148560784,2
275,279,0.026533461670500247,2
459,621,0.026604624436475353,3
3,5,0.026659439262704927,2
380,555,0.026739759158498078,3
444,586,0.026938192443883582,3
420,528,0.02707423486439859,3
313,319,0.0270990563782828,2
197,523,0.027101734349900646,3
521,567,0.027146841953363997,4
432,438,0.02715168850653256,2
61,64,0.0272902444030545,2
358,364,0.02747363434846453,2
537,627,0.02753717265432966,4
407,529,0.02759151510676174,3
468,666,0.02774313613474865,4
435,688,0.027902175991582904,5
372,378,0.028097631432402008,2
114,115,0.028221036667271167,2
447,454,0.028226697535318826,2
154,540,0.02847409597569178,3
63,70,0.028549423546142996,2
203,651,0.028569714876631194,3
89,96,0.028941901034479047,2
470,476,0.02897512752650352,2
37,41,0.029310349695859134,2
40,576,0.029381339411942826,3
469,552,0.029997481674749523,3
45,524,0.030109526312895794,3
268,648,0.03036398775208933,3
320,541,0.03138204146462983,3
284,554,0.0316692814206279,3
379,699,0.03204548715032474,4
278,653,0.032112512641838876,3
453,691,0.0324617965918071,3
73,80,0.03248224994553606,2
354,514,0.03257075714156939,3
333,600,0.032617441989289425,4
581,616,0.032718385709134275,4
85,625,0.03274144683029832,3
551,597,0.032747188162350074,5
202,622,0.032780913586777274,3
230,234,0.03306039358624965,2
269,590,0.03318384265061624,3
267,578,0.03325831819700836,3
595,637,0.033403528948818595,5
146,532,0.03360163761144825,3
394,402,0.03376358738142719,2
464,556,0.03385884213253932,3
174,671,0.03398259944618513,4
404,665,0.03398556203117921,3
264,272,0.03408967913883519,2
337,632,0.03433612564890131,3
377,381,0.03437061465029689,2
240,593,0.03515283186921606,3
617,694,0.0351614800696407,4
280,696,0.03593222881522891,3
305,311,0.036034794423705475,2
53,543,0.036113926351627974,3
113,117,0.036227432590313385,2
367,376,0.03634298782373543,2
599,719,0.03657487210214748,4
46,720,0.036594911538469034,3
23,574,0.036813719278050314,3
134,618,0.03690068829609575,3
356,620,0.037045088639346274,3
572,643,0.03715479952649718,6
329,588,0.037367246358562194,4
638,654,0.03757181818943866,5
417,670,0.037636246846579124,3
480,656,0.037863720921316034,3
44,657,0.03787648844550933,4
111,516,0.03804253669042001,3
169,538,0.03830569995982973,3
491,635,0.03849192352011207,4
568,705,0.03857532821428867,4
579,592,0.03862072947452334,5
208,736,0.03881183888592903,4
228,236,0.03892304577023052,2
512,591,0.038979301001764784,4
188,615,0.03918479798033072,3
290,662,0.03931638970568257,4
434,437,0.03942318025102889,2
369,707,0.039633930460844805,3
339,345,0.03964836646370338,2
259,739,0.04075614876465507,4
412,701,0.041106426307146435,4
603,668,0.041122020979828,4
563,725,0.04128546313594673,6
266,276,0.04136607694083699,2
609,726,0.04141602371057169,5
159,522,0.04153924154047491,3
614,723,0.041583292269111866,5
281,684,0.04169130542969418,3
223,634,0.041722111892225855,4
161,658,0.04177134035764365,3
185,194,0.04235442023746245,2
206,549,0.04237270684028286,3
399,742,0.04240201204490378,3
16,687,0.04270198826512172,4
83,669,0.04305804265415552,3
219,678,0.043148785513056336,5
