dataset,n_vectors,n_dimensions,k,k_source,linkage_method,metric,n_clusters,n_clustered,evaluation_quantile,evaluation_radius,internal_coherence,coverage,clustering_quality,linkage_seconds,cut_seconds,clustering_seconds,quality_seconds,total_seconds,status,error
bifurcation_2way_noise_high,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.2099250463948295,0.8222050115797322,1.0,0.902428657977331,0.002958738994493615,0.0095818350018817,0.012540573996375315,0.002430534004815854,0.015154779997828882,ok,
bifurcation_2way_noise_low,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.14437171889260536,0.8943490678639958,1.0,0.9442283716722111,0.0016700029955245554,0.009556074001011439,0.011226076996535994,0.0022007669977028854,0.013563724998675752,ok,
bifurcation_2way_noise_medium,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.16431585438895818,0.8988833993101032,1.0,0.946749441947497,0.001717417995678261,0.00869366300321417,0.01041108099889243,0.0023167430044850335,0.012878599001851398,ok,
bifurcation_3way_noise_high,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.2258264496395394,0.8168853001985396,1.0,0.899215046881908,0.001716002996545285,0.009256200995878316,0.010972203992423601,0.0025336280014016666,0.01363344700075686,ok,
bifurcation_3way_noise_low,500,2,5,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,5,500,0.15,0.15379708063700293,0.8821179937261335,1.0,0.937367366622701,0.001644689000386279,0.009190046999719925,0.010834736000106204,0.002095146002830006,0.013084656005958095,ok,
bifurcation_3way_noise_medium,500,2,5,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,5,500,0.15,0.16358770126827832,0.8856538714754676,1.0,0.939359958763238,0.0015896490003797226,0.008810944003926124,0.010400593004305847,0.002194714004872367,0.012723681000352371,ok,
circular_arc_noise_high,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.25455057799214903,0.8125014353042508,1.0,0.8965525979491016,0.0016775379990576766,0.008924615998694208,0.010602153997751884,0.002760742005193606,0.013505019000149332,ok,
circular_arc_noise_low,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.18199412971222623,0.8783582366799985,1.0,0.9352403812304709,0.002165780999348499,0.008159662997059058,0.010325443996407557,0.002546005001931917,0.01299122700584121,ok,
circular_arc_noise_medium,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.2074848161782871,0.874710289324081,1.0,0.9331684946792009,0.001427586998033803,0.008939500999986194,0.010367087998019997,0.00282896299904678,0.013311922004504595,ok,
cubic_noise_high,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.5476083230883362,0.9293603999303041,1.0,0.9633870374491735,0.0015407499959110282,0.008876480998878833,0.010417230994789861,0.0030689720006193966,0.013629050998133607,ok,
cubic_noise_low,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.5382384173566812,0.9056591732182189,1.0,0.9504943863479737,0.0016457909950986505,0.008507655002176762,0.010153445997275412,0.0029831089996150695,0.013258453996968456,ok,
cubic_noise_medium,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.5248553416587505,0.8482770296147489,1.0,0.9179111313108318,0.0016618250010651536,0.009372312997584231,0.011034137998649385,0.003143998001178261,0.014311515995359514,ok,
exponential_noise_high,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.5965232942241294,0.8742268967182429,1.0,0.9328933420484015,0.0016860300020198338,0.009296525000536349,0.010982555002556182,0.004298240994103253,0.015431381005328149,ok,
exponential_noise_low,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.5781123997494532,0.8725792790930281,1.0,0.9319544318739406,0.001778823003405705,0.012968453993380535,0.01474727699678624,0.0031794669994269498,0.01805785000033211,ok,
exponential_noise_medium,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.5982057199088577,0.898441646744655,1.0,0.9465043587568299,0.0014338550026877783,0.008193499001208693,0.009627354003896471,0.0041953799955081195,0.013946614002634306,ok,
heteroscedastic_noise_high,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.22195899071812128,0.8735166915695728,1.0,0.9324888275617852,0.0018382999987807125,0.009538238002278376,0.011376538001059089,0.002763558004517108,0.01426923200051533,ok,
heteroscedastic_noise_low,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.1613204977373611,0.8963855246632342,1.0,0.9453621249533816,0.0014134960001683794,0.008808846003375947,0.010222342003544327,0.002490835999196861,0.012837196998589206,ok,
heteroscedastic_noise_medium,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.1737309070327638,0.92984801266113,1.0,0.9636489573901028,0.001491032999183517,0.008703203006007243,0.01019423600519076,0.002504055002646055,0.012828335995436646,ok,
kinked_curve_noise_high,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.19736976952425656,0.8768353251623704,1.0,0.934376408421994,0.0014877600042382255,0.01318395199632505,0.014671712000563275,0.002879902000131551,0.01768639500369318,ok,
kinked_curve_noise_low,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.20819758730424834,0.8773494313363004,1.0,0.9346682260550734,0.0016060639973147772,0.009828330999880563,0.01143439499719534,0.0044576629952644,0.016080553003121167,ok,
kinked_curve_noise_medium,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.19224406782508288,0.8826094148535688,1.0,0.937644747646414,0.0015987910010153428,0.009108233003644273,0.010707024004659615,0.0038728639992768876,0.014717063997522928,ok,
linear_noise_high,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.3709946635468396,0.8996230696480347,1.0,0.9471595539368959,0.001644579999265261,0.008859460001986008,0.010504040001251269,0.0028035790019202977,0.013433779000479262,ok,
linear_noise_low,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.32490144478425076,0.9033420234075861,1.0,0.9492167065069234,0.0015870870047365315,0.009069851999811362,0.010656939004547894,0.0023805270029697567,0.013221264001913369,ok,
linear_noise_medium,500,2,3,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,3,500,0.15,0.34211894003393667,0.9042170241239036,1.0,0.949699548600473,0.0014037820001249202,0.008825656994304154,0.010229438994429074,0.002485302000422962,0.012840121002227534,ok,
mixed_generators_noise_high,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.6019276128594454,0.8196597592273435,1.0,0.9008934280938148,0.0018214199953945354,0.008969489994342439,0.010790909989736974,0.0032581779960310087,0.014181236998410895,ok,
mixed_generators_noise_low,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.5865173968114423,0.8021889321574712,1.0,0.8902384404249328,0.0015581540064886212,0.008989743000711314,0.010547897007199936,0.003442408997216262,0.014118913000856992,ok,
mixed_generators_noise_medium,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.5960060117403949,0.7599691549417881,1.0,0.8636164478313535,0.0019066259992541745,0.008906309994927142,0.010812935994181316,0.0032662259982316755,0.014199577999534085,ok,
s_curve_noise_high,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.5101536373829344,0.8695986505404517,1.0,0.9302516882851555,0.001643937997869216,0.008654635996208526,0.010298573994077742,0.0031111830030567944,0.013534194004023448,ok,
s_curve_noise_low,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.5303278107063578,0.9071516713614861,1.0,0.9513157081144831,0.0014409599971259013,0.009294585004681721,0.010735545001807623,0.002936352997494396,0.013799717002257239,ok,
s_curve_noise_medium,500,2,4,results/clustering_baselines/kmeans/kmeans_summary.csv:selected_k,ward,euclidean,4,500,0.15,0.5279312912965858,0.9018142048881431,1.0,0.9483725619150942,0.0015261309963534586,0.00935024200589396,0.01087637300224742,0.003091105005296413,0.014118085004156455,ok,
