x,sigma_raw,sigma_smooth
   -1.000000,    0.056342,    0.045340,
   -0.995992,    0.089801,    0.045067,
   -0.991984,    0.043801,    0.045419,
   -0.987976,    0.091600,    0.045038,
   -0.983968,    0.051236,    0.045342,
   -0.979960,    0.053310,    0.045316,
   -0.975952,    0.048744,    0.045342,
   -0.971944,    0.042683,    0.045378,
   -0.967936,    0.074390,    0.045131,
   -0.963928,    0.049281,    0.045309,
   -0.959920,    0.053686,    0.045268,
   -0.955912,    0.039234,    0.045365,
   -0.951904,    0.048927,    0.045284,
   -0.947896,    0.047405,    0.045286,
   -0.943888,    0.035439,    0.045363,
   -0.939880,    0.049412,    0.045254,
   -0.935872,    0.054761,    0.045207,
   -0.931864,    0.035636,    0.045333,
   -0.927856,    0.111179,    0.044795,
   -0.923848,    0.035065,    0.045318,
   -0.919840,    0.035046,    0.045309,
   -0.915832,    0.037067,    0.045286,
   -0.911824,    0.036044,    0.045284,
   -0.907816,    0.037260,    0.045266,
   -0.903808,    0.043102,    0.045218,
   -0.899800,    0.035708,    0.045258,
   -0.895792,    0.033013,    0.045267,
   -0.891784,    0.032453,    0.045262,
   -0.887776,    0.034370,    0.045240,
   -0.883768,    0.038230,    0.045206,
   -0.879760,    0.040879,    0.045180,
   -0.875752,    0.037414,    0.045193,
   -0.871743,    0.055714,    0.045066,
   -0.867735,    0.050043,    0.045094,
   -0.863727,    0.038861,    0.045158,
   -0.859719,    0.042707,    0.045124,
   -0.855711,    0.041525,    0.045123,
   -0.851703,    0.040074,    0.045124,
   -0.847695,    0.037139,    0.045134,
   -0.843687,    0.042112,    0.045094,
   -0.839679,    0.036946,    0.045117,
   -0.835671,    0.087212,    0.044797,
   -0.831663,    0.063490,    0.044936,
   -0.827655,    0.037352,    0.045089,
   -0.823647,    0.034840,    0.045095,
   -0.819639,    0.038522,    0.045064,
   -0.815631,    0.058956,    0.044931,
   -0.811623,    0.044164,    0.045013,
   -0.807615,    0.037230,    0.045046,
   -0.803607,    0.035921,    0.045045,
   -0.799599,    0.037006,    0.045030,
   -0.795591,    0.046909,    0.044962,
   -0.791583,    0.036225,    0.045017,
   -0.787575,    0.044776,    0.044958,
   -0.783567,    0.035116,    0.045006,
   -0.779559,    0.055347,    0.044878,
   -0.775551,    0.034864,    0.044990,
   -0.771543,    0.046201,    0.044915,
   -0.767535,    0.036959,    0.044960,
   -0.763527,    0.054129,    0.044852,
   -0.759519,    0.035834,    0.044949,
   -0.755511,    0.053789,    0.044837,
   -0.751503,    0.038033,    0.044919,
   -0.747495,    0.052897,    0.044825,
   -0.743487,    0.034260,    0.044923,
   -0.739479,    0.036984,    0.044898,
   -0.735471,    0.051744,    0.044805,
   -0.731463,    0.034694,    0.044893,
   -0.727455,    0.035834,    0.044878,
   -0.723447,    0.046909,    0.044806,
   -0.719439,    0.034388,    0.044868,
   -0.715431,    0.050534,    0.044768,
   -0.711423,    0.074598,    0.044625,
   -0.707415,    0.037998,    0.044821,
   -0.703407,    0.035226,    0.044827,
   -0.699399,    0.044524,    0.044766,
   -0.695391,    0.036995,    0.044799,
   -0.691383,    0.042128,    0.044762,
   -0.687375,    0.039630,    0.044766,
   -0.683367,    0.062779,    0.044629,
   -0.679359,    0.034798,    0.044775,
   -0.675351,    0.041397,    0.044729,
   -0.671343,    0.032617,    0.044768,
   -0.667335,    0.054847,    0.044637,
   -0.663327,    0.060676,    0.044596,
   -0.659319,    0.041158,    0.044693,
   -0.655311,    0.056706,    0.044599,
   -0.651303,    0.037971,    0.044692,
   -0.647295,    0.038562,    0.044680,
   -0.643287,    0.039413,    0.044666,
   -0.639279,    0.036865,    0.044670,
   -0.635271,    0.040889,    0.044639,
   -0.631263,    0.055159,    0.044552,
   -0.627255,    0.040023,    0.044625,
   -0.623246,    0.059842,    0.044508,
   -0.619238,    0.051789,    0.044542,
   -0.615230,    0.035309,    0.044622,
   -0.611222,    0.035810,    0.044610,
   -0.607214,    0.053178,    0.044506,
   -0.603206,    0.062559,    0.044446,
   -0.599198,    0.045268,    0.044530,
   -0.595190,    0.039378,    0.044552,
   -0.591182,    0.041456,    0.044531,
   -0.587174,    0.043324,    0.044512,
   -0.583166,    0.041287,    0.044513,
   -0.579158,    0.049380,    0.044460,
   -0.575150,    0.043874,    0.044480,
   -0.571142,    0.041570,    0.044483,
   -0.567134,    0.042531,    0.044468,
   -0.563126,    0.041960,    0.044462,
   -0.559118,    0.039098,    0.044468,
   -0.555110,    0.041786,    0.044444,
   -0.551102,    0.048084,    0.044400,
   -0.547094,    0.075472,    0.044242,
   -0.543086,    0.040935,    0.044420,
   -0.539078,    0.037357,    0.044430,
   -0.535070,    0.046614,    0.044370,
   -0.531062,    0.081334,    0.044171,
   -0.527054,    0.052966,    0.044316,
   -0.523046,    0.038146,    0.044388,
   -0.519038,    0.079862,    0.044150,
   -0.515030,    0.034563,    0.044389,
   -0.511022,    0.037447,    0.044364,
   -0.507014,    0.034033,    0.044373,
   -0.503006,    0.039193,    0.044336,
   -0.498998,    0.065556,    0.044181,
   -0.494990,    0.035864,    0.044336,
   -0.490982,    0.058668,    0.044201,
   -0.486974,    0.035526,    0.044320,
   -0.482966,    0.041388,    0.044279,
   -0.478958,    0.052465,    0.044208,
   -0.474950,    0.041346,    0.044262,
   -0.470942,    0.032194,    0.044304,
   -0.466934,    0.037203,    0.044268,
   -0.462926,    0.035831,    0.044267,
   -0.458918,    0.034330,    0.044267,
   -0.454910,    0.040066,    0.044227,
   -0.450902,    0.044970,    0.044191,
   -0.446894,    0.033162,    0.044250,
   -0.442886,    0.035831,    0.044227,
   -0.438878,    0.036011,    0.044218,
   -0.434870,    0.067639,    0.044029,
   -0.430862,    0.033227,    0.044219,
   -0.426854,    0.033910,    0.044208,
   -0.422846,    0.035526,    0.044192,
   -0.418838,    0.067757,    0.043998,
   -0.414830,    0.047715,    0.044107,
   -0.410822,    0.036469,    0.044166,
   -0.406814,    0.048704,    0.044088,
   -0.402806,    0.040299,    0.044131,
   -0.398798,    0.041346,    0.044118,
   -0.394790,    0.035686,    0.044146,
   -0.390782,    0.036894,    0.044133,
   -0.386774,    0.038708,    0.044117,
   -0.382766,    0.034837,    0.044135,
   -0.378758,    0.068516,    0.043928,
   -0.374749,    0.048296,    0.044044,
   -0.370741,    0.057922,    0.043981,
   -0.366733,    0.035567,    0.044112,
   -0.362725,    0.037240,    0.044098,
   -0.358717,    0.040554,    0.044075,
   -0.354709,    0.039956,    0.044075,
   -0.350701,    0.041308,    0.044064,
   -0.346693,    0.089413,    0.043763,
   -0.342685,    0.042094,    0.044054,
   -0.338677,    0.045785,    0.044029,
   -0.334669,    0.049194,    0.044006,
   -0.330661,    0.033691,    0.044101,
   -0.326653,    0.035267,    0.044091,
   -0.322645,    0.040699,    0.044056,
   -0.318637,    0.032618,    0.044107,
   -0.314629,    0.037012,    0.044080,
   -0.310621,    0.029507,    0.044129,
   -0.306613,    0.033685,    0.044104,
   -0.302605,    0.042421,    0.044049,
   -0.298597,    0.037424,    0.044084,
   -0.294589,    0.032088,    0.044121,
   -0.290581,    0.039942,    0.044073,
   -0.286573,    0.033685,    0.044118,
   -0.282565,    0.034605,    0.044116,
   -0.278557,    0.028258,    0.044163,
   -0.274549,    0.030264,    0.044156,
   -0.270541,    0.036083,    0.044123,
   -0.266533,    0.031139,    0.044163,
   -0.262525,    0.031265,    0.044169,
   -0.258517,    0.032618,    0.044168,
   -0.254509,    0.034164,    0.044166,
   -0.250501,    0.038425,    0.044146,
   -0.246493,    0.055494,    0.044039,
   -0.242485,    0.037503,    0.044173,
   -0.238477,    0.039850,    0.044168,
   -0.234469,    0.034602,    0.044216,
   -0.230461,    0.033120,    0.044239,
   -0.226453,    0.039868,    0.044205,
   -0.222445,    0.041602,    0.044206,
   -0.218437,    0.042899,    0.044211,
   -0.214429,    0.046764,    0.044199,
   -0.210421,    0.050165,    0.044190,
   -0.206413,    0.045669,    0.044239,
   -0.202405,    0.043876,    0.044269,
   -0.198397,    0.046842,    0.044265,
   -0.194389,    0.037503,    0.044351,
   -0.190381,    0.079706,    0.044065,
   -0.186373,    0.053299,    0.044275,
   -0.182365,    0.041206,    0.044384,
   -0.178357,    0.047316,    0.044360,
   -0.174349,    0.043917,    0.044407,
   -0.170341,    0.042636,    0.044438,
   -0.166333,    0.049470,    0.044411,
   -0.162325,    0.044973,    0.044467,
   -0.158317,    0.039865,    0.044529,
   -0.154309,    0.043468,    0.044527,
   -0.150301,    0.042220,    0.044561,
   -0.146293,    0.040252,    0.044602,
   -0.142285,    0.067982,    0.044419,
   -0.138277,    0.042130,    0.044640,
   -0.134269,    0.042186,    0.044666,
   -0.130261,    0.042333,    0.044692,
   -0.126253,    0.056536,    0.044611,
   -0.122244,    0.038294,    0.044778,
   -0.118236,    0.037925,    0.044809,
   -0.114228,    0.035705,    0.044854,
   -0.110220,    0.037609,    0.044867,
   -0.106212,    0.079938,    0.044569,
   -0.102204,    0.044099,    0.044874,
   -0.098196,    0.038397,    0.044946,
   -0.094188,    0.046664,    0.044910,
   -0.090180,    0.039518,    0.044994,
