experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  1.1823381111727578E-01,115,41,448,448,0,  6.2857095994628631E-01,  8.9600000000000002E-01,  8.9600000000000002E-01,  7.3883026098269011E-01,  1.4136682300000000E-01,  3.8180300000000000E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  1.1823381111727578E-01,115,42,449,448,1,  6.1437914101956881E-01,  8.9800000000000002E-01,  8.9600000000000002E-01,  7.2959544822026090E-01,  1.1333582600000000E-01,  4.3675099999999998E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  1.1823381111727578E-01,115,48,461,448,13,  5.4170652843825029E-01,  9.2200000000000004E-01,  8.9600000000000002E-01,  6.8245021733007505E-01,  1.1821269099999999E-01,  4.7756799999999999E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  1.1823381111727578E-01,115,50,467,448,19,  5.3627550318226425E-01,  9.3400000000000005E-01,  8.9600000000000002E-01,  6.8134348819405244E-01,  1.1972744900000000E-01,  4.0368600000000000E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  1.1823381111727578E-01,115,53,479,448,31,  5.0681560970774375E-01,  9.5799999999999996E-01,  8.9600000000000002E-01,  6.6292214649035608E-01,  1.1330714800000000E-01,  4.4333399999999998E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  1.1823381111727578E-01,115,41,448,448,0,  6.2857095994628631E-01,  8.9600000000000002E-01,  8.9600000000000002E-01,  7.3883026098269011E-01,  1.1307922199999999E-01,  3.8573600000000002E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  1.1823381111727578E-01,115,42,449,448,1,  6.1437914101956881E-01,  8.9800000000000002E-01,  8.9600000000000002E-01,  7.2959544822026090E-01,  1.3057393700000000E-01,  3.8114600000000001E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  1.1823381111727578E-01,115,48,461,448,13,  5.4170652843825029E-01,  9.2200000000000004E-01,  8.9600000000000002E-01,  6.8245021733007505E-01,  1.1320398100000000E-01,  3.9566200000000002E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  1.1823381111727578E-01,115,50,467,448,19,  5.3627550318226425E-01,  9.3400000000000005E-01,  8.9600000000000002E-01,  6.8134348819405244E-01,  1.1290369300000000E-01,  4.0292099999999999E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  1.1823381111727578E-01,115,53,479,448,31,  5.0681560970774375E-01,  9.5799999999999996E-01,  8.9600000000000002E-01,  6.6292214649035608E-01,  1.1320810700000000E-01,  4.1001800000000000E-04,0
