experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3083,0.5,55,0.8125,0.4375,3,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.035533577,0.000873092,0
3082,0.5,55,0.8125,0.4375,2,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.034385227,0.000869864,0
3081,0.5,55,0.8125,0.4375,1,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.034549589,0.000880931,0
3078,0.5,55,0.8125,0.25,3,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.034537112,0.000867686,0
1317,0.275,15,0.625,0.8125,2,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.10523097,0.000598815,0
1316,0.275,15,0.625,0.8125,1,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.101263923,0.000581217,0
1314,0.275,15,0.625,0.625,4,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.099418718,0.000615447,0
1313,0.275,15,0.625,0.625,3,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.10542635,0.000589847,0
1312,0.275,15,0.625,0.625,2,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.09795963,0.000580523,0
1311,0.275,15,0.625,0.625,1,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.100011531,0.00059848,0
1309,0.275,15,0.625,0.4375,4,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.101072302,0.000599381,0
1308,0.275,15,0.625,0.4375,3,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.097879078,0.000612933,0
1307,0.275,15,0.625,0.4375,2,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.098023067,0.000602749,0
1306,0.275,15,0.625,0.4375,1,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.100642632,0.000571762,0
1304,0.275,15,0.625,0.25,4,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.098906405,0.000636354,0
1303,0.275,15,0.625,0.25,3,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.094252357,0.00063767,0
1302,0.275,15,0.625,0.25,2,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.095486455,0.00056644,0
3109,0.5,55,1.0,0.4375,4,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.039763944,0.000893811,0
3108,0.5,55,1.0,0.4375,3,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.039243532,0.0008765049999999999,0
3107,0.5,55,1.0,0.4375,2,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.040555598,0.000892692,0
3106,0.5,55,1.0,0.4375,1,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.039968005,0.0008836,0
3105,0.5,55,1.0,0.25,5,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.040469219,0.001006798,0
3104,0.5,55,1.0,0.25,4,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.039439169,0.000882471,0
3103,0.5,55,1.0,0.25,3,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.040126796,0.000969164,0
3102,0.5,55,1.0,0.25,2,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.039304796,0.00087619,0
3101,0.5,55,1.0,0.25,1,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.039964333,0.000885251,0
3098,0.5,55,0.8125,1.0,3,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.034712327,0.0008458749999999998,0
3097,0.5,55,0.8125,1.0,2,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.034581669,0.001236197,0
3096,0.5,55,0.8125,1.0,1,0.45541548496006057,33,1,500,500,0,1.0,1.0,1.0,1.0,0.034071185,0.0008820809999999998,0
1301,0.275,15,0.625,0.25,1,0.24714236857988056,111,1,500,500,0,1.0,1.0,1.0,1.0,0.093690657,0.000608859,0
