experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  9.1994342549486047E-02,108,22,469,469,0,  4.8129871839507210E-01,  9.3799999999999994E-01,  9.3799999999999994E-01,  6.3617079618740402E-01,  1.1358783700000000E-01,  3.9924099999999999E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  9.1994342549486047E-02,108,25,472,469,3,  4.3281336034954587E-01,  9.4399999999999995E-01,  9.3799999999999994E-01,  5.9350936581010794E-01,  1.0930615400000000E-01,  3.8860700000000001E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  9.1994342549486047E-02,108,33,488,469,19,  3.5727193488480458E-01,  9.7599999999999998E-01,  9.3799999999999994E-01,  5.2307019944539201E-01,  1.0684507900000000E-01,  3.7693100000000000E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  9.1994342549486047E-02,108,36,497,469,28,  3.3527102493728578E-01,  9.9399999999999999E-01,  9.3799999999999994E-01,  5.0141678037913306E-01,  1.0714890400000000E-01,  4.1915399999999998E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  9.1994342549486047E-02,108,36,497,469,28,  3.3527102493728578E-01,  9.9399999999999999E-01,  9.3799999999999994E-01,  5.0141678037913306E-01,  1.0752088600000000E-01,  4.0579199999999998E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  9.1994342549486047E-02,108,22,469,469,0,  4.8129871839507210E-01,  9.3799999999999994E-01,  9.3799999999999994E-01,  6.3617079618740402E-01,  1.0969475700000000E-01,  3.8503600000000000E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  9.1994342549486047E-02,108,25,472,469,3,  4.3281336034954587E-01,  9.4399999999999995E-01,  9.3799999999999994E-01,  5.9350936581010794E-01,  1.0858609599999999E-01,  3.6324099999999999E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  9.1994342549486047E-02,108,33,488,469,19,  3.5727193488480458E-01,  9.7599999999999998E-01,  9.3799999999999994E-01,  5.2307019944539201E-01,  1.0942304300000000E-01,  3.9114400000000001E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  9.1994342549486047E-02,108,36,497,469,28,  3.3527102493728578E-01,  9.9399999999999999E-01,  9.3799999999999994E-01,  5.0141678037913306E-01,  1.0943178000000001E-01,  4.4047200000000002E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  9.1994342549486047E-02,108,36,497,469,28,  3.3527102493728578E-01,  9.9399999999999999E-01,  9.3799999999999994E-01,  5.0141678037913306E-01,  1.0890173700000000E-01,  4.4613399999999999E-04,0
