experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1014,0.1625,45,0.25,0.625,4,0.15115911909715282,35,18,356,345,11,0.27642690377461926,0.712,0.69,0.3982407899581148,0.028453019,0.000340801,0
1015,0.1625,45,0.25,0.625,5,0.15115911909715282,35,18,356,345,11,0.27642690377461926,0.712,0.69,0.3982407899581148,0.02847381,0.000333972,0
1020,0.1625,45,0.25,0.8125,5,0.15115911909715282,35,18,356,345,11,0.27642690377461926,0.712,0.69,0.3982407899581148,0.027008676,0.000349114,0
1019,0.1625,45,0.25,0.8125,4,0.15115911909715282,35,18,356,345,11,0.27642690377461926,0.712,0.69,0.3982407899581148,0.026619402,0.000333157,0
1025,0.1625,45,0.25,1.0,5,0.15115911909715282,35,18,356,345,11,0.27642690377461926,0.712,0.69,0.3982407899581148,0.026547954,0.000337075,0
1009,0.1625,45,0.25,0.4375,4,0.15115911909715282,35,18,356,345,11,0.27642690377461926,0.712,0.69,0.3982407899581148,0.027149151,0.000341053,0
1004,0.1625,45,0.25,0.25,4,0.15115911909715282,35,18,356,345,11,0.27642690377461926,0.712,0.69,0.3982407899581148,0.03366857,0.000365629,0
1005,0.1625,45,0.25,0.25,5,0.15115911909715282,35,18,356,345,11,0.27642690377461926,0.712,0.69,0.3982407899581148,0.034052386,0.000402286,0
1010,0.1625,45,0.25,0.4375,5,0.15115911909715282,35,18,356,345,11,0.27642690377461926,0.712,0.69,0.3982407899581148,0.027085069,0.000350545,0
1024,0.1625,45,0.25,1.0,4,0.15115911909715282,35,18,356,345,11,0.27642690377461926,0.712,0.69,0.3982407899581148,0.027164926,0.000337526,0
630,0.1625,15,0.25,0.25,5,0.15115911909715282,110,31,484,467,17,0.26491117494486816,0.968,0.934,0.4159813335427011,0.086394808,0.00045481,0
640,0.1625,15,0.25,0.625,5,0.15115911909715282,110,31,484,467,17,0.26491117494486816,0.968,0.934,0.4159813335427011,0.089140722,0.000487495,0
635,0.1625,15,0.25,0.4375,5,0.15115911909715282,110,31,484,467,17,0.26491117494486816,0.968,0.934,0.4159813335427011,0.087865632,0.000436631,0
645,0.1625,15,0.25,0.8125,5,0.15115911909715282,110,31,484,467,17,0.26491117494486816,0.968,0.934,0.4159813335427011,0.089659481,0.000442063,0
650,0.1625,15,0.25,1.0,5,0.15115911909715282,110,31,484,467,17,0.26491117494486816,0.968,0.934,0.4159813335427011,0.087460693,0.000430357,0
899,0.1625,35,0.25,1.0,4,0.15115911909715282,50,20,402,394,8,0.28172096491126697,0.804,0.788,0.4172410096311812,0.03837175,0.000373104,0
894,0.1625,35,0.25,0.8125,4,0.15115911909715282,50,20,402,394,8,0.28172096491126697,0.804,0.788,0.4172410096311812,0.039423714,0.000382485,0
889,0.1625,35,0.25,0.625,4,0.15115911909715282,50,20,402,394,8,0.28172096491126697,0.804,0.788,0.4172410096311812,0.038201806,0.000368991,0
885,0.1625,35,0.25,0.4375,5,0.15115911909715282,50,20,402,394,8,0.28172096491126697,0.804,0.788,0.4172410096311812,0.039393785,0.000372365,0
890,0.1625,35,0.25,0.625,5,0.15115911909715282,50,20,402,394,8,0.28172096491126697,0.804,0.788,0.4172410096311812,0.038909191,0.000567578,0
884,0.1625,35,0.25,0.4375,4,0.15115911909715282,50,20,402,394,8,0.28172096491126697,0.804,0.788,0.4172410096311812,0.039890544,0.000400572,0
895,0.1625,35,0.25,0.8125,5,0.15115911909715282,50,20,402,394,8,0.28172096491126697,0.804,0.788,0.4172410096311812,0.038860877,0.000378875,0
879,0.1625,35,0.25,0.25,4,0.15115911909715282,50,20,402,394,8,0.28172096491126697,0.804,0.788,0.4172410096311812,0.040757564,0.000406599,0
900,0.1625,35,0.25,1.0,5,0.15115911909715282,50,20,402,394,8,0.28172096491126697,0.804,0.788,0.4172410096311812,0.038639163,0.000370966,0
880,0.1625,35,0.25,0.25,5,0.15115911909715282,50,20,402,394,8,0.28172096491126697,0.804,0.788,0.4172410096311812,0.038881158,0.000372178,0
644,0.1625,15,0.25,0.8125,4,0.15115911909715282,110,30,480,467,13,0.2696208887162148,0.96,0.934,0.4210013924499996,0.086688786,0.000507086,0
649,0.1625,15,0.25,1.0,4,0.15115911909715282,110,30,480,467,13,0.2696208887162148,0.96,0.934,0.4210013924499996,0.09750101000000001,0.000454361,0
629,0.1625,15,0.25,0.25,4,0.15115911909715282,110,30,480,467,13,0.2696208887162148,0.96,0.934,0.4210013924499996,0.088300655,0.000433389,0
639,0.1625,15,0.25,0.625,4,0.15115911909715282,110,30,480,467,13,0.2696208887162148,0.96,0.934,0.4210013924499996,0.087483921,0.000431593,0
634,0.1625,15,0.25,0.4375,4,0.15115911909715282,110,30,480,467,13,0.2696208887162148,0.96,0.934,0.4210013924499996,0.08642527199999998,0.000435511,0
