vector_index,x,y,is_seed,n_memberships,cluster_id
1, -5.4279578438977738E-02, -6.7669430841589440E-01,0,1,13
2, -2.4439957044292231E-02, -6.8843166028136116E-01,0,1,11
3, -4.7790484883611428E-02, -7.2808422652320204E-01,0,1,13
4,  8.8334437556895646E-03, -7.7947967804359464E-01,0,2,17
4,  8.8334437556895646E-03, -7.7947967804359464E-01,0,2,20
5,  9.5774282516953024E-02, -7.7880602954642542E-01,0,0,0
6, -6.1683372571296372E-02, -7.1465359396851491E-01,0,2,13
6, -6.1683372571296372E-02, -7.1465359396851491E-01,0,2,17
7,  8.0065639821473134E-02, -8.0224273966941362E-01,0,0,0
8, -6.2533765787751008E-02, -9.1666226617800328E-01,1,1,40
9, -6.7810176999750740E-02, -7.2185179688388446E-01,0,1,17
10,  6.5487569467457055E-02, -8.4684912675843405E-01,0,0,0
11,  7.3754910240609345E-02, -8.2848644977038233E-01,0,0,0
12,  6.8112794941012342E-02, -7.4664875082700366E-01,0,1,20
13, -1.0526379265745130E-01, -7.4942817202245937E-01,0,1,26
14, -3.7276078245764059E-02, -8.4993574547494743E-01,0,0,0
15,  6.5839087360265711E-02, -7.1888188699056099E-01,1,1,17
16,  3.3233472451115686E-03, -6.4998155440384342E-01,0,1,7
17, -8.5895427695797139E-02, -8.1269156804550502E-01,0,0,0
18,  3.6665435130035340E-02, -6.1577709110785694E-01,0,1,7
19, -5.7184580719317639E-02, -8.3754093873766833E-01,0,0,0
20,  1.4356198787137697E-01, -5.3849285632911159E-01,0,0,0
21,  1.2358731699346068E-01, -7.3593113746898176E-01,0,0,0
22,  4.8327794108445385E-02, -6.8653245843566690E-01,0,1,11
23,  1.0888053638158189E-01, -8.4469601913218695E-01,1,1,33
24,  5.1833080098704874E-03, -6.9345573380239312E-01,0,1,11
25,  6.1234999550001272E-02, -6.6535778941890833E-01,0,1,11
26,  1.1821762362416599E-01, -6.8568084711583843E-01,0,1,20
27,  1.9639894543545016E-02, -7.1898588010358389E-01,0,1,13
28, -2.0414973721142694E-02, -7.4481607057313437E-01,0,1,13
29, -1.3636975665416926E-01, -5.7380029467943938E-01,0,1,26
30, -6.6506820577195190E-03, -6.5692936859410345E-01,0,1,7
31,  6.5873854764984904E-02, -5.3128526442411272E-01,0,1,11
32,  7.5650674205410370E-02, -6.9181555808056361E-01,0,1,11
33,  4.0349205257472785E-02, -6.7963206031826229E-01,0,1,11
34, -4.3303927596979187E-02, -5.7475246043230699E-01,0,1,7
35, -1.5814572551580725E-01, -7.6498951211180044E-01,1,1,37
36, -3.9617207840378810E-02, -7.2738009911526424E-01,1,1,13
37, -2.4347589684316114E-02, -5.3765574774629243E-01,0,1,7
38, -2.5034317375201131E-02, -7.1436077494391614E-01,0,1,13
39,  4.9484508558233956E-02, -7.6128165698177963E-01,0,2,17
39,  4.9484508558233956E-02, -7.6128165698177963E-01,0,2,20
40,  1.5885411288118717E-01, -4.6142691586324369E-01,0,0,0
41,  9.8823361472874412E-03, -7.1756601789054253E-01,0,1,13
42, -1.7338543132516933E-02, -5.8648256934586773E-01,0,1,7
43, -2.0737745040327403E-02, -5.9083682094569479E-01,0,1,7
44,  9.9507813526171357E-03, -8.1636541684459818E-01,1,1,20
45, -6.6263500827871913E-02, -6.0805202852009144E-01,0,1,11
46,  9.6158846996844058E-03, -5.4594512185985311E-01,0,1,7
47,  3.6064986906543986E-02, -5.4862494644818816E-01,0,1,7
48,  1.6774885085959052E-02, -4.9983955741693198E-01,1,1,7
49,  3.6603354720382501E-02, -5.9827203246516214E-01,0,1,7
50,  3.4699808747882824E-02, -5.0542388705686969E-01,0,1,11
51, -1.4175173457971549E-01, -6.1272208302216336E-01,1,1,26
52,  5.0949612671632255E-02, -6.6556466604029474E-01,0,1,7
53, -5.3681187652996287E-02, -6.5169705793328647E-01,1,1,11
54, -8.7667133040316633E-02, -6.5999913944593624E-01,0,1,13
55, -8.8356146228399698E-02, -4.5741494075052269E-01,0,1,11
56,  3.4683328837802348E-02, -6.5449921405801792E-01,1,1,7
57, -1.7805994177988237E-02, -5.0656174123290432E-01,0,1,7
58, -1.3455750271883285E-01, -5.4491029916215827E-01,0,1,26
59,  3.8243025215382677E-02, -5.2699976466392928E-01,0,1,7
60, -1.1516865046390619E-01, -4.0485081032341796E-01,1,1,18
61,  1.1185708681456869E-02, -5.4416509846813099E-01,0,1,7
62,  1.9079914053844332E-02, -4.5531429931844958E-01,0,1,7
63,  7.0846166535603591E-02, -4.9638887128345049E-01,0,1,11
64,  1.4253478291734811E-01, -5.0670696699607043E-01,0,0,0
65, -1.0917410607204334E-01, -3.0569943974605185E-01,1,1,11
66, -4.1979084850439557E-03, -6.0015582450571447E-01,1,1,7
67, -2.2106823603537388E-02, -3.7686945316500442E-01,0,1,7
68,  3.4699974876876982E-02, -4.2263898991231746E-01,0,1,7
69,  1.7253501674689486E-02, -5.0866502987357309E-01,0,1,7
70, -2.8203699418929595E-02, -3.3510906405921653E-01,0,1,7
71, -3.5272175088868443E-02, -6.0845486959714357E-01,0,1,7
72, -8.9316068414723809E-02, -4.9749890834150157E-01,0,2,11
72, -8.9316068414723809E-02, -4.9749890834150157E-01,0,2,13
73,  7.9028926592520740E-02, -5.4758766725061703E-01,1,2,11
73,  7.9028926592520740E-02, -5.4758766725061703E-01,1,2,13
74,  3.6736334527962343E-02, -4.1309392887088930E-01,0,1,7
75,  7.3421455823610982E-02, -5.3025724930709550E-01,0,2,11
75,  7.3421455823610982E-02, -5.3025724930709550E-01,0,2,13
76, -2.4831690918041095E-02, -4.0171852062433089E-01,0,1,7
77, -5.2546837495554437E-02, -4.4643006478087588E-01,0,1,7
78, -8.6265205330338227E-02, -4.6501498207915343E-01,0,1,11
79,  2.8713406699252764E-02, -3.9072640213551701E-01,1,1,7
80, -8.3183457962258775E-02, -4.3845942688474210E-01,0,1,11
81,  1.4789304551732402E-01, -4.9921199956593526E-01,0,0,0
82, -1.0461140648747524E-01, -1.8316288810192904E-01,1,1,7
83,  2.1892809537000152E-02, -4.4139761706657404E-01,0,1,7
84,  1.2534837657710290E-01, -5.7498448398791879E-01,0,1,17
85,  4.7927180741104726E-02, -4.6009516790498384E-01,0,1,11
