experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3092,0.5,55,0.8125,0.8125,2,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.125312183,0.001357727,0
3091,0.5,55,0.8125,0.8125,1,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.128365571,0.001386527,0
3090,0.5,55,0.8125,0.625,5,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.124080675,0.001354713,0
3089,0.5,55,0.8125,0.625,4,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.125711699,0.001376499,0
3088,0.5,55,0.8125,0.625,3,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.126729553,0.001359739,0
3087,0.5,55,0.8125,0.625,2,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.144044929,0.001393893,0
3086,0.5,55,0.8125,0.625,1,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.125016125,0.001505441,0
3085,0.5,55,0.8125,0.4375,5,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.125581537,0.001376783,0
3084,0.5,55,0.8125,0.4375,4,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.124409774,0.001344734,0
3083,0.5,55,0.8125,0.4375,3,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.125704803,0.001405875,0
3082,0.5,55,0.8125,0.4375,2,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.123231369,0.001392894,0
3081,0.5,55,0.8125,0.4375,1,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.123711016,0.001348044,0
3109,0.5,55,1.0,0.4375,4,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.151604781,0.001644832,0
3108,0.5,55,1.0,0.4375,3,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.153181339,0.001520079,0
3107,0.5,55,1.0,0.4375,2,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.151424307,0.00137724,0
3106,0.5,55,1.0,0.4375,1,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.151218076,0.001550044,0
3100,0.5,55,0.8125,1.0,5,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.123161951,0.001612223,0
3099,0.5,55,0.8125,1.0,4,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.125297647,0.001417462,0
3098,0.5,55,0.8125,1.0,3,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.125270213,0.001354509,0
3097,0.5,55,0.8125,1.0,2,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.123748339,0.001345455,0
3096,0.5,55,0.8125,1.0,1,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.127394227,0.001370102,0
3095,0.5,55,0.8125,0.8125,5,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.129868644,0.00158721,0
3094,0.5,55,0.8125,0.8125,4,0.4777943766346724,48,1,500,500,0,1.0,1.0,1.0,1.0,0.124114359,0.001345958,0
741,0.1625,15,1.0,0.8125,1,0.23348425631180356,114,1,500,500,0,1.0,1.0,1.0,1.0,0.31514191,0.000739467,0
740,0.1625,15,1.0,0.625,5,0.23348425631180356,114,2,501,500,1,0.9980079681274899,1.002,1.0,1.0,0.313583075,0.000764531,0
739,0.1625,15,1.0,0.625,4,0.23348425631180356,114,2,501,500,1,0.9980079681274899,1.002,1.0,1.0,0.308907609,0.0007933359999999998,0
738,0.1625,15,1.0,0.625,3,0.23348425631180356,114,2,501,500,1,0.9980079681274899,1.002,1.0,1.0,0.308944024,0.000749637,0
737,0.1625,15,1.0,0.625,2,0.23348425631180356,114,2,501,500,1,0.9980079681274899,1.002,1.0,1.0,0.30447075,0.000781528,0
736,0.1625,15,1.0,0.625,1,0.23348425631180356,114,1,500,500,0,1.0,1.0,1.0,1.0,0.314958228,0.000813049,0
731,0.1625,15,1.0,0.4375,1,0.23348425631180356,114,1,500,500,0,1.0,1.0,1.0,1.0,0.305502311,0.000794785,0
