experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
379,0.05,45,0.25,0.25,4,0.10727823696012188,48,39,300,287,13,0.4187327312400708,0.6,0.574,0.4932395534954816,0.036875923,0.000261986,0
385,0.05,45,0.25,0.4375,5,0.10727823696012188,48,39,300,287,13,0.4187327312400708,0.6,0.574,0.4932395534954816,0.035153324,0.000264739,0
384,0.05,45,0.25,0.4375,4,0.10727823696012188,48,39,300,287,13,0.4187327312400708,0.6,0.574,0.4932395534954816,0.035150076,0.000274346,0
380,0.05,45,0.25,0.25,5,0.10727823696012188,48,39,300,287,13,0.4187327312400708,0.6,0.574,0.4932395534954816,0.035812836,0.000268187,0
389,0.05,45,0.25,0.625,4,0.10727823696012188,48,39,300,287,13,0.4187327312400708,0.6,0.574,0.4932395534954816,0.035001082,0.000273171,0
395,0.05,45,0.25,0.8125,5,0.10727823696012188,48,39,300,287,13,0.4187327312400708,0.6,0.574,0.4932395534954816,0.037527925,0.000282983,0
399,0.05,45,0.25,1.0,4,0.10727823696012188,48,39,300,287,13,0.4187327312400708,0.6,0.574,0.4932395534954816,0.036685671,0.000352676,0
400,0.05,45,0.25,1.0,5,0.10727823696012188,48,39,300,287,13,0.4187327312400708,0.6,0.574,0.4932395534954816,0.035144321,0.000264441,0
394,0.05,45,0.25,0.8125,4,0.10727823696012188,48,39,300,287,13,0.4187327312400708,0.6,0.574,0.4932395534954816,0.035813825,0.000264659,0
390,0.05,45,0.25,0.625,5,0.10727823696012188,48,39,300,287,13,0.4187327312400708,0.6,0.574,0.4932395534954816,0.037293572,0.000274998,0
393,0.05,45,0.25,0.8125,3,0.10727823696012188,48,37,294,287,7,0.44197001921581824,0.588,0.574,0.5046328853276002,0.036151323,0.000292232,0
398,0.05,45,0.25,1.0,3,0.10727823696012188,48,37,294,287,7,0.44197001921581824,0.588,0.574,0.5046328853276002,0.035993139,0.000260453,0
383,0.05,45,0.25,0.4375,3,0.10727823696012188,48,37,294,287,7,0.44197001921581824,0.588,0.574,0.5046328853276002,0.035890108,0.000257538,0
378,0.05,45,0.25,0.25,3,0.10727823696012188,48,37,294,287,7,0.44197001921581824,0.588,0.574,0.5046328853276002,0.03665452,0.000265817,0
388,0.05,45,0.25,0.625,3,0.10727823696012188,48,37,294,287,7,0.44197001921581824,0.588,0.574,0.5046328853276002,0.035412814,0.000265465,0
382,0.05,45,0.25,0.4375,2,0.10727823696012188,48,35,290,287,3,0.4540600351116289,0.58,0.574,0.5093607941947298,0.036243245,0.000264752,0
397,0.05,45,0.25,1.0,2,0.10727823696012188,48,35,290,287,3,0.4540600351116289,0.58,0.574,0.5093607941947298,0.035600195,0.000257883,0
387,0.05,45,0.25,0.625,2,0.10727823696012188,48,35,290,287,3,0.4540600351116289,0.58,0.574,0.5093607941947298,0.03694478,0.000257133,0
377,0.05,45,0.25,0.25,2,0.10727823696012188,48,35,290,287,3,0.4540600351116289,0.58,0.574,0.5093607941947298,0.036480567,0.000273523,0
392,0.05,45,0.25,0.8125,2,0.10727823696012188,48,35,290,287,3,0.4540600351116289,0.58,0.574,0.5093607941947298,0.03590279,0.000293865,0
509,0.05,55,0.25,0.4375,4,0.10727823696012188,42,35,310,303,7,0.43839734013787207,0.62,0.606,0.5136187338680838,0.034028656,0.000267808,0
514,0.05,55,0.25,0.625,4,0.10727823696012188,42,35,310,303,7,0.43839734013787207,0.62,0.606,0.5136187338680838,0.033029656,0.000272068,0
515,0.05,55,0.25,0.625,5,0.10727823696012188,42,35,310,303,7,0.43839734013787207,0.62,0.606,0.5136187338680838,0.03296175,0.000262579,0
504,0.05,55,0.25,0.25,4,0.10727823696012188,42,35,310,303,7,0.43839734013787207,0.62,0.606,0.5136187338680838,0.033317224,0.000269805,0
525,0.05,55,0.25,1.0,5,0.10727823696012188,42,35,310,303,7,0.43839734013787207,0.62,0.606,0.5136187338680838,0.034235007,0.000306087,0
510,0.05,55,0.25,0.4375,5,0.10727823696012188,42,35,310,303,7,0.43839734013787207,0.62,0.606,0.5136187338680838,0.032988617,0.000275767,0
505,0.05,55,0.25,0.25,5,0.10727823696012188,42,35,310,303,7,0.43839734013787207,0.62,0.606,0.5136187338680838,0.034131039,0.000287127,0
524,0.05,55,0.25,1.0,4,0.10727823696012188,42,35,310,303,7,0.43839734013787207,0.62,0.606,0.5136187338680838,0.034543628,0.000528508,0
520,0.05,55,0.25,0.8125,5,0.10727823696012188,42,35,310,303,7,0.43839734013787207,0.62,0.606,0.5136187338680838,0.034586319,0.000281579,0
519,0.05,55,0.25,0.8125,4,0.10727823696012188,42,35,310,303,7,0.43839734013787207,0.62,0.606,0.5136187338680838,0.03524202,0.000305405,0
