experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3082,0.5,55,0.8125,0.4375,2,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.111964596,0.001079293,0
3081,0.5,55,0.8125,0.4375,1,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.099782051,0.001057694,0
3080,0.5,55,0.8125,0.25,5,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.096420675,0.00105213,0
3079,0.5,55,0.8125,0.25,4,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.095094727,0.001077198,0
3078,0.5,55,0.8125,0.25,3,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.097201564,0.001095591,0
3109,0.5,55,1.0,0.4375,4,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.118123609,0.001036869,0
3108,0.5,55,1.0,0.4375,3,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.120076066,0.00107443,0
3107,0.5,55,1.0,0.4375,2,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.123068647,0.001050283,0
3106,0.5,55,1.0,0.4375,1,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.123445553,0.001057623,0
3105,0.5,55,1.0,0.25,5,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.121479004,0.001087504,0
3104,0.5,55,1.0,0.25,4,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.118015786,0.001074959,0
3103,0.5,55,1.0,0.25,3,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.11810771,0.001042411,0
3102,0.5,55,1.0,0.25,2,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.11944809,0.002072509,0
3101,0.5,55,1.0,0.25,1,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.119415907,0.001071123,0
3100,0.5,55,0.8125,1.0,5,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.09646325300000001,0.001055923,0
3099,0.5,55,0.8125,1.0,4,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.094575101,0.001075634,0
3098,0.5,55,0.8125,1.0,3,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.095621114,0.001097901,0
3097,0.5,55,0.8125,1.0,2,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.095600715,0.001042565,0
3096,0.5,55,0.8125,1.0,1,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.097318162,0.001092826,0
3095,0.5,55,0.8125,0.8125,5,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.09708759400000001,0.001047784,0
3094,0.5,55,0.8125,0.8125,4,0.4284015282554263,43,1,500,500,0,1.0,1.0,1.0,1.0,0.097132889,0.001110735,0
1909,0.3875,15,0.4375,0.4375,4,0.32780390170042945,117,1,500,500,0,1.0,1.0,1.0,1.0,0.163294615,0.000903226,0
1908,0.3875,15,0.4375,0.4375,3,0.32780390170042945,117,1,500,500,0,1.0,1.0,1.0,1.0,0.162494601,0.000895611,0
1907,0.3875,15,0.4375,0.4375,2,0.32780390170042945,117,1,500,500,0,1.0,1.0,1.0,1.0,0.162309856,0.000935135,0
1906,0.3875,15,0.4375,0.4375,1,0.32780390170042945,117,1,500,500,0,1.0,1.0,1.0,1.0,0.162455554,0.0008983799999999998,0
1905,0.3875,15,0.4375,0.25,5,0.32780390170042945,117,1,500,500,0,1.0,1.0,1.0,1.0,0.167295677,0.000985122,0
1904,0.3875,15,0.4375,0.25,4,0.32780390170042945,117,1,500,500,0,1.0,1.0,1.0,1.0,0.167657938,0.0009334800000000002,0
1903,0.3875,15,0.4375,0.25,3,0.32780390170042945,117,1,500,500,0,1.0,1.0,1.0,1.0,0.161396856,0.000904492,0
1902,0.3875,15,0.4375,0.25,2,0.32780390170042945,117,1,500,500,0,1.0,1.0,1.0,1.0,0.162407721,0.001060688,0
1901,0.3875,15,0.4375,0.25,1,0.32780390170042945,117,1,500,500,0,1.0,1.0,1.0,1.0,0.165853213,0.000888584,0
