experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  1.0589588638997575E-01,117,56,418,418,0,  3.2145499431516222E-01,  8.3599999999999997E-01,  8.3599999999999997E-01,  4.6435736433360048E-01,  9.0104086999999999E-02,  4.1051199999999998E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  1.0589588638997575E-01,117,63,425,418,7,  2.9690951008345584E-01,  8.4999999999999998E-01,  8.3599999999999997E-01,  4.4009240720756304E-01,  8.5296425999999995E-02,  4.1679500000000002E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  1.0589588638997575E-01,117,64,427,418,9,  2.9429754326480012E-01,  8.5399999999999998E-01,  8.3599999999999997E-01,  4.3774386424892314E-01,  8.5869866000000003E-02,  4.3077600000000001E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  1.0589588638997575E-01,117,67,436,418,18,  2.8719266994284026E-01,  8.7200000000000000E-01,  8.3599999999999997E-01,  4.3208004102114533E-01,  8.7171601000000001E-02,  6.8404800000000003E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  1.0589588638997575E-01,117,70,448,418,30,  2.7678770400221825E-01,  8.9600000000000002E-01,  8.3599999999999997E-01,  4.2292698318658101E-01,  9.5590432000000003E-02,  4.6934500000000003E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  1.0589588638997575E-01,117,56,418,418,0,  3.2145499431516222E-01,  8.3599999999999997E-01,  8.3599999999999997E-01,  4.6435736433360048E-01,  8.6200730000000003E-02,  4.0687699999999999E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  1.0589588638997575E-01,117,63,425,418,7,  2.9690951008345584E-01,  8.4999999999999998E-01,  8.3599999999999997E-01,  4.4009240720756304E-01,  8.8411508999999999E-02,  4.3890900000000002E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  1.0589588638997575E-01,117,64,427,418,9,  2.9429754326480012E-01,  8.5399999999999998E-01,  8.3599999999999997E-01,  4.3774386424892314E-01,  8.8931740999999995E-02,  4.3166500000000002E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  1.0589588638997575E-01,117,67,436,418,18,  2.8719266994284026E-01,  8.7200000000000000E-01,  8.3599999999999997E-01,  4.3208004102114533E-01,  8.8175697999999997E-02,  4.2901400000000002E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  1.0589588638997575E-01,117,70,448,418,30,  2.7678770400221825E-01,  8.9600000000000002E-01,  8.3599999999999997E-01,  4.2292698318658101E-01,  8.6635576000000006E-02,  4.4185500000000000E-04,0
11,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,1,  1.0589588638997575E-01,117,56,418,418,0,  3.2145499431516222E-01,  8.3599999999999997E-01,  8.3599999999999997E-01,  4.6435736433360048E-01,  8.5514582000000006E-02,  4.1814000000000000E-04,0
12,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,2,  1.0589588638997575E-01,117,63,425,418,7,  2.9690951008345584E-01,  8.4999999999999998E-01,  8.3599999999999997E-01,  4.4009240720756304E-01,  8.8680876000000006E-02,  4.1763599999999998E-04,0
13,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,3,  1.0589588638997575E-01,117,64,427,418,9,  2.9429754326480012E-01,  8.5399999999999998E-01,  8.3599999999999997E-01,  4.3774386424892314E-01,  8.6104803999999993E-02,  4.2701000000000002E-04,0
14,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,4,  1.0589588638997575E-01,117,67,436,418,18,  2.8719266994284026E-01,  8.7200000000000000E-01,  8.3599999999999997E-01,  4.3208004102114533E-01,  1.0602814200000001E-01,  4.7550000000000001E-04,0
15,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,5,  1.0589588638997575E-01,117,70,448,418,30,  2.7678770400221825E-01,  8.9600000000000002E-01,  8.3599999999999997E-01,  4.2292698318658101E-01,  9.0582706999999998E-02,  4.7346900000000002E-04,0
16,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,1,  1.0589588638997575E-01,117,56,418,418,0,  3.2145499431516222E-01,  8.3599999999999997E-01,  8.3599999999999997E-01,  4.6435736433360048E-01,  8.5768178000000000E-02,  4.0569700000000000E-04,0
17,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,2,  1.0589588638997575E-01,117,63,425,418,7,  2.9690951008345584E-01,  8.4999999999999998E-01,  8.3599999999999997E-01,  4.4009240720756304E-01,  8.8306313999999997E-02,  4.6612599999999998E-04,0
18,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,3,  1.0589588638997575E-01,117,64,427,418,9,  2.9429754326480012E-01,  8.5399999999999998E-01,  8.3599999999999997E-01,  4.3774386424892314E-01,  8.7701079000000001E-02,  4.3302199999999998E-04,0
19,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,4,  1.0589588638997575E-01,117,67,436,418,18,  2.8719266994284026E-01,  8.7200000000000000E-01,  8.3599999999999997E-01,  4.3208004102114533E-01,  8.5924098000000004E-02,  4.2459799999999999E-04,0
20,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,5,  1.0589588638997575E-01,117,70,448,418,30,  2.7678770400221825E-01,  8.9600000000000002E-01,  8.3599999999999997E-01,  4.2292698318658101E-01,  8.6163295000000001E-02,  4.8679700000000002E-04,0
21,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  1.0000000000000000E+00,1,  1.0589588638997575E-01,117,56,418,418,0,  3.2145499431516222E-01,  8.3599999999999997E-01,  8.3599999999999997E-01,  4.6435736433360048E-01,  8.6070387999999998E-02,  4.1033299999999998E-04,0
