experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  1.3592322213827979E-01,115,33,446,446,0,  5.4764046800188138E-01,  8.9200000000000002E-01,  8.9200000000000002E-01,  6.7863512913842283E-01,  1.2374290400000000E-01,  5.4363299999999996E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  1.3592322213827979E-01,115,38,451,446,5,  4.8506248588767481E-01,  9.0200000000000002E-01,  8.9200000000000002E-01,  6.3086755891992863E-01,  1.2128159400000001E-01,  4.1325100000000000E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  1.3592322213827979E-01,115,45,465,446,19,  4.0116379785687367E-01,  9.3000000000000005E-01,  8.9200000000000002E-01,  5.6053557437115076E-01,  1.2182585100000000E-01,  4.6114000000000002E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  1.3592322213827979E-01,115,48,474,446,28,  3.7764244691587678E-01,  9.4799999999999995E-01,  8.9200000000000002E-01,  5.4012307845023255E-01,  1.2733544899999999E-01,  5.1251300000000003E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  1.3592322213827979E-01,115,49,478,446,32,  3.7690061345529208E-01,  9.5599999999999996E-01,  8.9200000000000002E-01,  5.4065094250231571E-01,  1.2112056500000000E-01,  4.3991000000000001E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  1.3592322213827979E-01,115,33,446,446,0,  5.4764046800188138E-01,  8.9200000000000002E-01,  8.9200000000000002E-01,  6.7863512913842283E-01,  1.1960924100000001E-01,  4.4630000000000001E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  1.3592322213827979E-01,115,38,451,446,5,  4.8506248588767481E-01,  9.0200000000000002E-01,  8.9200000000000002E-01,  6.3086755891992863E-01,  1.2882618600000001E-01,  4.4098199999999997E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  1.3592322213827979E-01,115,45,465,446,19,  4.0116379785687367E-01,  9.3000000000000005E-01,  8.9200000000000002E-01,  5.6053557437115076E-01,  1.2339165900000000E-01,  4.4884599999999998E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  1.3592322213827979E-01,115,48,474,446,28,  3.7764244691587678E-01,  9.4799999999999995E-01,  8.9200000000000002E-01,  5.4012307845023255E-01,  1.1979569499999999E-01,  4.7391300000000001E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  1.3592322213827979E-01,115,49,478,446,32,  3.7690061345529208E-01,  9.5599999999999996E-01,  8.9200000000000002E-01,  5.4065094250231571E-01,  1.2201452400000000E-01,  4.4966800000000002E-04,0
