parameter,value,best_count,worst_count
mean_dist_quant,0.05,28,0
mean_dist_quant,0.1625,2,20
mean_dist_quant,0.275,0,0
mean_dist_quant,0.3875,0,0
mean_dist_quant,0.5,0,10
k_seeding,15.0,16,0
k_seeding,25.0,14,0
k_seeding,35.0,0,0
k_seeding,45.0,0,10
k_seeding,55.0,0,20
alpha_mad,0.25,0,30
alpha_mad,0.4375,0,0
alpha_mad,0.625,0,0
alpha_mad,0.8125,0,0
alpha_mad,1.0,30,0
alpha_accept,0.25,0,6
alpha_accept,0.4375,7,6
alpha_accept,0.625,7,6
alpha_accept,0.8125,8,6
alpha_accept,1.0,8,6
min_intersection,1.0,9,0
min_intersection,2.0,8,5
min_intersection,3.0,8,5
min_intersection,4.0,4,10
min_intersection,5.0,1,10
