experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1968,0.3875,15,0.8125,0.8125,3,0.39150187601319775,102,1,500,500,0,1.0,1.0,1.0,1.0,0.144814855,0.000677171,0
1967,0.3875,15,0.8125,0.8125,2,0.39150187601319775,102,1,500,500,0,1.0,1.0,1.0,1.0,0.145842752,0.000679839,0
1966,0.3875,15,0.8125,0.8125,1,0.39150187601319775,102,1,500,500,0,1.0,1.0,1.0,1.0,0.145619876,0.0007229409999999998,0
1372,0.275,15,1.0,1.0,2,0.2941578393951226,106,1,500,500,0,1.0,1.0,1.0,1.0,0.183188428,0.000692747,0
1371,0.275,15,1.0,1.0,1,0.2941578393951226,106,1,500,500,0,1.0,1.0,1.0,1.0,0.180356338,0.000692565,0
1367,0.275,15,1.0,0.8125,2,0.2941578393951226,106,1,500,500,0,1.0,1.0,1.0,1.0,0.166973277,0.000754756,0
1366,0.275,15,1.0,0.8125,1,0.2941578393951226,106,1,500,500,0,1.0,1.0,1.0,1.0,0.168260833,0.000668591,0
1362,0.275,15,1.0,0.625,2,0.2941578393951226,106,1,500,500,0,1.0,1.0,1.0,1.0,0.168785396,0.000603361,0
1361,0.275,15,1.0,0.625,1,0.2941578393951226,106,1,500,500,0,1.0,1.0,1.0,1.0,0.169324272,0.000594835,0
1357,0.275,15,1.0,0.4375,2,0.2941578393951226,106,1,500,500,0,1.0,1.0,1.0,1.0,0.175155442,0.000638073,0
1356,0.275,15,1.0,0.4375,1,0.2941578393951226,106,1,500,500,0,1.0,1.0,1.0,1.0,0.168779005,0.00063702,0
1352,0.275,15,1.0,0.25,2,0.2941578393951226,106,1,500,500,0,1.0,1.0,1.0,1.0,0.168287767,0.000678272,0
1351,0.275,15,1.0,0.25,1,0.2941578393951226,106,1,500,500,0,1.0,1.0,1.0,1.0,0.167453272,0.000574675,0
1957,0.3875,15,0.8125,0.4375,2,0.39150187601319775,102,1,500,500,0,1.0,1.0,1.0,1.0,0.146236029,0.000706899,0
2865,0.5,35,1.0,0.625,5,0.5027718466457333,56,1,500,500,0,1.0,1.0,1.0,1.0,0.079791226,0.000796191,0
2864,0.5,35,1.0,0.625,4,0.5027718466457333,56,1,500,500,0,1.0,1.0,1.0,1.0,0.079244121,0.000772374,0
2863,0.5,35,1.0,0.625,3,0.5027718466457333,56,1,500,500,0,1.0,1.0,1.0,1.0,0.079861867,0.000877109,0
2862,0.5,35,1.0,0.625,2,0.5027718466457333,56,1,500,500,0,1.0,1.0,1.0,1.0,0.07984390299999998,0.000791881,0
2861,0.5,35,1.0,0.625,1,0.5027718466457333,56,1,500,500,0,1.0,1.0,1.0,1.0,0.08075497099999998,0.000885868,0
2860,0.5,35,1.0,0.4375,5,0.5027718466457333,56,1,500,500,0,1.0,1.0,1.0,1.0,0.080941497,0.000781978,0
2826,0.5,35,0.8125,0.25,1,0.5027718466457333,56,1,500,500,0,1.0,1.0,1.0,1.0,0.073183464,0.000766177,0
2853,0.5,35,1.0,0.25,3,0.5027718466457333,56,1,500,500,0,1.0,1.0,1.0,1.0,0.080442263,0.000762409,0
2852,0.5,35,1.0,0.25,2,0.5027718466457333,56,1,500,500,0,1.0,1.0,1.0,1.0,0.08023973099999998,0.00079937,0
2851,0.5,35,1.0,0.25,1,0.5027718466457333,56,1,500,500,0,1.0,1.0,1.0,1.0,0.081793316,0.0007814929999999999,0
2846,0.5,35,0.8125,1.0,1,0.5027718466457333,56,1,500,500,0,1.0,1.0,1.0,1.0,0.078547898,0.0007751369999999999,0
2750,0.5,25,1.0,1.0,5,0.5027718466457333,72,1,500,500,0,1.0,1.0,1.0,1.0,0.100823297,0.0007500989999999998,0
2749,0.5,25,1.0,1.0,4,0.5027718466457333,72,1,500,500,0,1.0,1.0,1.0,1.0,0.098997228,0.000805549,0
2748,0.5,25,1.0,1.0,3,0.5027718466457333,72,1,500,500,0,1.0,1.0,1.0,1.0,0.099318241,0.000759229,0
2747,0.5,25,1.0,1.0,2,0.5027718466457333,72,1,500,500,0,1.0,1.0,1.0,1.0,0.099282624,0.000782186,0
2746,0.5,25,1.0,1.0,1,0.5027718466457333,72,1,500,500,0,1.0,1.0,1.0,1.0,0.100762092,0.000833875,0
