parameter,value,best_count,worst_count
mean_dist_quant,0.05,0,0
mean_dist_quant,0.1625,0,0
mean_dist_quant,0.275,10,0
mean_dist_quant,0.3875,4,0
mean_dist_quant,0.5,16,30
k_seeding,15.0,14,15
k_seeding,25.0,5,10
k_seeding,35.0,11,5
k_seeding,45.0,0,0
k_seeding,55.0,0,0
alpha_mad,0.25,0,30
alpha_mad,0.4375,0,0
alpha_mad,0.625,0,0
alpha_mad,0.8125,6,0
alpha_mad,1.0,24,0
alpha_accept,0.25,6,5
alpha_accept,0.4375,4,5
alpha_accept,0.625,7,5
alpha_accept,0.8125,5,7
alpha_accept,1.0,8,8
min_intersection,1.0,11,1
min_intersection,2.0,10,1
min_intersection,3.0,4,7
min_intersection,4.0,2,11
min_intersection,5.0,3,10
