vector_index,x,y,is_seed,n_memberships,cluster_id
1, -1.0000000000000000E+00,  4.9211363135888742E-01,0,1,31
2, -9.9599198396793587E-01,  5.0466219810269441E-01,1,1,31
3, -9.9198396793587174E-01,  5.0131183952520053E-01,0,1,31
4, -9.8797595190380760E-01,  5.1205199464887607E-01,0,0,0
5, -9.8396793587174347E-01,  5.2157438023584424E-01,0,0,0
6, -9.7995991983967934E-01,  5.4543252834061251E-01,0,1,28
7, -9.7595190380761521E-01,  5.2508485682349926E-01,0,1,28
8, -9.7194388777555107E-01,  5.0260064028892892E-01,0,1,28
9, -9.6793587174348694E-01,  5.5990611798569312E-01,0,2,26
9, -9.6793587174348694E-01,  5.5990611798569312E-01,0,2,28
10, -9.6392785571142281E-01,  5.2314102771670579E-01,1,1,28
11, -9.5991983967935868E-01,  5.4147292771103528E-01,0,2,26
11, -9.5991983967935868E-01,  5.4147292771103528E-01,0,2,28
12, -9.5591182364729455E-01,  5.5432898354504445E-01,0,1,26
13, -9.5190380761523041E-01,  5.5212776589999524E-01,1,1,26
14, -9.4789579158316628E-01,  5.7274281618637046E-01,0,1,26
15, -9.4388777555110226E-01,  5.6314929691023086E-01,0,1,26
16, -9.3987975951903813E-01,  5.3903937079617692E-01,0,1,26
17, -9.3587174348697399E-01,  6.0251943310877831E-01,1,1,24
18, -9.3186372745490986E-01,  5.6550376528234203E-01,0,1,24
19, -9.2785571142284573E-01,  5.6132545817719770E-01,1,1,24
20, -9.2384769539078160E-01,  5.8619218023053488E-01,0,1,24
21, -9.1983967935871747E-01,  5.7453032506632462E-01,0,1,24
22, -9.1583166332665333E-01,  5.8013971354611227E-01,0,1,24
23, -9.1182364729458920E-01,  6.2459886708858270E-01,0,1,23
24, -9.0781563126252507E-01,  5.7183897547962192E-01,0,2,23
24, -9.0781563126252507E-01,  5.7183897547962192E-01,0,2,24
25, -9.0380761523046094E-01,  5.7355856907692915E-01,0,2,23
25, -9.0380761523046094E-01,  5.7355856907692915E-01,0,2,24
26, -8.9979959919839680E-01,  5.8480389345137263E-01,0,1,23
27, -8.9579158316633267E-01,  6.0644731974125599E-01,1,1,23
28, -8.9178356713426854E-01,  5.5741712889383732E-01,0,1,23
29, -8.8777555110220441E-01,  5.5075362072679235E-01,1,1,23
30, -8.8376753507014028E-01,  5.8082547358554559E-01,0,1,23
31, -8.7975951903807614E-01,  5.6237846327941132E-01,0,1,23
32, -8.7575150300601201E-01,  5.8903553447220247E-01,0,1,20
33, -8.7174348697394788E-01,  6.1004348312019563E-01,0,1,20
34, -8.6773547094188375E-01,  5.8462592265679292E-01,0,1,20
35, -8.6372745490981961E-01,  5.7633785704387996E-01,0,1,20
36, -8.5971943887775548E-01,  6.0868069417078452E-01,0,1,20
37, -8.5571142284569146E-01,  6.2695045328678611E-01,0,1,20
38, -8.5170340681362733E-01,  5.7819181518481966E-01,1,1,20
39, -8.4769539078156320E-01,  6.3087369818606986E-01,1,1,18
40, -8.4368737474949906E-01,  6.3317900545879569E-01,0,1,18
41, -8.3967935871743493E-01,  6.3826447927312668E-01,0,1,18
42, -8.3567134268537080E-01,  6.4588834261901962E-01,0,1,18
43, -8.3166332665330667E-01,  6.6788104449047292E-01,1,1,17
44, -8.2765531062124253E-01,  6.1902702139142718E-01,0,1,18
45, -8.2364729458917840E-01,  6.3063446189114880E-01,0,2,17
45, -8.2364729458917840E-01,  6.3063446189114880E-01,0,2,18
46, -8.1963927855711427E-01,  6.2239450473314517E-01,0,2,17
46, -8.1963927855711427E-01,  6.2239450473314517E-01,0,2,18
47, -8.1563126252505014E-01,  6.3302913295627738E-01,0,1,17
48, -8.1162324649298601E-01,  6.6589947050483778E-01,0,1,17
49, -8.0761523046092187E-01,  6.1058021156037312E-01,0,1,17
50, -8.0360721442885774E-01,  6.2248410273423926E-01,1,1,17
51, -7.9959919839679361E-01,  6.6945941423438504E-01,1,1,15
52, -7.9559118236472948E-01,  6.6451333736738905E-01,0,1,15
53, -7.9158316633266534E-01,  6.3903290713299277E-01,0,1,15
54, -7.8757515030060121E-01,  6.6555264346256737E-01,0,2,13
54, -7.8757515030060121E-01,  6.6555264346256737E-01,0,2,15
55, -7.8356713426853708E-01,  6.5744412429953214E-01,0,2,13
55, -7.8356713426853708E-01,  6.5744412429953214E-01,0,2,15
56, -7.7955911823647295E-01,  6.8276665507050005E-01,0,1,13
57, -7.7555110220440882E-01,  6.5637887310881626E-01,1,1,13
58, -7.7154308617234468E-01,  6.7751501689206461E-01,0,1,13
59, -7.6753507014028055E-01,  7.1194249404907395E-01,1,1,13
60, -7.6352705410821642E-01,  6.7315032146343412E-01,0,1,13
61, -7.5951903807615229E-01,  6.6424719960366141E-01,0,1,13
62, -7.5551102204408815E-01,  6.7976810406212129E-01,0,2,11
62, -7.5551102204408815E-01,  6.7976810406212129E-01,0,2,13
63, -7.5150300601202402E-01,  6.6005832078237858E-01,0,2,11
63, -7.5150300601202402E-01,  6.6005832078237858E-01,0,2,13
64, -7.4749498997995989E-01,  7.1715432716238947E-01,0,1,11
65, -7.4348697394789576E-01,  6.7501370704164521E-01,0,2,11
65, -7.4348697394789576E-01,  6.7501370704164521E-01,0,2,13
66, -7.3947895791583163E-01,  6.6795722847107397E-01,1,1,11
67, -7.3547094188376749E-01,  6.5869203653667041E-01,0,1,11
68, -7.3146292585170336E-01,  6.9932647381786817E-01,1,1,11
69, -7.2745490981963923E-01,  6.9668842217559401E-01,0,1,11
70, -7.2344689378757510E-01,  6.7134656058193454E-01,0,1,11
71, -7.1943887775551096E-01,  6.9475803930261715E-01,0,1,11
72, -7.1543086172344694E-01,  6.5497966842500166E-01,0,1,11
73, -7.1142284569138281E-01,  6.9075840693055302E-01,0,0,0
74, -7.0741482965931868E-01,  6.9800878415577383E-01,0,0,0
75, -7.0340681362725455E-01,  7.2498139136514406E-01,1,1,9
76, -6.9939879759519041E-01,  6.7728605640926087E-01,0,1,9
77, -6.9539078156312628E-01,  6.6898953978136577E-01,0,1,9
78, -6.9138276553106215E-01,  6.7848873951929567E-01,0,1,9
79, -6.8737474949899802E-01,  6.7149320598291173E-01,1,1,9
80, -6.8336673346693388E-01,  7.2677159614370634E-01,0,1,8
81, -6.7935871743486975E-01,  7.3281172899725444E-01,0,1,8
82, -6.7535070140280562E-01,  7.1003041570958580E-01,0,1,8
83, -6.7134268537074149E-01,  7.2982579736747333E-01,1,1,8
84, -6.6733466933867736E-01,  7.0983958038010342E-01,0,1,8
85, -6.6332665330661333E-01,  7.0700542135292588E-01,0,1,8
86, -6.5931863727454920E-01,  7.0398089834145550E-01,0,2,6
86, -6.5931863727454920E-01,  7.0398089834145550E-01,0,2,8
87, -6.5531062124248507E-01,  7.0615461027379189E-01,1,1,6
88, -6.5130260521042094E-01,  6.8311398982725824E-01,0,2,6
88, -6.5130260521042094E-01,  6.8311398982725824E-01,0,2,8
89, -6.4729458917835681E-01,  7.2104954747632966E-01,0,1,6
90, -6.4328657314629267E-01,  7.1663907498126944E-01,0,1,6
91, -6.3927855711422854E-01,  7.3402116810897466E-01,1,1,4
92, -6.3527054108216441E-01,  7.2263955357760690E-01,0,1,4
93, -6.3126252505010028E-01,  7.1915709971791264E-01,0,1,4
94, -6.2725450901803614E-01,  7.0661639419982691E-01,0,1,4
95, -6.2324649298597201E-01,  7.2709942277144279E-01,0,1,4
96, -6.1923847695390788E-01,  7.4202425965898755E-01,0,1,4
97, -6.1523046092184375E-01,  7.0598297793495279E-01,1,1,4
98, -6.1122244488977961E-01,  7.3217659352081510E-01,1,1,4
99, -6.0721442885771548E-01,  7.3665248874309186E-01,0,1,4
100, -6.0320641282565135E-01,  7.1918202879734106E-01,0,1,4
101, -5.9919839679358722E-01,  7.2332510984807774E-01,0,0,0
102, -5.9519038076152309E-01,  7.4122061464630917E-01,0,0,0
103, -5.9118236472945895E-01,  7.1545342309965776E-01,0,0,0
104, -5.8717434869739482E-01,  7.4662108174024966E-01,0,1,1
105, -5.8316633266533069E-01,  7.2320363648760333E-01,1,1,1
106, -5.7915831663326656E-01,  7.6384330154961833E-01,0,1,1
107, -5.7515030060120242E-01,  7.9080570843193720E-01,1,1,1
108, -5.7114228456913829E-01,  7.2828440058558586E-01,0,1,1
109, -5.6713426853707416E-01,  7.5762156961599592E-01,1,1,1
110, -5.6312625250501003E-01,  7.3382797829762669E-01,0,1,1
111, -5.5911823647294590E-01,  7.7059486802284394E-01,0,1,1
112, -5.5511022044088176E-01,  7.2587118470242062E-01,0,1,1
113, -5.5110220440881763E-01,  7.6217629284135802E-01,0,1,1
114, -5.4709418837675350E-01,  7.3648065603732793E-01,0,1,1
115, -5.4308617234468937E-01,  7.5116433085895506E-01,0,1,1
116, -5.3907815631262523E-01,  7.3603485079614350E-01,1,1,1
117, -5.3507014028056110E-01,  7.7444148276673808E-01,0,1,1
118, -5.3106212424849697E-01,  7.4258180386224215E-01,0,1,1
119, -5.2705410821643284E-01,  7.7167549160635618E-01,0,1,1
120, -5.2304609218436870E-01,  7.5505693664811757E-01,0,1,1
121, -5.1903807615230457E-01,  7.6094007349038495E-01,0,1,1
122, -5.1503006012024044E-01,  7.6746323342846667E-01,1,1,1
123, -5.1102204408817642E-01,  7.5053822468306863E-01,0,1,1
124, -5.0701402805611229E-01,  7.7123670965542024E-01,0,1,1
125, -5.0300601202404815E-01,  7.9887879242535809E-01,0,1,1
126, -4.9899799599198402E-01,  7.5394106180671527E-01,0,1,1
127, -4.9498997995991989E-01,  7.9415817763646246E-01,0,1,1
128, -4.9098196392785576E-01,  8.0189114385852278E-01,1,1,1
129, -4.8697394789579163E-01,  7.5680154537200217E-01,1,1,1
130, -4.8296593186372749E-01,  7.4520728299627537E-01,0,1,1
131, -4.7895791583166336E-01,  7.8151963751604658E-01,0,1,1
132, -4.7494989979959923E-01,  7.6569266647136491E-01,0,1,1
133, -4.7094188376753510E-01,  8.1516167028923914E-01,0,1,1
134, -4.6693386773547096E-01,  7.7962297585291040E-01,1,1,1
135, -4.6292585170340683E-01,  7.6400852478796200E-01,0,1,1
136, -4.5891783567134270E-01,  7.5822351802471810E-01,0,1,1
137, -4.5490981963927857E-01,  8.0406754873777531E-01,0,1,1
138, -4.5090180360721444E-01,  7.7193709601859994E-01,0,1,1
139, -4.4689378757515030E-01,  7.8531730067213623E-01,0,1,1
140, -4.4288577154308617E-01,  8.0462539058956928E-01,1,1,1
141, -4.3887775551102204E-01,  7.7688148002876867E-01,0,1,1
142, -4.3486973947895802E-01,  7.8669412076485490E-01,0,1,1
143, -4.3086172344689389E-01,  7.8831615677898303E-01,0,1,1
144, -4.2685370741482975E-01,  8.0333765862328699E-01,0,1,1
145, -4.2284569138276562E-01,  8.0249855265991532E-01,0,1,1
146, -4.1883767535070149E-01,  7.8728278130951257E-01,0,1,1
147, -4.1482965931863736E-01,  7.9394835779036443E-01,0,1,1
148, -4.1082164328657322E-01,  7.8621908572568677E-01,0,1,1
149, -4.0681362725450909E-01,  7.6507071402099469E-01,1,1,1
150, -4.0280561122244496E-01,  8.0073232025679719E-01,1,1,1
151, -3.9879759519038083E-01,  8.3437056185353053E-01,1,1,1
152, -3.9478957915831669E-01,  7.7978788764824325E-01,0,1,1
153, -3.9078156312625256E-01,  7.8292637798979081E-01,0,1,1
154, -3.8677354709418843E-01,  7.8188631383228790E-01,0,1,1
155, -3.8276553106212430E-01,  8.1469583461969408E-01,0,1,1
156, -3.7875751503006017E-01,  8.1006610779624177E-01,0,1,1
157, -3.7474949899799603E-01,  7.9880735145822790E-01,1,1,1
158, -3.7074148296593190E-01,  7.8448877447811849E-01,0,1,1
159, -3.6673346693386777E-01,  8.0555712247680245E-01,0,1,1
160, -3.6272545090180364E-01,  7.7326699210657002E-01,0,1,1
161, -3.5871743486973950E-01,  8.0826726744510913E-01,0,1,1
162, -3.5470941883767537E-01,  8.2365801491392376E-01,1,1,1
163, -3.5070140280561124E-01,  7.8202186116547623E-01,0,1,1
164, -3.4669338677354711E-01,  7.7720335648290939E-01,1,1,1
165, -3.4268537074148298E-01,  8.4023995497834958E-01,0,1,1
166, -3.3867735470941884E-01,  7.9720311185913317E-01,0,1,1
167, -3.3466933867735471E-01,  8.3293403661033649E-01,0,1,1
168, -3.3066132264529069E-01,  8.0790160389973431E-01,0,1,1
169, -3.2665330661322656E-01,  8.0849867554805799E-01,0,1,1
170, -3.2264529058116242E-01,  8.2125201219397692E-01,0,1,1
171, -3.1863727454909829E-01,  7.9553957323894653E-01,0,1,1
