experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
2721,0.5,25,0.8125,1.0,1,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.12212078,0.000902387,0
2717,0.5,25,0.8125,0.8125,2,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.123085998,0.00091733,0
2716,0.5,25,0.8125,0.8125,1,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.119701255,0.0008433209999999998,0
2712,0.5,25,0.8125,0.625,2,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.121875228,0.00088387,0
2711,0.5,25,0.8125,0.625,1,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.121787217,0.001052117,0
2741,0.5,25,1.0,0.8125,1,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.135027058,0.000933993,0
2740,0.5,25,1.0,0.625,5,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.135969645,0.000823939,0
2739,0.5,25,1.0,0.625,4,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.13784926,0.000867369,0
2738,0.5,25,1.0,0.625,3,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.140463578,0.0008866809999999998,0
2737,0.5,25,1.0,0.625,2,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.150006635,0.000900693,0
2736,0.5,25,1.0,0.625,1,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.151894828,0.000878837,0
2735,0.5,25,1.0,0.4375,5,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.135599923,0.0008076729999999999,0
2734,0.5,25,1.0,0.4375,4,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.13775928,0.000834821,0
2733,0.5,25,1.0,0.4375,3,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.135071815,0.0008530239999999999,0
2732,0.5,25,1.0,0.4375,2,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.141787345,0.000872554,0
2731,0.5,25,1.0,0.4375,1,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.137298764,0.000899897,0
2730,0.5,25,1.0,0.25,5,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.134369054,0.0008322149999999999,0
2729,0.5,25,1.0,0.25,4,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.137829006,0.00083454,0
2728,0.5,25,1.0,0.25,3,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.134310367,0.000912303,0
2727,0.5,25,1.0,0.25,2,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.135942681,0.0008098069999999998,0
2726,0.5,25,1.0,0.25,1,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.139694964,0.001052263,0
2750,0.5,25,1.0,1.0,5,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.143136991,0.000870654,0
2749,0.5,25,1.0,1.0,4,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.137464003,0.000838165,0
2748,0.5,25,1.0,1.0,3,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.137930596,0.000930401,0
2747,0.5,25,1.0,1.0,2,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.136530151,0.000904265,0
2746,0.5,25,1.0,1.0,1,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.137795646,0.0008459719999999998,0
2745,0.5,25,1.0,0.8125,5,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.135204917,0.0008426389999999998,0
2744,0.5,25,1.0,0.8125,4,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.136161114,0.000820726,0
2743,0.5,25,1.0,0.8125,3,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.142512984,0.000868851,0
2742,0.5,25,1.0,0.8125,2,0.5061682497186892,80,1,500,500,0,1.0,1.0,1.0,1.0,0.137566812,0.001034871,0
