experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  1.2391879165158358E-01,111,43,399,399,0,  2.7917328453996099E-01,  7.9800000000000004E-01,  7.9800000000000004E-01,  4.1363870467328540E-01,  1.2982219100000000E-01,  4.8337599999999999E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  1.2391879165158358E-01,111,49,405,399,6,  2.3068678375768523E-01,  8.1000000000000005E-01,  7.9800000000000004E-01,  3.5910188879122518E-01,  1.2708903699999999E-01,  4.7361799999999998E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  1.2391879165158358E-01,111,50,407,399,8,  2.2726412546203570E-01,  8.1399999999999995E-01,  7.9800000000000004E-01,  3.5532386759989626E-01,  1.2809289800000001E-01,  4.7514699999999998E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  1.2391879165158358E-01,111,53,416,399,17,  2.1853072250193509E-01,  8.3199999999999996E-01,  7.9800000000000004E-01,  3.4614420545187830E-01,  1.3096492900000001E-01,  4.8221400000000002E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  1.2391879165158358E-01,111,56,428,399,29,  2.0835158303305862E-01,  8.5599999999999998E-01,  7.9800000000000004E-01,  3.3513165746991458E-01,  1.2782780199999999E-01,  5.2200800000000002E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  1.2391879165158358E-01,111,43,399,399,0,  2.7917328453996099E-01,  7.9800000000000004E-01,  7.9800000000000004E-01,  4.1363870467328540E-01,  1.3034492100000000E-01,  5.0665400000000005E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  1.2391879165158358E-01,111,49,405,399,6,  2.3068678375768523E-01,  8.1000000000000005E-01,  7.9800000000000004E-01,  3.5910188879122518E-01,  1.2934716600000001E-01,  5.3030400000000000E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  1.2391879165158358E-01,111,50,407,399,8,  2.2726412546203570E-01,  8.1399999999999995E-01,  7.9800000000000004E-01,  3.5532386759989626E-01,  1.2785775099999999E-01,  6.4195900000000000E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  1.2391879165158358E-01,111,53,416,399,17,  2.1853072250193509E-01,  8.3199999999999996E-01,  7.9800000000000004E-01,  3.4614420545187830E-01,  1.2862087699999999E-01,  5.3264899999999995E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  1.2391879165158358E-01,111,56,428,399,29,  2.0835158303305862E-01,  8.5599999999999998E-01,  7.9800000000000004E-01,  3.3513165746991458E-01,  1.2950269000000000E-01,  4.9430100000000005E-04,0
11,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,1,  1.2391879165158358E-01,111,43,399,399,0,  2.7917328453996099E-01,  7.9800000000000004E-01,  7.9800000000000004E-01,  4.1363870467328540E-01,  1.2706103199999999E-01,  5.0421299999999999E-04,0
12,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,2,  1.2391879165158358E-01,111,49,405,399,6,  2.3068678375768523E-01,  8.1000000000000005E-01,  7.9800000000000004E-01,  3.5910188879122518E-01,  1.2891255700000001E-01,  4.9366799999999995E-04,0
13,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,3,  1.2391879165158358E-01,111,50,407,399,8,  2.2726412546203570E-01,  8.1399999999999995E-01,  7.9800000000000004E-01,  3.5532386759989626E-01,  1.2861680500000000E-01,  4.7628699999999999E-04,0
14,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,4,  1.2391879165158358E-01,111,53,416,399,17,  2.1853072250193509E-01,  8.3199999999999996E-01,  7.9800000000000004E-01,  3.4614420545187830E-01,  1.2982000199999999E-01,  5.2337700000000000E-04,0
15,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,5,  1.2391879165158358E-01,111,56,428,399,29,  2.0835158303305862E-01,  8.5599999999999998E-01,  7.9800000000000004E-01,  3.3513165746991458E-01,  1.3010411199999999E-01,  5.3318699999999996E-04,0
16,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,1,  1.2391879165158358E-01,111,43,399,399,0,  2.7917328453996099E-01,  7.9800000000000004E-01,  7.9800000000000004E-01,  4.1363870467328540E-01,  1.2824827000000000E-01,  4.7051400000000000E-04,0
