vector_index,x,y,is_seed,n_memberships,cluster_id
1, -1.0000000000000000E+00,  6.1257716429005016E-01,0,1,24
2, -9.9599198396793587E-01,  4.2046797453897944E-01,0,1,26
3, -9.9198396793587174E-01,  5.5523938647036586E-01,0,1,24
4, -9.8797595190380760E-01,  4.1340978083454449E-01,1,1,26
5, -9.8396793587174347E-01,  6.1108748823083614E-01,0,1,24
6, -9.7995991983967934E-01,  5.0804579736509192E-01,0,1,24
7, -9.7595190380761521E-01,  6.3299469644941087E-01,0,1,22
8, -9.7194388777555107E-01,  5.7362617493276302E-01,0,0,0
9, -9.6793587174348694E-01,  4.3924714265083548E-01,0,0,0
10, -9.6392785571142281E-01,  6.5385304895518603E-01,1,1,22
11, -9.5991983967935868E-01,  6.6674695756734625E-01,0,1,22
12, -9.5591182364729455E-01,  6.1598117281416753E-01,0,1,22
13, -9.5190380761523041E-01,  4.8720852832904193E-01,1,1,24
14, -9.4789579158316628E-01,  5.2637810888734826E-01,0,0,0
15, -9.4388777555110226E-01,  5.6520341143483643E-01,1,1,22
16, -9.3987975951903813E-01,  4.9996873044360435E-01,0,1,24
17, -9.3587174348697399E-01,  6.9433591542600148E-01,0,1,19
18, -9.3186372745490986E-01,  5.7316321375366031E-01,0,1,22
19, -9.2785571142284573E-01,  3.4800441894103928E-01,0,1,26
20, -9.2384769539078160E-01,  5.9406213678992104E-01,0,1,19
21, -9.1983967935871747E-01,  5.4168871440233812E-01,0,1,22
22, -9.1583166332665333E-01,  5.6616102519784994E-01,0,2,19
22, -9.1583166332665333E-01,  5.6616102519784994E-01,0,2,22
23, -9.1182364729458920E-01,  5.4526563785371296E-01,0,1,22
24, -9.0781563126252507E-01,  6.4190511737325784E-01,0,1,19
25, -9.0380761523046094E-01,  6.6948880924154752E-01,0,1,19
26, -8.9979959919839680E-01,  6.0511657619181558E-01,1,1,19
27, -8.9579158316633267E-01,  5.5787210605858240E-01,1,1,19
28, -8.9178356713426854E-01,  5.8424083311291164E-01,0,1,19
29, -8.8777555110220441E-01,  5.9163270788253275E-01,0,1,19
30, -8.8376753507014028E-01,  5.2837337580876165E-01,0,1,19
31, -8.7975951903807614E-01,  6.4137121434629585E-01,0,1,19
32, -8.7575150300601201E-01,  6.3433554733155251E-01,0,1,19
