experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1894,0.3875,15,0.25,0.8125,4,0.4037044047798487,112,29,494,478,16,0.11797115024943684,0.9880000000000002,0.956,0.21077493101001063,0.099836381,0.000889097,0
1895,0.3875,15,0.25,0.8125,5,0.4037044047798487,112,29,494,478,16,0.11797115024943684,0.9880000000000002,0.956,0.21077493101001063,0.097327601,0.000820365,0
1899,0.3875,15,0.25,1.0,4,0.4037044047798487,112,29,494,478,16,0.11797115024943684,0.9880000000000002,0.956,0.21077493101001063,0.097927289,0.00079424,0
1900,0.3875,15,0.25,1.0,5,0.4037044047798487,112,29,494,478,16,0.11797115024943684,0.9880000000000002,0.956,0.21077493101001063,0.099181346,0.001032866,0
1889,0.3875,15,0.25,0.625,4,0.4037044047798487,112,29,494,478,16,0.11797115024943684,0.9880000000000002,0.956,0.21077493101001063,0.099237314,0.0008009939999999999,0
1890,0.3875,15,0.25,0.625,5,0.4037044047798487,112,29,494,478,16,0.11797115024943684,0.9880000000000002,0.956,0.21077493101001063,0.099134551,0.0007776019999999999,0
1879,0.3875,15,0.25,0.25,4,0.4037044047798487,112,29,494,478,16,0.11797115024943684,0.9880000000000002,0.956,0.21077493101001063,0.098040258,0.000818135,0
1885,0.3875,15,0.25,0.4375,5,0.4037044047798487,112,29,494,478,16,0.11797115024943684,0.9880000000000002,0.956,0.21077493101001063,0.100058773,0.000792376,0
1880,0.3875,15,0.25,0.25,5,0.4037044047798487,112,29,494,478,16,0.11797115024943684,0.9880000000000002,0.956,0.21077493101001063,0.099546756,0.000804241,0
1884,0.3875,15,0.25,0.4375,4,0.4037044047798487,112,29,494,478,16,0.11797115024943684,0.9880000000000002,0.956,0.21077493101001063,0.098177025,0.00081684,0
2505,0.5,15,0.25,0.25,5,0.5061682497186892,113,26,535,493,42,0.1192363106011936,1.07,0.9860000000000002,0.21456265875161565,0.117508714,0.000881081,0
2510,0.5,15,0.25,0.4375,5,0.5061682497186892,113,26,535,493,42,0.1192363106011936,1.07,0.9860000000000002,0.21456265875161565,0.114979699,0.000898985,0
2520,0.5,15,0.25,0.8125,5,0.5061682497186892,113,26,535,493,42,0.1192363106011936,1.07,0.9860000000000002,0.21456265875161565,0.117805545,0.000925959,0
2525,0.5,15,0.25,1.0,5,0.5061682497186892,113,26,535,493,42,0.1192363106011936,1.07,0.9860000000000002,0.21456265875161565,0.115511576,0.000943232,0
2515,0.5,15,0.25,0.625,5,0.5061682497186892,113,26,535,493,42,0.1192363106011936,1.07,0.9860000000000002,0.21456265875161565,0.115833696,0.000908893,0
2890,0.5,45,0.25,0.625,5,0.5061682497186892,52,19,450,435,15,0.12525353417779306,0.9,0.87,0.21990303276626433,0.051402724,0.000805881,0
2880,0.5,45,0.25,0.25,5,0.5061682497186892,52,19,450,435,15,0.12525353417779306,0.9,0.87,0.21990303276626433,0.06376575,0.000820135,0
2900,0.5,45,0.25,1.0,5,0.5061682497186892,52,19,450,435,15,0.12525353417779306,0.9,0.87,0.21990303276626433,0.053759364,0.000851706,0
2885,0.5,45,0.25,0.4375,5,0.5061682497186892,52,19,450,435,15,0.12525353417779306,0.9,0.87,0.21990303276626433,0.052896707,0.00078761,0
2895,0.5,45,0.25,0.8125,5,0.5061682497186892,52,19,450,435,15,0.12525353417779306,0.9,0.87,0.21990303276626433,0.053201654,0.0007944519999999999,0
1893,0.3875,15,0.25,0.8125,3,0.4037044047798487,112,26,485,478,7,0.1273039008721433,0.97,0.956,0.2250694338147028,0.09877988,0.0007905399999999998,0
1878,0.3875,15,0.25,0.25,3,0.4037044047798487,112,26,485,478,7,0.1273039008721433,0.97,0.956,0.2250694338147028,0.100736205,0.0008109979999999998,0
1883,0.3875,15,0.25,0.4375,3,0.4037044047798487,112,26,485,478,7,0.1273039008721433,0.97,0.956,0.2250694338147028,0.09813707,0.00082179,0
1888,0.3875,15,0.25,0.625,3,0.4037044047798487,112,26,485,478,7,0.1273039008721433,0.97,0.956,0.2250694338147028,0.096665121,0.000782025,0
1898,0.3875,15,0.25,1.0,3,0.4037044047798487,112,26,485,478,7,0.1273039008721433,0.97,0.956,0.2250694338147028,0.098721178,0.000763379,0
2630,0.5,25,0.25,0.25,5,0.5061682497186892,80,23,505,481,24,0.1280700204607003,1.01,0.962,0.2273159266825165,0.080978531,0.000873601,0
2645,0.5,25,0.25,0.8125,5,0.5061682497186892,80,23,505,481,24,0.1280700204607003,1.01,0.962,0.2273159266825165,0.084341622,0.001027431,0
2635,0.5,25,0.25,0.4375,5,0.5061682497186892,80,23,505,481,24,0.1280700204607003,1.01,0.962,0.2273159266825165,0.07782976299999998,0.0008951029999999998,0
2650,0.5,25,0.25,1.0,5,0.5061682497186892,80,23,505,481,24,0.1280700204607003,1.01,0.962,0.2273159266825165,0.083815874,0.000904555,0
2640,0.5,25,0.25,0.625,5,0.5061682497186892,80,23,505,481,24,0.1280700204607003,1.01,0.962,0.2273159266825165,0.092523969,0.001420154,0
