experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3088,0.5,55,0.8125,0.625,3,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.049382345,0.000778155,0
3087,0.5,55,0.8125,0.625,2,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.048932034,0.0007739249999999999,0
3086,0.5,55,0.8125,0.625,1,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.05121489,0.000801879,0
3085,0.5,55,0.8125,0.4375,5,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.048388053,0.000818829,0
3084,0.5,55,0.8125,0.4375,4,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.04800498,0.000762277,0
3083,0.5,55,0.8125,0.4375,3,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.04968951,0.0007667489999999998,0
3082,0.5,55,0.8125,0.4375,2,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.048782892,0.0007732219999999998,0
3081,0.5,55,0.8125,0.4375,1,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.048090168,0.0007722449999999999,0
3080,0.5,55,0.8125,0.25,5,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.048567874,0.000797655,0
3079,0.5,55,0.8125,0.25,4,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.048969568,0.000767022,0
3078,0.5,55,0.8125,0.25,3,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.047910053,0.000770989,0
3109,0.5,55,1.0,0.4375,4,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.05211575,0.000753993,0
3108,0.5,55,1.0,0.4375,3,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.053128124,0.000878504,0
3107,0.5,55,1.0,0.4375,2,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.051115763,0.000790062,0
3106,0.5,55,1.0,0.4375,1,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.052189499,0.000821422,0
3105,0.5,55,1.0,0.25,5,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.053145492,0.000775911,0
3104,0.5,55,1.0,0.25,4,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.053087518,0.000794784,0
3103,0.5,55,1.0,0.25,3,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.05152855,0.000817164,0
3102,0.5,55,1.0,0.25,2,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.052274073,0.000795253,0
3101,0.5,55,1.0,0.25,1,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.05250765,0.0008207769999999999,0
3100,0.5,55,0.8125,1.0,5,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.050930505,0.000827395,0
3099,0.5,55,0.8125,1.0,4,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.049059065,0.0008051599999999999,0
3098,0.5,55,0.8125,1.0,3,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.050267818,0.0007576669999999998,0
3097,0.5,55,0.8125,1.0,2,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.049328736,0.000815691,0
3096,0.5,55,0.8125,1.0,1,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.048903297,0.000807373,0
3095,0.5,55,0.8125,0.8125,5,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.048931005,0.000802262,0
3094,0.5,55,0.8125,0.8125,4,1.205952295544878,38,1,500,500,0,1.0,1.0,1.0,1.0,0.048845921,0.0008036299999999998,0
53,0.05,15,0.625,0.25,3,0.35610011227880306,100,1,500,500,0,1.0,1.0,1.0,1.0,0.141461851,0.000550477,0
52,0.05,15,0.625,0.25,2,0.35610011227880306,100,1,500,500,0,1.0,1.0,1.0,1.0,0.142276382,0.000475786,0
51,0.05,15,0.625,0.25,1,0.35610011227880306,100,1,500,500,0,1.0,1.0,1.0,1.0,0.14971863,0.000482119,0
