experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3101,0.5,55,1.0,0.25,1,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.040687374,0.00070296,0
3100,0.5,55,0.8125,1.0,5,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.036831268,0.000720293,0
3099,0.5,55,0.8125,1.0,4,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.036497395,0.000696848,0
3098,0.5,55,0.8125,1.0,3,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.035891722,0.000690188,0
3097,0.5,55,0.8125,1.0,2,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.035782798,0.000694418,0
3096,0.5,55,0.8125,1.0,1,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.035835885,0.000702379,0
3095,0.5,55,0.8125,0.8125,5,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.036394453,0.000700401,0
3094,0.5,55,0.8125,0.8125,4,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.035876904,0.000675033,0
3093,0.5,55,0.8125,0.8125,3,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.035475748,0.000673695,0
3092,0.5,55,0.8125,0.8125,2,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.038027378,0.00067534,0
3091,0.5,55,0.8125,0.8125,1,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.035926536,0.000694058,0
3090,0.5,55,0.8125,0.625,5,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.037070737,0.000701192,0
3089,0.5,55,0.8125,0.625,4,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.036212427,0.000707128,0
32,0.05,15,0.4375,0.4375,2,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.134605861,0.000371484,0
31,0.05,15,0.4375,0.4375,1,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.134776429,0.000370402,0
30,0.05,15,0.4375,0.25,5,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.135396017,0.000379272,0
29,0.05,15,0.4375,0.25,4,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.141128236,0.000390039,0
28,0.05,15,0.4375,0.25,3,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.136419271,0.000400933,0
27,0.05,15,0.4375,0.25,2,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.134284376,0.000411536,0
26,0.05,15,0.4375,0.25,1,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.135424464,0.000414367,0
23,0.05,15,0.25,1.0,3,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.111017223,0.000370174,0
22,0.05,15,0.25,1.0,2,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.103394808,0.000693159,0
21,0.05,15,0.25,1.0,1,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.101602876,0.00062115,0
18,0.05,15,0.25,0.8125,3,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.101398729,0.000372498,0
17,0.05,15,0.25,0.8125,2,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.099276028,0.00036945,0
3122,0.5,55,1.0,1.0,2,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.04025855,0.000703316,0
3123,0.5,55,1.0,1.0,3,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.04019634,0.000661449,0
3124,0.5,55,1.0,1.0,4,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.039432986,0.000836916,0
3125,0.5,55,1.0,1.0,5,1.1910527423777166,33,1,500,500,0,1.0,1.0,1.0,1.0,0.041916766,0.000691091,0
1,0.05,15,0.25,0.25,1,0.34845653617107936,88,1,500,500,0,1.0,1.0,1.0,1.0,0.102216165,0.000370455,0
