experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
2770,0.5,35,0.25,0.8125,5,1.2023847325551855,52,11,518,498,20,0.2838262436550063,1.036,0.996,0.44557984786283367,0.04993444,0.0008220169999999999,0
2775,0.5,35,0.25,1.0,5,1.2023847325551855,52,11,518,498,20,0.2838262436550063,1.036,0.996,0.44557984786283367,0.049832229,0.000768799,0
2765,0.5,35,0.25,0.625,5,1.2023847325551855,52,11,518,498,20,0.2838262436550063,1.036,0.996,0.44557984786283367,0.050093059,0.00088064,0
2760,0.5,35,0.25,0.4375,5,1.2023847325551855,52,11,518,498,20,0.2838262436550063,1.036,0.996,0.44557984786283367,0.048183039,0.000765626,0
2755,0.5,35,0.25,0.25,5,1.2023847325551855,52,11,518,498,20,0.2838262436550063,1.036,0.996,0.44557984786283367,0.051193384,0.000762055,0
2895,0.5,45,0.25,0.8125,5,1.2023847325551855,44,10,501,492,9,0.31288220775349807,1.002,0.9840000000000002,0.4768609238460068,0.041542116,0.000754972,0
2880,0.5,45,0.25,0.25,5,1.2023847325551855,44,10,501,492,9,0.31288220775349807,1.002,0.9840000000000002,0.4768609238460068,0.041296665,0.000712097,0
2900,0.5,45,0.25,1.0,5,1.2023847325551855,44,10,501,492,9,0.31288220775349807,1.002,0.9840000000000002,0.4768609238460068,0.042166383,0.000730857,0
2885,0.5,45,0.25,0.4375,5,1.2023847325551855,44,10,501,492,9,0.31288220775349807,1.002,0.9840000000000002,0.4768609238460068,0.04056367,0.000710315,0
2890,0.5,45,0.25,0.625,5,1.2023847325551855,44,10,501,492,9,0.31288220775349807,1.002,0.9840000000000002,0.4768609238460068,0.040620205,0.0007448939999999999,0
2878,0.5,45,0.25,0.25,3,1.2023847325551855,44,9,497,492,5,0.3245068122144201,0.9940000000000001,0.9840000000000002,0.48928040166800113,0.041595449,0.000714635,0
2879,0.5,45,0.25,0.25,4,1.2023847325551855,44,9,497,492,5,0.3245068122144201,0.9940000000000001,0.9840000000000002,0.48928040166800113,0.042412636,0.0007228449999999998,0
2898,0.5,45,0.25,1.0,3,1.2023847325551855,44,9,497,492,5,0.3245068122144201,0.9940000000000001,0.9840000000000002,0.48928040166800113,0.041489985,0.000759873,0
2888,0.5,45,0.25,0.625,3,1.2023847325551855,44,9,497,492,5,0.3245068122144201,0.9940000000000001,0.9840000000000002,0.48928040166800113,0.041327061,0.000716388,0
2889,0.5,45,0.25,0.625,4,1.2023847325551855,44,9,497,492,5,0.3245068122144201,0.9940000000000001,0.9840000000000002,0.48928040166800113,0.040787443,0.000827495,0
2893,0.5,45,0.25,0.8125,3,1.2023847325551855,44,9,497,492,5,0.3245068122144201,0.9940000000000001,0.9840000000000002,0.48928040166800113,0.041681886,0.000710512,0
2884,0.5,45,0.25,0.4375,4,1.2023847325551855,44,9,497,492,5,0.3245068122144201,0.9940000000000001,0.9840000000000002,0.48928040166800113,0.042018427,0.000736765,0
2883,0.5,45,0.25,0.4375,3,1.2023847325551855,44,9,497,492,5,0.3245068122144201,0.9940000000000001,0.9840000000000002,0.48928040166800113,0.041539106,0.000850408,0
2894,0.5,45,0.25,0.8125,4,1.2023847325551855,44,9,497,492,5,0.3245068122144201,0.9940000000000001,0.9840000000000002,0.48928040166800113,0.043643062,0.000731378,0
2899,0.5,45,0.25,1.0,4,1.2023847325551855,44,9,497,492,5,0.3245068122144201,0.9940000000000001,0.9840000000000002,0.48928040166800113,0.042248136,0.000749697,0
3004,0.5,55,0.25,0.25,4,1.2023847325551855,37,9,490,486,4,0.3323521520599545,0.98,0.972,0.4963684610224583,0.035328487,0.000723746,0
3005,0.5,55,0.25,0.25,5,1.2023847325551855,37,9,490,486,4,0.3323521520599545,0.98,0.972,0.4963684610224583,0.035540127,0.000718835,0
3003,0.5,55,0.25,0.25,3,1.2023847325551855,37,9,490,486,4,0.3323521520599545,0.98,0.972,0.4963684610224583,0.035524764,0.000772202,0
3014,0.5,55,0.25,0.625,4,1.2023847325551855,37,9,490,486,4,0.3323521520599545,0.98,0.972,0.4963684610224583,0.035112795,0.000703401,0
3013,0.5,55,0.25,0.625,3,1.2023847325551855,37,9,490,486,4,0.3323521520599545,0.98,0.972,0.4963684610224583,0.035632571,0.000710781,0
3010,0.5,55,0.25,0.4375,5,1.2023847325551855,37,9,490,486,4,0.3323521520599545,0.98,0.972,0.4963684610224583,0.036262851,0.000753334,0
3009,0.5,55,0.25,0.4375,4,1.2023847325551855,37,9,490,486,4,0.3323521520599545,0.98,0.972,0.4963684610224583,0.038391655,0.000698575,0
3008,0.5,55,0.25,0.4375,3,1.2023847325551855,37,9,490,486,4,0.3323521520599545,0.98,0.972,0.4963684610224583,0.038240516,0.000737756,0
3020,0.5,55,0.25,0.8125,5,1.2023847325551855,37,9,490,486,4,0.3323521520599545,0.98,0.972,0.4963684610224583,0.035082556,0.000707311,0
3023,0.5,55,0.25,1.0,3,1.2023847325551855,37,9,490,486,4,0.3323521520599545,0.98,0.972,0.4963684610224583,0.036087878,0.000726513,0
