experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
2765,0.5,35,0.25,0.625,5,1.427983808660486,56,9,510,496,14,0.27154674799598005,1.02,0.9920000000000002,0.42890849035959433,0.049653818,0.000907733,0
2760,0.5,35,0.25,0.4375,5,1.427983808660486,56,9,510,496,14,0.27154674799598005,1.02,0.9920000000000002,0.42890849035959433,0.048870233,0.000937752,0
2755,0.5,35,0.25,0.25,5,1.427983808660486,56,9,510,496,14,0.27154674799598005,1.02,0.9920000000000002,0.42890849035959433,0.050709174,0.000901122,0
2770,0.5,35,0.25,0.8125,5,1.427983808660486,56,9,510,496,14,0.27154674799598005,1.02,0.9920000000000002,0.42890849035959433,0.049179451,0.000956866,0
2775,0.5,35,0.25,1.0,5,1.427983808660486,56,9,510,496,14,0.27154674799598005,1.02,0.9920000000000002,0.42890849035959433,0.049852573,0.000862969,0
3005,0.5,55,0.25,0.25,5,1.427983808660486,40,8,498,490,8,0.2782095892077832,0.996,0.98,0.4349311968735568,0.035939739,0.000901622,0
3010,0.5,55,0.25,0.4375,5,1.427983808660486,40,8,498,490,8,0.2782095892077832,0.996,0.98,0.4349311968735568,0.034698648,0.0008807189999999999,0
3004,0.5,55,0.25,0.25,4,1.427983808660486,40,8,498,490,8,0.2782095892077832,0.996,0.98,0.4349311968735568,0.034117234,0.00086681,0
3020,0.5,55,0.25,0.8125,5,1.427983808660486,40,8,498,490,8,0.2782095892077832,0.996,0.98,0.4349311968735568,0.03543823,0.000927248,0
3019,0.5,55,0.25,0.8125,4,1.427983808660486,40,8,498,490,8,0.2782095892077832,0.996,0.98,0.4349311968735568,0.034592825,0.000896235,0
3014,0.5,55,0.25,0.625,4,1.427983808660486,40,8,498,490,8,0.2782095892077832,0.996,0.98,0.4349311968735568,0.03403488,0.000891986,0
3015,0.5,55,0.25,0.625,5,1.427983808660486,40,8,498,490,8,0.2782095892077832,0.996,0.98,0.4349311968735568,0.034854145,0.000858675,0
3024,0.5,55,0.25,1.0,4,1.427983808660486,40,8,498,490,8,0.2782095892077832,0.996,0.98,0.4349311968735568,0.034521716,0.0009028310000000002,0
3025,0.5,55,0.25,1.0,5,1.427983808660486,40,8,498,490,8,0.2782095892077832,0.996,0.98,0.4349311968735568,0.035871643,0.000887413,0
3009,0.5,55,0.25,0.4375,4,1.427983808660486,40,8,498,490,8,0.2782095892077832,0.996,0.98,0.4349311968735568,0.034534245,0.000919272,0
2764,0.5,35,0.25,0.625,4,1.427983808660486,56,8,506,496,10,0.28622600523667485,1.012,0.9920000000000002,0.4462408180564955,0.049592376,0.001025511,0
2769,0.5,35,0.25,0.8125,4,1.427983808660486,56,8,506,496,10,0.28622600523667485,1.012,0.9920000000000002,0.4462408180564955,0.049569453,0.000897401,0
2754,0.5,35,0.25,0.25,4,1.427983808660486,56,8,506,496,10,0.28622600523667485,1.012,0.9920000000000002,0.4462408180564955,0.049248862,0.001083781,0
2759,0.5,35,0.25,0.4375,4,1.427983808660486,56,8,506,496,10,0.28622600523667485,1.012,0.9920000000000002,0.4462408180564955,0.05061992,0.0009050690000000002,0
2774,0.5,35,0.25,1.0,4,1.427983808660486,56,8,506,496,10,0.28622600523667485,1.012,0.9920000000000002,0.4462408180564955,0.058657655,0.0009390440000000002,0
2525,0.5,15,0.25,1.0,5,1.427983808660486,103,7,511,500,11,0.3206973361854358,1.022,1.0,0.48820038403092575,0.090544451,0.000923046,0
2520,0.5,15,0.25,0.8125,5,1.427983808660486,103,7,511,500,11,0.3206973361854358,1.022,1.0,0.48820038403092575,0.089490899,0.0010377,0
2510,0.5,15,0.25,0.4375,5,1.427983808660486,103,7,511,500,11,0.3206973361854358,1.022,1.0,0.48820038403092575,0.093322048,0.000931864,0
2515,0.5,15,0.25,0.625,5,1.427983808660486,103,7,511,500,11,0.3206973361854358,1.022,1.0,0.48820038403092575,0.095676777,0.000926906,0
2505,0.5,15,0.25,0.25,5,1.427983808660486,103,7,511,500,11,0.3206973361854358,1.022,1.0,0.48820038403092575,0.09405800800000001,0.001029795,0
2885,0.5,45,0.25,0.4375,5,1.427983808660486,50,7,503,496,7,0.33030753862022694,1.006,0.9920000000000002,0.4973247164272469,0.043995426,0.000877191,0
2884,0.5,45,0.25,0.4375,4,1.427983808660486,50,7,503,496,7,0.33030753862022694,1.006,0.9920000000000002,0.4973247164272469,0.044378891,0.000998532,0
2894,0.5,45,0.25,0.8125,4,1.427983808660486,50,7,503,496,7,0.33030753862022694,1.006,0.9920000000000002,0.4973247164272469,0.044704155,0.0008760369999999999,0
2900,0.5,45,0.25,1.0,5,1.427983808660486,50,7,503,496,7,0.33030753862022694,1.006,0.9920000000000002,0.4973247164272469,0.045549819,0.00087885,0
2899,0.5,45,0.25,1.0,4,1.427983808660486,50,7,503,496,7,0.33030753862022694,1.006,0.9920000000000002,0.4973247164272469,0.04412701,0.000922939,0
