experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3097,0.5,55,0.8125,1.0,2,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.050701721,0.000803062,0
3096,0.5,55,0.8125,1.0,1,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.051816547,0.000899533,0
3095,0.5,55,0.8125,0.8125,5,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.052653043,0.000807221,0
3094,0.5,55,0.8125,0.8125,4,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.05562429,0.0008310989999999999,0
3093,0.5,55,0.8125,0.8125,3,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.057271815,0.000862679,0
3092,0.5,55,0.8125,0.8125,2,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.052470096,0.000818719,0
3091,0.5,55,0.8125,0.8125,1,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.060014369,0.0008324199999999998,0
3090,0.5,55,0.8125,0.625,5,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.056543857,0.0007964899999999999,0
3089,0.5,55,0.8125,0.625,4,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.052047108,0.000888915,0
32,0.05,15,0.4375,0.4375,2,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.162449467,0.000462411,0
31,0.05,15,0.4375,0.4375,1,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.16108616,0.000539442,0
30,0.05,15,0.4375,0.25,5,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.160297084,0.000439439,0
29,0.05,15,0.4375,0.25,4,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.163488343,0.000406494,0
28,0.05,15,0.4375,0.25,3,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.172550919,0.000657083,0
27,0.05,15,0.4375,0.25,2,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.173444303,0.000715175,0
26,0.05,15,0.4375,0.25,1,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.177476372,0.000456275,0
25,0.05,15,0.25,1.0,5,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.119254119,0.000401661,0
24,0.05,15,0.25,1.0,4,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.124015288,0.000426014,0
23,0.05,15,0.25,1.0,3,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.125870788,0.000692046,0
22,0.05,15,0.25,1.0,2,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.12613199,0.000439965,0
21,0.05,15,0.25,1.0,1,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.124963464,0.000730368,0
20,0.05,15,0.25,0.8125,5,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.118733262,0.000424022,0
19,0.05,15,0.25,0.8125,4,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.120011704,0.000467385,0
18,0.05,15,0.25,0.8125,3,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.137134806,0.00079301,0
17,0.05,15,0.25,0.8125,2,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.122571682,0.000762482,0
3122,0.5,55,1.0,1.0,2,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.060644473,0.0012867,0
3123,0.5,55,1.0,1.0,3,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.06725277,0.001098627,0
3124,0.5,55,1.0,1.0,4,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.065649385,0.000858129,0
3125,0.5,55,1.0,1.0,5,1.460148367150088,32,1,500,500,0,1.0,1.0,1.0,1.0,0.062972102,0.00083283,0
1,0.05,15,0.25,0.25,1,0.33131048295058646,93,1,500,500,0,1.0,1.0,1.0,1.0,0.123841973,0.000444268,0
