experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2384197299999999E-01,  4.4426800000000000E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.1166281900000000E-01,  4.2449600000000001E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.1489637000000000E-01,  4.3479400000000001E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2014674900000000E-01,  4.4603600000000002E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.1589694500000000E-01,  4.4900799999999998E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2439751000000000E-01,  4.8750800000000000E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2644337600000000E-01,  5.3217399999999995E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2958833000000000E-01,  7.2701199999999997E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2614920800000001E-01,  4.3206100000000002E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2235566400000000E-01,  4.4328100000000001E-04,0
11,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,1,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.3989409700000000E-01,  4.5886000000000001E-04,0
12,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,2,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2539466499999999E-01,  4.4247399999999999E-04,0
13,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,3,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.1631594500000000E-01,  6.1534600000000001E-04,0
14,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,4,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.1823088700000001E-01,  6.2367499999999997E-04,0
15,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,5,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2818121099999999E-01,  5.3088899999999999E-04,0
16,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,1,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2065643099999999E-01,  4.6676999999999998E-04,0
17,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,2,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2257168200000000E-01,  7.6248199999999998E-04,0
18,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,3,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.3713480600000000E-01,  7.9301000000000003E-04,0
19,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,4,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2001170400000000E-01,  4.6738500000000001E-04,0
20,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,5,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.1873326200000001E-01,  4.2402199999999997E-04,0
21,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  1.0000000000000000E+00,1,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2496346400000000E-01,  7.3036800000000001E-04,0
22,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  1.0000000000000000E+00,2,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2613199000000000E-01,  4.3996500000000001E-04,0
23,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  1.0000000000000000E+00,3,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2587078800000001E-01,  6.9204599999999998E-04,0
24,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  1.0000000000000000E+00,4,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.2401528800000000E-01,  4.2601400000000000E-04,0
25,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  1.0000000000000000E+00,5,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.1925411900000001E-01,  4.0166099999999999E-04,0
26,  5.0000000000000003E-02,15,  4.3750000000000000E-01,  2.5000000000000000E-01,1,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.7747637199999999E-01,  4.5627500000000002E-04,0
27,  5.0000000000000003E-02,15,  4.3750000000000000E-01,  2.5000000000000000E-01,2,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.7344430299999999E-01,  7.1517499999999997E-04,0
28,  5.0000000000000003E-02,15,  4.3750000000000000E-01,  2.5000000000000000E-01,3,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.7255091900000000E-01,  6.5708300000000004E-04,0
29,  5.0000000000000003E-02,15,  4.3750000000000000E-01,  2.5000000000000000E-01,4,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.6348834300000001E-01,  4.0649399999999997E-04,0
30,  5.0000000000000003E-02,15,  4.3750000000000000E-01,  2.5000000000000000E-01,5,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.6029708400000001E-01,  4.3943900000000002E-04,0
31,  5.0000000000000003E-02,15,  4.3750000000000000E-01,  4.3750000000000000E-01,1,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.6108616000000001E-01,  5.3944200000000000E-04,0
32,  5.0000000000000003E-02,15,  4.3750000000000000E-01,  4.3750000000000000E-01,2,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.6244946699999999E-01,  4.6241099999999997E-04,0
33,  5.0000000000000003E-02,15,  4.3750000000000000E-01,  4.3750000000000000E-01,3,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.5914217100000000E-01,  5.1294399999999999E-04,0
34,  5.0000000000000003E-02,15,  4.3750000000000000E-01,  4.3750000000000000E-01,4,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.6253409599999999E-01,  4.0196699999999998E-04,0
35,  5.0000000000000003E-02,15,  4.3750000000000000E-01,  4.3750000000000000E-01,5,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.6021202000000001E-01,  4.8257100000000000E-04,0
36,  5.0000000000000003E-02,15,  4.3750000000000000E-01,  6.2500000000000000E-01,1,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.6262867600000000E-01,  4.2131400000000000E-04,0
37,  5.0000000000000003E-02,15,  4.3750000000000000E-01,  6.2500000000000000E-01,2,  3.3131048295058652E-01,93,1,500,500,0,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.0000000000000000E+00,  1.6269206400000000E-01,  4.6310800000000000E-04,0
