vector_index,x,y,is_seed,n_memberships,cluster_id
1, -1.0000000000000000E+00,  9.7179132079064881E-02,1,1,1
2, -9.9599198396793587E-01,  1.1921679473644362E-01,0,1,1
3, -9.9198396793587174E-01,  1.2925036224336423E-01,0,1,1
4, -9.8797595190380760E-01,  1.7638304081560191E-01,0,1,1
5, -9.8396793587174347E-01,  1.5087607283443399E-01,0,1,1
6, -9.7995991983967934E-01,  1.1416008124780067E-01,0,1,1
7, -9.7595190380761521E-01,  1.5172419258539308E-01,0,1,1
8, -9.7194388777555107E-01,  1.1220026591848789E-01,0,1,1
9, -9.6793587174348694E-01,  1.6595224384628454E-01,1,1,1
10, -9.6392785571142281E-01,  1.3603727900369422E-01,0,1,1
11, -9.5991983967935868E-01,  1.4475774436195060E-01,0,1,1
12, -9.5591182364729455E-01,  1.7432651923498632E-01,0,1,1
13, -9.5190380761523041E-01,  1.2325693094157869E-01,0,1,1
14, -9.4789579158316628E-01,  1.2225702896313073E-01,0,1,1
15, -9.4388777555110226E-01,  1.3973624787011429E-01,0,1,1
16, -9.3987975951903813E-01,  1.7339438220526268E-01,0,1,1
17, -9.3587174348697399E-01,  1.2346826182122175E-01,0,1,1
18, -9.3186372745490986E-01,  9.8450335804504505E-02,1,1,1
19, -9.2785571142284573E-01,  1.4731850089186743E-01,0,1,1
20, -9.2384769539078160E-01,  1.6863477041664790E-01,0,1,1
21, -9.1983967935871747E-01,  1.8287359268984640E-01,1,1,1
22, -9.1583166332665333E-01,  1.5088374215219447E-01,0,1,1
23, -9.1182364729458920E-01,  1.5320733953250518E-01,0,1,1
24, -9.0781563126252507E-01,  1.8581316204409412E-01,0,1,1
25, -9.0380761523046094E-01,  1.2665004594016174E-01,0,1,1
26, -8.9979959919839680E-01,  1.5759473805607360E-01,0,1,1
27, -8.9579158316633267E-01,  1.7050453087144424E-01,0,1,1
28, -8.9178356713426854E-01,  1.7702203841916064E-01,0,1,1
29, -8.8777555110220441E-01,  1.5919393866551285E-01,0,1,1
30, -8.8376753507014028E-01,  1.7144218581654111E-01,0,1,1
31, -8.7975951903807614E-01,  1.2236108368575888E-01,1,1,1
32, -8.7575150300601201E-01,  1.6034798810375064E-01,0,1,1
33, -8.7174348697394788E-01,  1.8397960563976540E-01,1,1,1
34, -8.6773547094188375E-01,  1.5667126491712632E-01,0,1,1
35, -8.6372745490981961E-01,  1.7891587387850405E-01,0,1,1
36, -8.5971943887775548E-01,  1.8810410412186884E-01,0,1,1
37, -8.5571142284569146E-01,  1.7375764747990380E-01,0,1,1
38, -8.5170340681362733E-01,  1.8547148969768201E-01,0,1,1
39, -8.4769539078156320E-01,  1.6427284454523172E-01,0,1,1
40, -8.4368737474949906E-01,  1.8087234477742359E-01,0,1,1
41, -8.3967935871743493E-01,  1.9869785614334276E-01,0,1,1
42, -8.3567134268537080E-01,  1.9113393788735958E-01,0,1,1
43, -8.3166332665330667E-01,  1.7777687917581667E-01,0,1,1
44, -8.2765531062124253E-01,  1.9551703575736545E-01,1,1,1
45, -8.2364729458917840E-01,  2.0686238179923588E-01,0,1,1
46, -8.1963927855711427E-01,  1.5312121273432716E-01,1,1,1
47, -8.1563126252505014E-01,  2.1886384551782456E-01,0,1,1
48, -8.1162324649298601E-01,  1.9053216934192618E-01,0,1,1
49, -8.0761523046092187E-01,  2.0735463785972677E-01,0,1,1
50, -8.0360721442885774E-01,  2.2439012994272789E-01,0,1,1
51, -7.9959919839679361E-01,  1.7462494982966059E-01,0,1,1
52, -7.9559118236472948E-01,  1.8949581972136328E-01,0,1,1
53, -7.9158316633266534E-01,  1.9955297003518893E-01,0,1,1
54, -7.8757515030060121E-01,  1.9130137123710383E-01,0,1,1
55, -7.8356713426853708E-01,  2.4334097059205217E-01,1,1,1
