experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3097,0.5,55,0.8125,1.0,2,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.08276107,0.000950245,0
3096,0.5,55,0.8125,1.0,1,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.08523992099999998,0.000899343,0
3095,0.5,55,0.8125,0.8125,5,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.086811652,0.000904671,0
3094,0.5,55,0.8125,0.8125,4,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.089635144,0.000944991,0
3093,0.5,55,0.8125,0.8125,3,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.081754333,0.0008926859999999998,0
3092,0.5,55,0.8125,0.8125,2,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.081511306,0.001161382,0
3091,0.5,55,0.8125,0.8125,1,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.081045488,0.000962974,0
3090,0.5,55,0.8125,0.625,5,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.086365463,0.000991312,0
3089,0.5,55,0.8125,0.625,4,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.08357874399999998,0.000961284,0
32,0.05,15,0.4375,0.4375,2,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.171721442,0.00046223,0
31,0.05,15,0.4375,0.4375,1,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.172834213,0.000503342,0
30,0.05,15,0.4375,0.25,5,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.175438591,0.000493902,0
29,0.05,15,0.4375,0.25,4,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.174131535,0.000561668,0
28,0.05,15,0.4375,0.25,3,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.177209224,0.000533592,0
27,0.05,15,0.4375,0.25,2,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.189209317,0.000922987,0
26,0.05,15,0.4375,0.25,1,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.178178577,0.000525944,0
25,0.05,15,0.25,1.0,5,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.116995088,0.000518949,0
24,0.05,15,0.25,1.0,4,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.11564753,0.000528183,0
23,0.05,15,0.25,1.0,3,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.130613484,0.000495556,0
22,0.05,15,0.25,1.0,2,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.122609531,0.000536342,0
21,0.05,15,0.25,1.0,1,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.135550335,0.000530127,0
20,0.05,15,0.25,0.8125,5,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.124652909,0.000483661,0
19,0.05,15,0.25,0.8125,4,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.123015382,0.00049595,0
18,0.05,15,0.25,0.8125,3,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.129741945,0.000528325,0
17,0.05,15,0.25,0.8125,2,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.131043512,0.000551593,0
3122,0.5,55,1.0,1.0,2,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.086739471,0.000958175,0
3123,0.5,55,1.0,1.0,3,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.087591109,0.00090151,0
3124,0.5,55,1.0,1.0,4,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.086626835,0.0009232890000000002,0
3125,0.5,55,1.0,1.0,5,1.4570289403363217,37,1,500,500,0,1.0,1.0,1.0,1.0,0.085604895,0.000970527,0
1,0.05,15,0.25,0.25,1,0.35052412516223264,105,1,500,500,0,1.0,1.0,1.0,1.0,0.123050516,0.00051003,0
