vector_index,x,y,is_seed,n_memberships,cluster_id
1, -1.0000000000000000E+00,  2.2978655623278427E-01,0,1,1
2, -9.9599198396793587E-01,  8.6239419275929430E-02,0,1,1
3, -9.9198396793587174E-01,  1.4114028963179573E-01,1,1,1
4, -9.8797595190380760E-01,  1.4272511981928496E-01,0,1,1
5, -9.8396793587174347E-01,  9.9602274918836275E-02,0,1,1
6, -9.7995991983967934E-01,  3.1072468799070427E-02,0,1,1
7, -9.7595190380761521E-01,  1.6784142708645380E-01,0,1,1
8, -9.7194388777555107E-01,  1.3826602794882453E-01,0,1,1
9, -9.6793587174348694E-01,  1.8431766032346866E-01,0,1,1
10, -9.6392785571142281E-01,  1.0277174752491844E-01,0,1,1
11, -9.5991983967935868E-01,  2.4429617204177784E-01,1,1,1
12, -9.5591182364729455E-01,  7.7668683787194923E-02,0,1,1
13, -9.5190380761523041E-01,  2.8596342503469507E-01,0,1,1
14, -9.4789579158316628E-01,  1.0388471879129640E-02,0,1,1
15, -9.4388777555110226E-01,  1.8618983956158569E-01,0,1,1
16, -9.3987975951903813E-01,  1.9066125978700621E-01,0,1,1
17, -9.3587174348697399E-01,  9.0210617895488010E-02,0,1,1
18, -9.3186372745490986E-01,  1.8904496279559690E-01,0,1,1
19, -9.2785571142284573E-01,  2.5870317164086010E-01,0,1,1
20, -9.2384769539078160E-01, -1.9745552729895671E-02,1,1,1
21, -9.1983967935871747E-01,  1.9908794229433499E-01,0,1,1
22, -9.1583166332665333E-01, -3.9314696232503776E-02,0,1,1
23, -9.1182364729458920E-01,  8.4182687392968580E-02,0,1,1
24, -9.0781563126252507E-01,  2.9306845655105479E-01,0,1,1
25, -9.0380761523046094E-01,  1.1750231726270584E-01,0,1,1
26, -8.9979959919839680E-01,  7.1454756407015971E-02,1,1,1
27, -8.9579158316633267E-01,  1.5086103475416854E-01,1,1,1
28, -8.9178356713426854E-01,  3.3347017104654414E-01,0,1,1
29, -8.8777555110220441E-01,  2.2855492752848400E-02,0,1,1
30, -8.8376753507014028E-01,  8.6648572651276734E-02,0,1,1
31, -8.7975951903807614E-01,  2.9192216540838878E-01,0,1,1
32, -8.7575150300601201E-01,  3.2212914383344621E-01,0,1,1
33, -8.7174348697394788E-01,  1.6663493344545333E-01,0,1,1
34, -8.6773547094188375E-01,  7.7192929400088525E-02,0,1,1
35, -8.6372745490981961E-01,  3.4540366959144486E-01,0,1,1
36, -8.5971943887775548E-01,  3.0672204544575066E-01,1,1,1
37, -8.5571142284569146E-01,  2.3492439051803773E-01,0,1,1
38, -8.5170340681362733E-01,  1.1707002636275700E-01,0,1,1
39, -8.4769539078156320E-01,  1.7960514858388105E-01,0,1,1
40, -8.4368737474949906E-01,  1.7217576388775807E-01,0,1,1
41, -8.3967935871743493E-01,  2.1296163712080451E-01,1,1,1
42, -8.3567134268537080E-01,  3.0407459371849777E-01,0,1,1
43, -8.3166332665330667E-01,  2.5986086785808760E-01,0,1,1
44, -8.2765531062124253E-01,  1.0484262151276894E-01,0,1,1
45, -8.2364729458917840E-01,  3.0268990198806656E-01,0,1,1
46, -8.1963927855711427E-01,  2.1917060950692915E-01,0,1,1
47, -8.1563126252505014E-01,  2.5064762788741990E-01,0,1,1
48, -8.1162324649298601E-01,  3.1458053285783583E-01,0,1,1
49, -8.0761523046092187E-01,  1.0991841923383806E-01,1,1,1
50, -8.0360721442885774E-01,  1.9757914517330630E-01,0,1,1
51, -7.9959919839679361E-01,  1.5954205966553270E-01,0,1,1
52, -7.9559118236472948E-01,  7.8255885740677739E-02,0,1,1
53, -7.9158316633266534E-01,  2.3306074216109662E-01,0,1,1
54, -7.8757515030060121E-01,  4.0790096578634627E-01,1,1,1
55, -7.8356713426853708E-01,  6.1436019514855778E-02,0,1,1
56, -7.7955911823647295E-01,  2.0773899435525095E-01,0,1,1
57, -7.7555110220440882E-01,  2.6325759685806555E-01,0,1,1
58, -7.7154308617234468E-01,  2.2356676041566173E-01,0,1,1
59, -7.6753507014028055E-01,  2.0639033537582754E-01,0,1,1
60, -7.6352705410821642E-01,  1.1323718938525089E-01,0,1,1
61, -7.5951903807615229E-01,  2.3754531178649399E-01,0,1,1
62, -7.5551102204408815E-01,  1.6014319540023703E-01,0,1,1
63, -7.5150300601202402E-01,  4.7266698910580662E-02,0,1,1
64, -7.4749498997995989E-01,  3.1981822936289861E-01,0,1,1
65, -7.4348697394789576E-01,  3.0272654343467192E-01,0,1,1
66, -7.3947895791583163E-01,  2.3200790780639480E-01,1,1,1
67, -7.3547094188376749E-01,  2.4803499911755303E-01,0,1,1
68, -7.3146292585170336E-01,  3.1750321992010627E-01,0,1,1
69, -7.2745490981963923E-01,  2.5136858552149954E-01,0,1,1
70, -7.2344689378757510E-01,  3.0762145042292421E-01,0,1,1
71, -7.1943887775551096E-01,  2.1339522273679087E-01,0,1,1
72, -7.1543086172344694E-01,  3.4406149204629560E-01,1,1,1
73, -7.1142284569138281E-01,  2.6669000924413205E-01,0,1,1
74, -7.0741482965931868E-01,  2.5849115257628624E-01,0,1,1
75, -7.0340681362725455E-01,  1.4331756826721481E-01,1,1,1
76, -6.9939879759519041E-01,  2.6985011999484287E-01,0,1,1
77, -6.9539078156312628E-01,  1.8232431921123138E-01,0,1,1
78, -6.9138276553106215E-01,  1.9982114780494459E-01,0,1,1
79, -6.8737474949899802E-01,  1.8767289004515200E-01,0,1,1
80, -6.8336673346693388E-01,  1.6963957095482102E-01,0,1,1
81, -6.7935871743486975E-01,  4.2697188454808210E-01,0,1,1
82, -6.7535070140280562E-01,  3.6556561751259631E-01,0,1,1
83, -6.7134268537074149E-01,  4.1477285932298658E-01,0,1,1
84, -6.6733466933867736E-01,  1.6541360450998152E-01,0,1,1
85, -6.6332665330661333E-01,  2.7106416836753028E-01,0,1,1
86, -6.5931863727454920E-01,  1.6401897217494008E-01,0,1,1
87, -6.5531062124248507E-01,  2.1399689458329449E-01,1,1,1
88, -6.5130260521042094E-01,  1.9837255574401452E-01,0,1,1
89, -6.4729458917835681E-01,  3.7317713113413020E-01,0,1,1
90, -6.4328657314629267E-01,  2.4451733969035763E-01,0,1,1
91, -6.3927855711422854E-01,  3.6390911277836835E-01,0,1,1
92, -6.3527054108216441E-01,  3.2900938106584793E-01,1,1,1
93, -6.3126252505010028E-01,  4.6722978955122252E-01,1,1,1
94, -6.2725450901803614E-01,  1.6686031183939021E-01,0,1,1
95, -6.2324649298597201E-01,  3.8824999632864654E-01,0,1,1
96, -6.1923847695390788E-01,  3.8154056888170040E-01,0,1,1
97, -6.1523046092184375E-01,  2.1428757764875103E-01,0,1,1
98, -6.1122244488977961E-01,  3.7507991027257925E-01,0,1,1
99, -6.0721442885771548E-01,  3.2377112337470054E-01,0,1,1
100, -6.0320641282565135E-01,  2.8107078513581224E-01,0,1,1
101, -5.9919839679358722E-01,  2.3576263672876685E-01,0,1,1
102, -5.9519038076152309E-01,  2.4657669424902007E-01,0,1,1
103, -5.9118236472945895E-01,  4.7053793364488927E-01,0,1,1
104, -5.8717434869739482E-01,  3.0907480532459652E-01,0,1,1
105, -5.8316633266533069E-01,  3.7407765050146025E-01,0,1,1
106, -5.7915831663326656E-01,  2.5074238697342521E-01,1,1,1
107, -5.7515030060120242E-01,  2.5415336659210852E-01,0,1,1
108, -5.7114228456913829E-01,  4.0564799186271089E-01,0,1,1
109, -5.6713426853707416E-01,  2.1369121878306901E-01,0,1,1
110, -5.6312625250501003E-01,  2.9102899163009266E-01,0,1,1
111, -5.5911823647294590E-01,  3.2957789842182433E-01,0,1,1
112, -5.5511022044088176E-01,  3.3839612896115656E-01,0,1,1
113, -5.5110220440881763E-01,  3.1781064513068780E-01,0,1,1
114, -5.4709418837675350E-01,  3.6647681977399088E-01,1,1,1
115, -5.4308617234468937E-01,  3.9293434110996556E-01,0,1,1
116, -5.3907815631262523E-01,  3.9899321479340327E-01,0,1,1
117, -5.3507014028056110E-01,  2.6409609867279937E-01,0,1,1
118, -5.3106212424849697E-01,  3.2298822538727212E-01,0,1,1
119, -5.2705410821643284E-01,  4.4408410703726781E-01,0,1,1
120, -5.2304609218436870E-01,  4.2287969176062334E-01,0,1,1
121, -5.1903807615230457E-01,  2.4430657333673148E-01,0,1,1
122, -5.1503006012024044E-01,  3.8510388989817851E-01,0,1,1
123, -5.1102204408817642E-01,  2.0160058519268328E-01,1,1,1
124, -5.0701402805611229E-01,  3.6650962805562531E-01,0,1,1
125, -5.0300601202404815E-01,  5.1749573755749312E-01,1,1,1
126, -4.9899799599198402E-01,  2.9278599634344304E-01,0,1,1
127, -4.9498997995991989E-01,  3.0483829388400685E-01,1,1,1
128, -4.9098196392785576E-01,  4.3569712077186801E-01,0,1,1
129, -4.8697394789579163E-01,  2.5416528684367967E-01,0,1,1
130, -4.8296593186372749E-01,  3.3000793828974900E-01,0,1,1
131, -4.7895791583166336E-01,  4.3140702238592188E-01,0,1,1
132, -4.7494989979959923E-01,  3.3603690918643353E-01,0,1,1
133, -4.7094188376753510E-01,  3.7101507699918679E-01,0,1,1
134, -4.6693386773547096E-01,  4.5256548515392525E-01,0,1,1
135, -4.6292585170340683E-01,  4.2991752237824710E-01,0,1,1
136, -4.5891783567134270E-01,  4.2072797303807258E-01,0,1,1
137, -4.5490981963927857E-01,  3.7546704779892592E-01,1,1,1
138, -4.5090180360721444E-01,  4.3544191787859737E-01,0,1,1
139, -4.4689378757515030E-01,  3.9920469068192166E-01,0,1,1
140, -4.4288577154308617E-01,  4.4902031811455290E-01,0,1,1
141, -4.3887775551102204E-01,  3.7596037091008211E-01,0,1,1
142, -4.3486973947895802E-01,  4.0445519121007811E-01,0,1,1
143, -4.3086172344689389E-01,  3.4323678962901794E-01,0,1,1
144, -4.2685370741482975E-01,  4.2303265245745214E-01,1,1,1
145, -4.2284569138276562E-01,  3.6438040320888504E-01,0,1,1
146, -4.1883767535070149E-01,  3.4359155036663541E-01,0,1,1
147, -4.1482965931863736E-01,  4.5689075732268652E-01,0,1,1
148, -4.1082164328657322E-01,  4.5672767549355581E-01,0,1,1
149, -4.0681362725450909E-01,  5.0587727455036302E-01,0,1,1
150, -4.0280561122244496E-01,  4.1232469431521585E-01,0,1,1
151, -3.9879759519038083E-01,  4.8305504278064704E-01,1,1,1
152, -3.9478957915831669E-01,  4.9809963806723012E-01,0,1,1
153, -3.9078156312625256E-01,  4.9327192919579016E-01,0,1,1
154, -3.8677354709418843E-01,  3.9532133206916231E-01,0,1,1
155, -3.8276553106212430E-01,  4.7703595393688769E-01,0,1,1
156, -3.7875751503006017E-01,  4.9796123284185512E-01,0,1,1
157, -3.7474949899799603E-01,  4.7317754597581396E-01,0,1,1
158, -3.7074148296593190E-01,  3.0948868354135906E-01,1,1,1
159, -3.6673346693386777E-01,  4.9308030624909444E-01,0,1,1
160, -3.6272545090180364E-01,  6.6110871851267350E-01,0,1,1
161, -3.5871743486973950E-01,  4.5919930015963095E-01,0,1,1
162, -3.5470941883767537E-01,  4.3368383775964964E-01,0,1,1
163, -3.5070140280561124E-01,  5.2575706429538671E-01,1,1,1
164, -3.4669338677354711E-01,  5.2487047469380510E-01,0,1,1
165, -3.4268537074148298E-01,  5.9932219028800793E-01,1,1,1
166, -3.3867735470941884E-01,  4.0732946315700980E-01,0,1,1
167, -3.3466933867735471E-01,  5.7055751438476210E-01,0,1,1
168, -3.3066132264529069E-01,  5.6340194029649293E-01,0,1,1
169, -3.2665330661322656E-01,  5.0895070113610297E-01,0,1,1
170, -3.2264529058116242E-01,  5.5160509263744273E-01,0,1,1
171, -3.1863727454909829E-01,  6.1108809234975858E-01,0,1,1
172, -3.1462925851703416E-01,  6.0277208560229212E-01,0,1,1
173, -3.1062124248497003E-01,  4.4583491980942913E-01,1,1,1
174, -3.0661322645290590E-01,  6.0721325312619479E-01,0,1,1
175, -3.0260521042084176E-01,  5.4078444488503441E-01,0,1,1
176, -2.9859719438877763E-01,  5.5618347801479873E-01,0,1,1
177, -2.9458917835671350E-01,  5.6063869047050097E-01,0,1,1
178, -2.9058116232464937E-01,  5.4722852185344006E-01,0,1,1
179, -2.8657314629258523E-01,  6.5908552615285676E-01,1,1,1
180, -2.8256513026052110E-01,  5.6158867990244943E-01,0,1,1
181, -2.7855711422845697E-01,  4.8329613315168740E-01,0,1,1
182, -2.7454909819639284E-01,  5.4598795199577210E-01,1,1,1
183, -2.7054108216432871E-01,  5.9641354144677328E-01,0,1,1
184, -2.6653306613226457E-01,  6.8514017569474150E-01,0,1,1
185, -2.6252505010020044E-01,  6.3977330286281731E-01,0,1,1
186, -2.5851703406813631E-01,  5.2824365061930023E-01,0,1,1
187, -2.5450901803607218E-01,  7.9990072675347379E-01,0,1,1
188, -2.5050100200400804E-01,  6.2710524281922331E-01,0,1,1
189, -2.4649298597194391E-01,  7.1283109638009867E-01,0,1,1
190, -2.4248496993987978E-01,  6.0357855028805130E-01,0,1,1
191, -2.3847695390781565E-01,  6.6333987629904489E-01,0,1,1
192, -2.3446893787575152E-01,  6.9282393136853115E-01,0,1,1
193, -2.3046092184368749E-01,  7.2815754575239966E-01,0,1,1
194, -2.2645290581162336E-01,  7.2036747813571056E-01,1,1,1
195, -2.2244488977955923E-01,  7.1067067186507327E-01,0,1,1
196, -2.1843687374749510E-01,  6.2084605357498668E-01,0,1,1
197, -2.1442885771543096E-01,  6.0551290242615707E-01,1,1,1
198, -2.1042084168336683E-01,  6.8310262793243770E-01,0,1,1
199, -2.0641282565130270E-01,  7.3642789862927360E-01,0,1,1
200, -2.0240480961923857E-01,  6.4928614643751426E-01,0,1,1
201, -1.9839679358717444E-01,  7.5768657557962338E-01,0,1,1
202, -1.9438877755511030E-01,  7.9409438494683360E-01,1,1,1
203, -1.9038076152304617E-01,  6.1003515770425698E-01,0,1,1
204, -1.8637274549098204E-01,  6.2188687035840251E-01,0,1,1
205, -1.8236472945891791E-01,  6.8315448028599257E-01,0,1,1
206, -1.7835671342685377E-01,  7.2458207593297352E-01,0,1,1
207, -1.7434869739478964E-01,  6.6364125710485689E-01,1,1,1
208, -1.7034068136272551E-01,  8.1946172848897347E-01,0,1,1
209, -1.6633266533066138E-01,  7.5093546422892399E-01,0,1,1
210, -1.6232464929859725E-01,  7.2593655329536577E-01,0,1,1
211, -1.5831663326653311E-01,  6.1372514546296197E-01,0,1,1
212, -1.5430861723446898E-01,  6.2919657759347114E-01,0,1,1
213, -1.5030060120240485E-01,  7.6285371286390891E-01,0,1,1
214, -1.4629258517034072E-01,  5.7572402691328595E-01,0,1,1
215, -1.4228456913827658E-01,  8.3334933106125642E-01,0,1,1
216, -1.3827655310621245E-01,  7.4574103511447187E-01,0,1,1
217, -1.3426853707414832E-01,  1.0239445167739392E+00,1,1,1
218, -1.3026052104208419E-01,  9.5528324017382427E-01,0,1,1
219, -1.2625250501002017E-01,  7.6233639524406693E-01,0,1,1
220, -1.2224448897795603E-01,  7.7459765952893600E-01,0,1,1
221, -1.1823647294589190E-01,  8.6905375984210353E-01,1,1,1
222, -1.1422845691382777E-01,  9.3201439153691912E-01,0,1,1
223, -1.1022044088176364E-01,  6.7112273544871637E-01,0,1,1
224, -1.0621242484969950E-01,  6.6571104492715993E-01,0,1,1
225, -1.0220440881763537E-01,  7.6536627948028668E-01,0,1,1
226, -9.8196392785571240E-02,  8.6830843018894144E-01,0,1,1
227, -9.4188376753507108E-02,  8.6805246977710393E-01,0,1,1
228, -9.0180360721442976E-02,  9.2055068227024950E-01,0,1,1
229, -8.6172344689378844E-02,  7.4571319963349847E-01,0,1,1
230, -8.2164328657314711E-02,  6.6317161340265329E-01,0,1,1
231, -7.8156312625250579E-02,  9.2393289839347037E-01,0,1,1
232, -7.4148296593186447E-02,  7.9591965984163138E-01,0,1,1
233, -7.0140280561122315E-02,  7.0763533233792730E-01,1,1,1
234, -6.6132264529058182E-02,  8.8771430775665661E-01,0,1,1
235, -6.2124248496994050E-02,  9.4661440597766355E-01,0,1,1
236, -5.8116232464929918E-02,  8.8050367252619577E-01,0,1,1
237, -5.4108216432865786E-02,  8.6080547044513178E-01,0,1,1
238, -5.0100200400801653E-02,  8.9190712748853140E-01,0,1,1
239, -4.6092184368737521E-02,  8.8229038037927121E-01,0,1,1
240, -4.2084168336673389E-02,  8.1143272616722828E-01,1,1,1
241, -3.8076152304609256E-02,  8.6950060476898061E-01,0,1,1
242, -3.4068136272545124E-02,  9.7583556060011811E-01,0,1,1
243, -3.0060120240480992E-02,  9.6738558548153386E-01,0,1,1
244, -2.6052104208416860E-02,  9.6267472841635615E-01,0,1,1
245, -2.2044088176352838E-02,  8.7725770193518138E-01,0,1,1
246, -1.8036072144288706E-02,  9.5005044973488195E-01,0,1,1
247, -1.4028056112224574E-02,  7.9816860174232240E-01,0,1,1
248, -1.0020040080160442E-02,  9.9443752068490854E-01,0,1,1
249, -6.0120240480963094E-03,  1.1023565685291239E+00,1,1,1
250, -2.0040080160321772E-03,  8.7806943478064414E-01,0,1,1
251,  2.0040080160319551E-03,  9.5714184500458466E-01,0,1,1
252,  6.0120240480960874E-03,  1.0384251698672928E+00,0,1,1
253,  1.0020040080160220E-02,  1.1204696414336683E+00,0,1,1
254,  1.4028056112224352E-02,  9.9259542230590370E-01,1,1,1
255,  1.8036072144288484E-02,  9.8135061164605342E-01,0,1,1
256,  2.2044088176352616E-02,  8.8756065029037690E-01,1,1,1
257,  2.6052104208416749E-02,  1.0617605691961813E+00,0,1,1
258,  3.0060120240480881E-02,  1.2253303131701223E+00,1,1,1
259,  3.4068136272545013E-02,  1.0926998567796147E+00,0,1,1
260,  3.8076152304609145E-02,  1.0773445993106228E+00,0,1,1
261,  4.2084168336673278E-02,  1.1135785819110673E+00,0,1,1
262,  4.6092184368737410E-02,  1.0956796157978570E+00,0,1,1
263,  5.0100200400801542E-02,  1.0403512676263085E+00,0,1,1
264,  5.4108216432865675E-02,  1.1801512812814345E+00,0,1,1
265,  5.8116232464929807E-02,  1.1413178814845113E+00,0,1,1
266,  6.2124248496993939E-02,  1.1337062686492707E+00,0,1,1
267,  6.6132264529058071E-02,  1.0633809333222826E+00,0,1,1
268,  7.0140280561122204E-02,  1.2548772007957762E+00,0,1,1
269,  7.4148296593186336E-02,  1.2130330706189736E+00,0,1,1
270,  7.8156312625250468E-02,  1.1249579978083204E+00,0,1,1
271,  8.2164328657314600E-02,  1.2587475957798859E+00,0,1,1
