experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1373,0.275,15,1.0,1.0,3,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.338445483,0.000978064,0
1374,0.275,15,1.0,1.0,4,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.343847294,0.001464513,0
1371,0.275,15,1.0,1.0,1,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.345381959,0.001183123,0
1861,0.275,55,1.0,0.625,1,0.3290163023015043,48,1,500,500,0,1.0,1.0,1.0,1.0,0.14706463,0.000990411,0
1372,0.275,15,1.0,1.0,2,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.342044189,0.000987292,0
1364,0.275,15,1.0,0.625,4,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.337678886,0.000996721,0
1363,0.275,15,1.0,0.625,3,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.346772324,0.001220827,0
1871,0.275,55,1.0,1.0,1,0.3290163023015043,48,1,500,500,0,1.0,1.0,1.0,1.0,0.148048121,0.001205617,0
1867,0.275,55,1.0,0.8125,2,0.3290163023015043,48,1,500,500,0,1.0,1.0,1.0,1.0,0.141586869,0.0009545370000000002,0
1866,0.275,55,1.0,0.8125,1,0.3290163023015043,48,1,500,500,0,1.0,1.0,1.0,1.0,0.142549167,0.00093782,0
1862,0.275,55,1.0,0.625,2,0.3290163023015043,48,1,500,500,0,1.0,1.0,1.0,1.0,0.142469419,0.001438506,0
1375,0.275,15,1.0,1.0,5,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.341642638,0.000956755,0
1362,0.275,15,1.0,0.625,2,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.347660826,0.001057188,0
1361,0.275,15,1.0,0.625,1,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.344423996,0.0009693970000000002,0
1370,0.275,15,1.0,0.8125,5,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.336431883,0.001009879,0
1365,0.275,15,1.0,0.625,5,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.339656131,0.001035644,0
1366,0.275,15,1.0,0.8125,1,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.341302868,0.001027974,0
1367,0.275,15,1.0,0.8125,2,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.335898495,0.001032014,0
1369,0.275,15,1.0,0.8125,4,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.339827503,0.00098192,0
1368,0.275,15,1.0,0.8125,3,0.3290163023015043,113,1,500,500,0,1.0,1.0,1.0,1.0,0.339383242,0.001020053,0
1872,0.275,55,1.0,1.0,2,0.3290163023015043,48,1,500,500,0,1.0,1.0,1.0,1.0,0.143226877,0.000919045,0
1291,0.275,15,0.4375,0.8125,1,0.3290163023015043,113,1,499,499,0,0.9996704932910653,0.998,0.998,0.9988345481950512,0.213802701,0.001166744,0
1487,0.275,25,1.0,0.625,2,0.3290163023015043,81,1,499,499,0,0.9996704932910653,0.998,0.998,0.9988345481950512,0.228983057,0.000940147,0
1348,0.275,15,0.8125,1.0,3,0.3290163023015043,113,1,499,499,0,0.9996704932910653,0.998,0.998,0.9988345481950512,0.299591393,0.001066165,0
1296,0.275,15,0.4375,1.0,1,0.3290163023015043,113,1,499,499,0,0.9996704932910653,0.998,0.998,0.9988345481950512,0.203380123,0.000923015,0
1747,0.275,45,1.0,1.0,2,0.3290163023015043,55,1,499,499,0,0.9996704932910653,0.998,0.998,0.9988345481950512,0.162798132,0.0009547510000000002,0
1746,0.275,45,1.0,1.0,1,0.3290163023015043,55,1,499,499,0,0.9996704932910653,0.998,0.998,0.9988345481950512,0.153454612,0.00091042,0
1623,0.275,35,1.0,1.0,3,0.3290163023015043,66,1,499,499,0,0.9996704932910653,0.998,0.998,0.9988345481950512,0.197397869,0.0009463570000000002,0
1622,0.275,35,1.0,1.0,2,0.3290163023015043,66,1,499,499,0,0.9996704932910653,0.998,0.998,0.9988345481950512,0.182252098,0.000952503,0
1742,0.275,45,1.0,0.8125,2,0.3290163023015043,55,1,499,499,0,0.9996704932910653,0.998,0.998,0.9988345481950512,0.15394907,0.000876564,0
