parameter,value,best_count,worst_count
mean_dist_quant,0.05,0,25
mean_dist_quant,0.1625,0,0
mean_dist_quant,0.275,30,0
mean_dist_quant,0.3875,0,5
mean_dist_quant,0.5,0,0
k_seeding,15.0,18,0
k_seeding,25.0,1,0
k_seeding,35.0,2,0
k_seeding,45.0,3,5
k_seeding,55.0,6,25
alpha_mad,0.25,0,30
alpha_mad,0.4375,2,0
alpha_mad,0.625,0,0
alpha_mad,0.8125,1,0
alpha_mad,1.0,27,0
alpha_accept,0.25,0,6
alpha_accept,0.4375,0,6
alpha_accept,0.625,8,6
alpha_accept,0.8125,9,6
alpha_accept,1.0,13,6
min_intersection,1.0,9,5
min_intersection,2.0,10,5
min_intersection,3.0,5,5
min_intersection,4.0,3,5
min_intersection,5.0,3,10
