experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
504,0.05,55,0.25,0.25,4,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.050749415,0.000433459,0
525,0.05,55,0.25,1.0,5,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.045097022,0.000380641,0
514,0.05,55,0.25,0.625,4,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.046755153,0.000373023,0
515,0.05,55,0.25,0.625,5,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.051317495,0.000370735,0
513,0.05,55,0.25,0.625,3,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.047106225,0.000513715,0
510,0.05,55,0.25,0.4375,5,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.046270231,0.000543009,0
509,0.05,55,0.25,0.4375,4,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.046463438,0.000358597,0
508,0.05,55,0.25,0.4375,3,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.047495101,0.000355481,0
524,0.05,55,0.25,1.0,4,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.048492233,0.000476756,0
520,0.05,55,0.25,0.8125,5,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.047146176,0.000346325,0
523,0.05,55,0.25,1.0,3,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.045366971,0.000346326,0
503,0.05,55,0.25,0.25,3,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.047423643,0.000350965,0
519,0.05,55,0.25,0.8125,4,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.044465657,0.000359895,0
505,0.05,55,0.25,0.25,5,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.052136966,0.000400799,0
518,0.05,55,0.25,0.8125,3,0.10385700602645066,45,34,334,329,5,0.277187479735874,0.668,0.658,0.39179790344938936,0.046857256,0.000348245,0
517,0.05,55,0.25,0.8125,2,0.10385700602645066,45,32,330,329,1,0.29535551154575235,0.66,0.658,0.40808816249941327,0.045400497,0.000343586,0
507,0.05,55,0.25,0.4375,2,0.10385700602645066,45,32,330,329,1,0.29535551154575235,0.66,0.658,0.40808816249941327,0.049420155,0.000357674,0
512,0.05,55,0.25,0.625,2,0.10385700602645066,45,32,330,329,1,0.29535551154575235,0.66,0.658,0.40808816249941327,0.047521171,0.000377267,0
502,0.05,55,0.25,0.25,2,0.10385700602645066,45,32,330,329,1,0.29535551154575235,0.66,0.658,0.40808816249941327,0.049291646,0.000370609,0
522,0.05,55,0.25,1.0,2,0.10385700602645066,45,32,330,329,1,0.29535551154575235,0.66,0.658,0.40808816249941327,0.04502958,0.000342724,0
506,0.05,55,0.25,0.4375,1,0.10385700602645066,45,31,329,329,0,0.2990100171524231,0.658,0.658,0.41117352537587537,0.047516877,0.000413971,0
511,0.05,55,0.25,0.625,1,0.10385700602645066,45,31,329,329,0,0.2990100171524231,0.658,0.658,0.41117352537587537,0.046564052,0.000364529,0
516,0.05,55,0.25,0.8125,1,0.10385700602645066,45,31,329,329,0,0.2990100171524231,0.658,0.658,0.41117352537587537,0.047159782,0.000384691,0
501,0.05,55,0.25,0.25,1,0.10385700602645066,45,31,329,329,0,0.2990100171524231,0.658,0.658,0.41117352537587537,0.049995575,0.000478218,0
521,0.05,55,0.25,1.0,1,0.10385700602645066,45,31,329,329,0,0.2990100171524231,0.658,0.658,0.41117352537587537,0.045469186,0.00035336,0
2265,0.3875,45,0.25,0.625,5,0.4311283008187039,53,13,510,487,23,0.2619627559073727,1.02,0.974,0.4168639218171275,0.066474845,0.001044526,0
2255,0.3875,45,0.25,0.25,5,0.4311283008187039,53,13,510,487,23,0.2619627559073727,1.02,0.974,0.4168639218171275,0.067589087,0.00104715,0
2270,0.3875,45,0.25,0.8125,5,0.4311283008187039,53,13,510,487,23,0.2619627559073727,1.02,0.974,0.4168639218171275,0.067710486,0.001018115,0
2260,0.3875,45,0.25,0.4375,5,0.4311283008187039,53,13,510,487,23,0.2619627559073727,1.02,0.974,0.4168639218171275,0.066545366,0.001093533,0
2275,0.3875,45,0.25,1.0,5,0.4311283008187039,53,13,510,487,23,0.2619627559073727,1.02,0.974,0.4168639218171275,0.07279070899999998,0.001055833,0
