experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  7.3494123375674708E-02,112,37,431,431,0,  3.7248143403601502E-01,  8.6199999999999999E-01,  8.6199999999999999E-01,  5.2018440664483534E-01,  1.3398433800000001E-01,  4.1881299999999998E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  7.3494123375674708E-02,112,43,437,431,6,  3.3720163038322681E-01,  8.7400000000000000E-01,  8.6199999999999999E-01,  4.8664766883065036E-01,  1.3654023600000001E-01,  4.1753899999999997E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  7.3494123375674708E-02,112,51,453,431,22,  2.9774827958695577E-01,  9.0600000000000003E-01,  8.6199999999999999E-01,  4.4819992000045911E-01,  1.3547359300000000E-01,  4.3291000000000000E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  7.3494123375674708E-02,112,51,453,431,22,  2.9774827958695577E-01,  9.0600000000000003E-01,  8.6199999999999999E-01,  4.4819992000045911E-01,  1.3588745999999999E-01,  4.3150200000000000E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  7.3494123375674708E-02,112,53,461,431,30,  2.8969636799500365E-01,  9.2200000000000004E-01,  8.6199999999999999E-01,  4.4086960784303469E-01,  1.3299322000000000E-01,  4.6476400000000000E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  7.3494123375674708E-02,112,37,431,431,0,  3.7248143403601502E-01,  8.6199999999999999E-01,  8.6199999999999999E-01,  5.2018440664483534E-01,  1.3519203699999999E-01,  5.0725499999999997E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  7.3494123375674708E-02,112,43,437,431,6,  3.3720163038322681E-01,  8.7400000000000000E-01,  8.6199999999999999E-01,  4.8664766883065036E-01,  1.3510876999999999E-01,  4.2068699999999999E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  7.3494123375674708E-02,112,51,453,431,22,  2.9774827958695577E-01,  9.0600000000000003E-01,  8.6199999999999999E-01,  4.4819992000045911E-01,  1.3573349100000001E-01,  4.5388999999999998E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  7.3494123375674708E-02,112,51,453,431,22,  2.9774827958695577E-01,  9.0600000000000003E-01,  8.6199999999999999E-01,  4.4819992000045911E-01,  1.3104719200000001E-01,  4.3864400000000002E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  7.3494123375674708E-02,112,53,461,431,30,  2.8969636799500365E-01,  9.2200000000000004E-01,  8.6199999999999999E-01,  4.4086960784303469E-01,  1.3237113600000000E-01,  4.4674000000000000E-04,0
11,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,1,  7.3494123375674708E-02,112,37,431,431,0,  3.7248143403601502E-01,  8.6199999999999999E-01,  8.6199999999999999E-01,  5.2018440664483534E-01,  1.3184214100000000E-01,  4.0322800000000000E-04,0
12,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,2,  7.3494123375674708E-02,112,43,437,431,6,  3.3720163038322681E-01,  8.7400000000000000E-01,  8.6199999999999999E-01,  4.8664766883065036E-01,  1.3337292700000000E-01,  4.3995599999999997E-04,0
