experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
2510,0.5,15,0.25,0.4375,5,0.5629758564141436,116,32,517,489,28,0.08731283262252677,1.034,0.978,0.16102815611329865,0.128458775,0.001304784,0
2525,0.5,15,0.25,1.0,5,0.5629758564141436,116,32,517,489,28,0.08731283262252677,1.034,0.978,0.16102815611329865,0.126620275,0.001199863,0
2505,0.5,15,0.25,0.25,5,0.5629758564141436,116,32,517,489,28,0.08731283262252677,1.034,0.978,0.16102815611329865,0.132565193,0.000962596,0
2515,0.5,15,0.25,0.625,5,0.5629758564141436,116,32,517,489,28,0.08731283262252677,1.034,0.978,0.16102815611329865,0.132149566,0.001619035,0
2520,0.5,15,0.25,0.8125,5,0.5629758564141436,116,32,517,489,28,0.08731283262252677,1.034,0.978,0.16102815611329865,0.12485888,0.001448865,0
2514,0.5,15,0.25,0.625,4,0.5629758564141436,116,30,509,489,20,0.09130319254930316,1.018,0.978,0.16757663845100598,0.129718126,0.000988147,0
2524,0.5,15,0.25,1.0,4,0.5629758564141436,116,30,509,489,20,0.09130319254930316,1.018,0.978,0.16757663845100598,0.131144934,0.001162742,0
2509,0.5,15,0.25,0.4375,4,0.5629758564141436,116,30,509,489,20,0.09130319254930316,1.018,0.978,0.16757663845100598,0.129331348,0.001600472,0
2519,0.5,15,0.25,0.8125,4,0.5629758564141436,116,30,509,489,20,0.09130319254930316,1.018,0.978,0.16757663845100598,0.135200355,0.001134978,0
2504,0.5,15,0.25,0.25,4,0.5629758564141436,116,30,509,489,20,0.09130319254930316,1.018,0.978,0.16757663845100598,0.124359263,0.001038877,0
1894,0.3875,15,0.25,0.8125,4,0.4292091950596279,115,36,474,469,5,0.09206082510917317,0.948,0.938,0.16782415046607532,0.101633507,0.001272325,0
1889,0.3875,15,0.25,0.625,4,0.4292091950596279,115,36,474,469,5,0.09206082510917317,0.948,0.938,0.16782415046607532,0.108232643,0.001299125,0
1885,0.3875,15,0.25,0.4375,5,0.4292091950596279,115,36,474,469,5,0.09206082510917317,0.948,0.938,0.16782415046607532,0.09705368,0.000835921,0
1884,0.3875,15,0.25,0.4375,4,0.4292091950596279,115,36,474,469,5,0.09206082510917317,0.948,0.938,0.16782415046607532,0.100691037,0.000837435,0
1880,0.3875,15,0.25,0.25,5,0.4292091950596279,115,36,474,469,5,0.09206082510917317,0.948,0.938,0.16782415046607532,0.101482896,0.000869452,0
1890,0.3875,15,0.25,0.625,5,0.4292091950596279,115,36,474,469,5,0.09206082510917317,0.948,0.938,0.16782415046607532,0.141844289,0.000829998,0
1899,0.3875,15,0.25,1.0,4,0.4292091950596279,115,36,474,469,5,0.09206082510917317,0.948,0.938,0.16782415046607532,0.105757393,0.000880075,0
1895,0.3875,15,0.25,0.8125,5,0.4292091950596279,115,36,474,469,5,0.09206082510917317,0.948,0.938,0.16782415046607532,0.100731979,0.001044138,0
1879,0.3875,15,0.25,0.25,4,0.4292091950596279,115,36,474,469,5,0.09206082510917317,0.948,0.938,0.16782415046607532,0.1007048,0.000820705,0
1900,0.3875,15,0.25,1.0,5,0.4292091950596279,115,36,474,469,5,0.09206082510917317,0.948,0.938,0.16782415046607532,0.099349071,0.000790682,0
1888,0.3875,15,0.25,0.625,3,0.4292091950596279,115,35,471,469,2,0.0946836077748156,0.942,0.938,0.17207170607302633,0.103257004,0.000861391,0
1878,0.3875,15,0.25,0.25,3,0.4292091950596279,115,35,471,469,2,0.0946836077748156,0.942,0.938,0.17207170607302633,0.10002076,0.000828543,0
1883,0.3875,15,0.25,0.4375,3,0.4292091950596279,115,35,471,469,2,0.0946836077748156,0.942,0.938,0.17207170607302633,0.103504794,0.0008379909999999998,0
1893,0.3875,15,0.25,0.8125,3,0.4292091950596279,115,35,471,469,2,0.0946836077748156,0.942,0.938,0.17207170607302633,0.101522222,0.000864361,0
1898,0.3875,15,0.25,1.0,3,0.4292091950596279,115,35,471,469,2,0.0946836077748156,0.942,0.938,0.17207170607302633,0.10221992,0.001205599,0
1877,0.3875,15,0.25,0.25,2,0.4292091950596279,115,34,469,469,0,0.0977324109024118,0.938,0.938,0.17702062899931756,0.101032835,0.000839633,0
1892,0.3875,15,0.25,0.8125,2,0.4292091950596279,115,34,469,469,0,0.0977324109024118,0.938,0.938,0.17702062899931756,0.102418373,0.00082667,0
1886,0.3875,15,0.25,0.625,1,0.4292091950596279,115,34,469,469,0,0.0977324109024118,0.938,0.938,0.17702062899931756,0.103785479,0.000891299,0
1887,0.3875,15,0.25,0.625,2,0.4292091950596279,115,34,469,469,0,0.0977324109024118,0.938,0.938,0.17702062899931756,0.101354649,0.001124715,0
1882,0.3875,15,0.25,0.4375,2,0.4292091950596279,115,34,469,469,0,0.0977324109024118,0.938,0.938,0.17702062899931756,0.100992646,0.001090092,0
