experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  7.3553750688903435E-02,117,46,434,434,0,  3.9905960126456247E-01,  8.6799999999999999E-01,  8.6799999999999999E-01,  5.4675207630633815E-01,  1.2489783600000000E-01,  4.6071699999999997E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  7.3553750688903435E-02,117,50,438,434,4,  3.8100749572022918E-01,  8.7600000000000000E-01,  8.6799999999999999E-01,  5.3104308031144143E-01,  1.1557515000000000E-01,  4.1937900000000000E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  7.3553750688903435E-02,117,55,448,434,14,  3.6853379280774734E-01,  8.9600000000000002E-01,  8.6799999999999999E-01,  5.2225773677832321E-01,  1.1644595600000000E-01,  4.2985199999999999E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  7.3553750688903435E-02,117,59,460,434,26,  3.5867029368836190E-01,  9.2000000000000004E-01,  8.6799999999999999E-01,  5.1612471459153952E-01,  1.1330969900000000E-01,  5.6924999999999999E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  7.3553750688903435E-02,117,59,460,434,26,  3.5867029368836190E-01,  9.2000000000000004E-01,  8.6799999999999999E-01,  5.1612471459153952E-01,  1.1503697300000000E-01,  4.4771600000000002E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  7.3553750688903435E-02,117,46,434,434,0,  3.9905960126456247E-01,  8.6799999999999999E-01,  8.6799999999999999E-01,  5.4675207630633815E-01,  1.1198399200000000E-01,  4.1906700000000002E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  7.3553750688903435E-02,117,50,438,434,4,  3.8100749572022918E-01,  8.7600000000000000E-01,  8.6799999999999999E-01,  5.3104308031144143E-01,  1.1744113500000000E-01,  3.9972599999999999E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  7.3553750688903435E-02,117,55,448,434,14,  3.6853379280774734E-01,  8.9600000000000002E-01,  8.6799999999999999E-01,  5.2225773677832321E-01,  1.1997324400000001E-01,  4.5864700000000002E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  7.3553750688903435E-02,117,59,460,434,26,  3.5867029368836190E-01,  9.2000000000000004E-01,  8.6799999999999999E-01,  5.1612471459153952E-01,  1.1885289300000000E-01,  4.6026999999999998E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  7.3553750688903435E-02,117,59,460,434,26,  3.5867029368836190E-01,  9.2000000000000004E-01,  8.6799999999999999E-01,  5.1612471459153952E-01,  1.2630213400000001E-01,  4.6578800000000002E-04,0
11,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,1,  7.3553750688903435E-02,117,46,434,434,0,  3.9905960126456247E-01,  8.6799999999999999E-01,  8.6799999999999999E-01,  5.4675207630633815E-01,  1.1397665200000000E-01,  5.9516300000000001E-04,0
12,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,2,  7.3553750688903435E-02,117,50,438,434,4,  3.8100749572022918E-01,  8.7600000000000000E-01,  8.6799999999999999E-01,  5.3104308031144143E-01,  1.1606983600000000E-01,  4.5672300000000002E-04,0
