parameter,value,best_count,worst_count
mean_dist_quant,0.05,0,0
mean_dist_quant,0.1625,0,0
mean_dist_quant,0.275,0,0
mean_dist_quant,0.3875,30,0
mean_dist_quant,0.5,0,30
k_seeding,15.0,19,15
k_seeding,25.0,0,10
k_seeding,35.0,6,0
k_seeding,45.0,5,0
k_seeding,55.0,0,5
alpha_mad,0.25,0,30
alpha_mad,0.4375,0,0
alpha_mad,0.625,0,0
alpha_mad,0.8125,5,0
alpha_mad,1.0,25,0
alpha_accept,0.25,6,7
alpha_accept,0.4375,8,7
alpha_accept,0.625,7,5
alpha_accept,0.8125,5,6
alpha_accept,1.0,4,5
min_intersection,1.0,16,0
min_intersection,2.0,6,0
min_intersection,3.0,2,5
min_intersection,4.0,3,12
min_intersection,5.0,3,13
