experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
2612,0.5,15,1.0,0.625,2,0.3965702558025731,114,1,500,500,0,1.0,1.0,1.0,1.0,0.379596596,0.001712686,0
2621,0.5,15,1.0,1.0,1,0.3965702558025731,114,1,500,500,0,1.0,1.0,1.0,1.0,0.38270212,0.001140149,0
2620,0.5,15,1.0,0.8125,5,0.3965702558025731,114,1,500,500,0,1.0,1.0,1.0,1.0,0.384423945,0.001201951,0
2613,0.5,15,1.0,0.625,3,0.3965702558025731,114,1,500,500,0,1.0,1.0,1.0,1.0,0.379770315,0.001147149,0
2622,0.5,15,1.0,1.0,2,0.3965702558025731,114,1,500,500,0,1.0,1.0,1.0,1.0,0.383679407,0.001230823,0
2625,0.5,15,1.0,1.0,5,0.3965702558025731,114,1,500,500,0,1.0,1.0,1.0,1.0,0.383913761,0.001136083,0
2624,0.5,15,1.0,1.0,4,0.3965702558025731,114,1,500,500,0,1.0,1.0,1.0,1.0,0.378871451,0.001144181,0
2623,0.5,15,1.0,1.0,3,0.3965702558025731,114,1,500,500,0,1.0,1.0,1.0,1.0,0.385657796,0.00117823,0
2999,0.5,45,1.0,1.0,4,0.3965702558025731,54,1,500,500,0,1.0,1.0,1.0,1.0,0.177675625,0.001148802,0
2619,0.5,15,1.0,0.8125,4,0.3965702558025731,114,1,500,500,0,1.0,1.0,1.0,1.0,0.395171597,0.001141966,0
496,0.05,45,1.0,1.0,1,0.1215781253930312,51,2,500,500,0,1.0,1.0,1.0,1.0,0.149901725,0.000556029,0
495,0.05,45,1.0,0.8125,5,0.1215781253930312,51,2,500,500,0,1.0,1.0,1.0,1.0,0.151362671,0.000534482,0
3000,0.5,45,1.0,1.0,5,0.3965702558025731,54,1,500,500,0,1.0,1.0,1.0,1.0,0.1851027,0.001841935,0
497,0.05,45,1.0,1.0,2,0.1215781253930312,51,2,500,500,0,1.0,1.0,1.0,1.0,0.147770583,0.000550459,0
491,0.05,45,1.0,0.8125,1,0.1215781253930312,51,2,500,500,0,1.0,1.0,1.0,1.0,0.149078826,0.000531212,0
492,0.05,45,1.0,0.8125,2,0.1215781253930312,51,2,500,500,0,1.0,1.0,1.0,1.0,0.151443453,0.000540296,0
3118,0.5,55,1.0,0.8125,3,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.156283306,0.001129451,0
3119,0.5,55,1.0,0.8125,4,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.156337426,0.001269278,0
3120,0.5,55,1.0,0.8125,5,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.157171655,0.001192514,0
3121,0.5,55,1.0,1.0,1,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.158402496,0.001328854,0
3122,0.5,55,1.0,1.0,2,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.161511608,0.001429119,0
3123,0.5,55,1.0,1.0,3,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.158249826,0.001138733,0
3124,0.5,55,1.0,1.0,4,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.158221879,0.001177493,0
2607,0.5,15,1.0,0.4375,2,0.3965702558025731,114,1,500,500,0,1.0,1.0,1.0,1.0,0.376153766,0.001184469,0
3117,0.5,55,1.0,0.8125,2,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.157177998,0.001200072,0
3116,0.5,55,1.0,0.8125,1,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.159874482,0.001178526,0
3115,0.5,55,1.0,0.625,5,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.16295585,0.001197426,0
3114,0.5,55,1.0,0.625,4,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.15918517,0.001154694,0
3125,0.5,55,1.0,1.0,5,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.156356686,0.001142276,0
3106,0.5,55,1.0,0.4375,1,0.3965702558025731,48,1,500,500,0,1.0,1.0,1.0,1.0,0.157490892,0.001140432,0
