experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  1.2157812539303119E-01,112,24,460,460,0,  4.5844672515823331E-01,  9.2000000000000004E-01,  9.2000000000000004E-01,  6.1195108878387616E-01,  1.2710006800000001E-01,  5.0983400000000003E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  1.2157812539303119E-01,112,29,465,460,5,  4.2917083454118432E-01,  9.3000000000000005E-01,  9.2000000000000004E-01,  5.8731230244215105E-01,  1.2570949200000001E-01,  5.2618399999999996E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  1.2157812539303119E-01,112,30,467,460,7,  4.2513112162765065E-01,  9.3400000000000005E-01,  9.2000000000000004E-01,  5.8430339984372492E-01,  1.2263561700000000E-01,  5.5922299999999997E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  1.2157812539303119E-01,112,32,473,460,13,  4.1343398551142008E-01,  9.4599999999999995E-01,  9.2000000000000004E-01,  5.7539910648425940E-01,  1.2083044499999999E-01,  5.5989799999999997E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  1.2157812539303119E-01,112,34,481,460,21,  4.0287278722517772E-01,  9.6199999999999997E-01,  9.2000000000000004E-01,  5.6791171300081089E-01,  1.2181501400000000E-01,  5.6835299999999996E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  1.2157812539303119E-01,112,24,460,460,0,  4.5844672515823331E-01,  9.2000000000000004E-01,  9.2000000000000004E-01,  6.1195108878387616E-01,  1.2412934000000000E-01,  5.7923499999999999E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  1.2157812539303119E-01,112,29,465,460,5,  4.2917083454118432E-01,  9.3000000000000005E-01,  9.2000000000000004E-01,  5.8731230244215105E-01,  1.2421174100000000E-01,  6.1578900000000005E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  1.2157812539303119E-01,112,30,467,460,7,  4.2513112162765065E-01,  9.3400000000000005E-01,  9.2000000000000004E-01,  5.8430339984372492E-01,  1.2569423199999999E-01,  5.9431100000000004E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  1.2157812539303119E-01,112,32,473,460,13,  4.1343398551142008E-01,  9.4599999999999995E-01,  9.2000000000000004E-01,  5.7539910648425940E-01,  1.2639232500000000E-01,  5.6665299999999997E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  1.2157812539303119E-01,112,34,481,460,21,  4.0287278722517772E-01,  9.6199999999999997E-01,  9.2000000000000004E-01,  5.6791171300081089E-01,  1.2210548100000000E-01,  5.6961700000000002E-04,0
11,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,1,  1.2157812539303119E-01,112,24,460,460,0,  4.5844672515823331E-01,  9.2000000000000004E-01,  9.2000000000000004E-01,  6.1195108878387616E-01,  1.2375735600000000E-01,  5.1664199999999999E-04,0
