experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1150,0.1625,55,0.25,1.0,5,0.2028603377848033,47,15,457,446,11,0.34424466230377776,0.914,0.892,0.5001247066998318,0.054474766,0.000794406,0
1145,0.1625,55,0.25,0.8125,5,0.2028603377848033,47,15,457,446,11,0.34424466230377776,0.914,0.892,0.5001247066998318,0.056065398,0.001045601,0
1130,0.1625,55,0.25,0.25,5,0.2028603377848033,47,15,457,446,11,0.34424466230377776,0.914,0.892,0.5001247066998318,0.054698707,0.0007787719999999998,0
1135,0.1625,55,0.25,0.4375,5,0.2028603377848033,47,15,457,446,11,0.34424466230377776,0.914,0.892,0.5001247066998318,0.055393877,0.0007813619999999999,0
1140,0.1625,55,0.25,0.625,5,0.2028603377848033,47,15,457,446,11,0.34424466230377776,0.914,0.892,0.5001247066998318,0.052302158,0.000809041,0
1760,0.275,55,0.25,0.4375,5,0.2627537797554987,48,12,482,468,14,0.37785644700015,0.964,0.936,0.5429099598879876,0.059091081,0.000924374,0
1765,0.275,55,0.25,0.625,5,0.2627537797554987,48,12,482,468,14,0.37785644700015,0.964,0.936,0.5429099598879876,0.069378854,0.000980787,0
1770,0.275,55,0.25,0.8125,5,0.2627537797554987,48,12,482,468,14,0.37785644700015,0.964,0.936,0.5429099598879876,0.064182678,0.001057581,0
1755,0.275,55,0.25,0.25,5,0.2627537797554987,48,12,482,468,14,0.37785644700015,0.964,0.936,0.5429099598879876,0.056601104,0.001005559,0
1775,0.275,55,0.25,1.0,5,0.2627537797554987,48,12,482,468,14,0.37785644700015,0.964,0.936,0.5429099598879876,0.0563087,0.0009534770000000002,0
1005,0.1625,45,0.25,0.25,5,0.2028603377848033,51,13,467,455,12,0.391273763630114,0.934,0.91,0.5515082321248217,0.05567569,0.0007910569999999998,0
1020,0.1625,45,0.25,0.8125,5,0.2028603377848033,51,13,467,455,12,0.391273763630114,0.934,0.91,0.5515082321248217,0.058427769,0.000814473,0
1025,0.1625,45,0.25,1.0,5,0.2028603377848033,51,13,467,455,12,0.391273763630114,0.934,0.91,0.5515082321248217,0.0651101,0.000799784,0
1010,0.1625,45,0.25,0.4375,5,0.2028603377848033,51,13,467,455,12,0.391273763630114,0.934,0.91,0.5515082321248217,0.057676345,0.0007883089999999998,0
1015,0.1625,45,0.25,0.625,5,0.2028603377848033,51,13,467,455,12,0.391273763630114,0.934,0.91,0.5515082321248217,0.058662341,0.000792397,0
645,0.1625,15,0.25,0.8125,5,0.2028603377848033,117,20,494,484,10,0.39173426581356824,0.9880000000000002,0.968,0.5610260819254046,0.139894337,0.0008599569999999998,0
650,0.1625,15,0.25,1.0,5,0.2028603377848033,117,20,494,484,10,0.39173426581356824,0.9880000000000002,0.968,0.5610260819254046,0.134426168,0.000833452,0
630,0.1625,15,0.25,0.25,5,0.2028603377848033,117,20,494,484,10,0.39173426581356824,0.9880000000000002,0.968,0.5610260819254046,0.144414838,0.0008319729999999998,0
640,0.1625,15,0.25,0.625,5,0.2028603377848033,117,20,494,484,10,0.39173426581356824,0.9880000000000002,0.968,0.5610260819254046,0.138067656,0.000829334,0
635,0.1625,15,0.25,0.4375,5,0.2028603377848033,117,20,494,484,10,0.39173426581356824,0.9880000000000002,0.968,0.5610260819254046,0.136512737,0.000824091,0
775,0.1625,25,0.25,1.0,5,0.2028603377848033,81,17,487,474,13,0.39692991100615743,0.974,0.948,0.5640109391679337,0.090664429,0.000868285,0
755,0.1625,25,0.25,0.25,5,0.2028603377848033,81,17,487,474,13,0.39692991100615743,0.974,0.948,0.5640109391679337,0.08972413999999998,0.000812145,0
760,0.1625,25,0.25,0.4375,5,0.2028603377848033,81,17,487,474,13,0.39692991100615743,0.974,0.948,0.5640109391679337,0.09323987700000001,0.000844985,0
765,0.1625,25,0.25,0.625,5,0.2028603377848033,81,17,487,474,13,0.39692991100615743,0.974,0.948,0.5640109391679337,0.09074566,0.000846713,0
770,0.1625,25,0.25,0.8125,5,0.2028603377848033,81,17,487,474,13,0.39692991100615743,0.974,0.948,0.5640109391679337,0.091722133,0.000780985,0
890,0.1625,35,0.25,0.625,5,0.2028603377848033,65,18,464,457,7,0.40573455641150247,0.928,0.914,0.5646126008205558,0.073272339,0.000778617,0
885,0.1625,35,0.25,0.4375,5,0.2028603377848033,65,18,464,457,7,0.40573455641150247,0.928,0.914,0.5646126008205558,0.070898577,0.0008257899999999999,0
895,0.1625,35,0.25,0.8125,5,0.2028603377848033,65,18,464,457,7,0.40573455641150247,0.928,0.914,0.5646126008205558,0.072064442,0.000803861,0
900,0.1625,35,0.25,1.0,5,0.2028603377848033,65,18,464,457,7,0.40573455641150247,0.928,0.914,0.5646126008205558,0.07177974,0.000761154,0
880,0.1625,35,0.25,0.25,5,0.2028603377848033,65,18,464,457,7,0.40573455641150247,0.928,0.914,0.5646126008205558,0.076182831,0.0007950159999999998,0
