experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
3079,0.5,55,0.8125,0.25,4,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.08147158,0.0008331,0
3078,0.5,55,0.8125,0.25,3,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.08104301699999998,0.000824542,0
3109,0.5,55,1.0,0.4375,4,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.099966732,0.0007845149999999998,0
3108,0.5,55,1.0,0.4375,3,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.095115604,0.001017169,0
3107,0.5,55,1.0,0.4375,2,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.097809297,0.000872282,0
3106,0.5,55,1.0,0.4375,1,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.098445043,0.0007999189999999998,0
3105,0.5,55,1.0,0.25,5,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.100213231,0.000793568,0
3104,0.5,55,1.0,0.25,4,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.100440757,0.000952165,0
3103,0.5,55,1.0,0.25,3,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.100624758,0.000804906,0
3102,0.5,55,1.0,0.25,2,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.09950561,0.0008117359999999999,0
3101,0.5,55,1.0,0.25,1,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.099696447,0.000783817,0
3100,0.5,55,0.8125,1.0,5,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.07855688199999998,0.000787176,0
3099,0.5,55,0.8125,1.0,4,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.082145957,0.000808583,0
3098,0.5,55,0.8125,1.0,3,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.080852202,0.000771146,0
3097,0.5,55,0.8125,1.0,2,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.07987003299999998,0.000924324,0
3096,0.5,55,0.8125,1.0,1,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.078750612,0.000857433,0
3095,0.5,55,0.8125,0.8125,5,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.07873615,0.0008013659999999999,0
3094,0.5,55,0.8125,0.8125,4,0.35686445630775143,37,1,500,500,0,1.0,1.0,1.0,1.0,0.0807277,0.000829042,0
37,0.05,15,0.4375,0.625,2,0.12518727996943466,106,1,500,500,0,1.0,1.0,1.0,1.0,0.133870693,0.000587283,0
36,0.05,15,0.4375,0.625,1,0.12518727996943466,106,1,500,500,0,1.0,1.0,1.0,1.0,0.137050011,0.000516226,0
35,0.05,15,0.4375,0.4375,5,0.12518727996943466,106,1,500,500,0,1.0,1.0,1.0,1.0,0.134486358,0.000520969,0
34,0.05,15,0.4375,0.4375,4,0.12518727996943466,106,1,500,500,0,1.0,1.0,1.0,1.0,0.134864148,0.00052873,0
33,0.05,15,0.4375,0.4375,3,0.12518727996943466,106,1,500,500,0,1.0,1.0,1.0,1.0,0.134549505,0.000642617,0
32,0.05,15,0.4375,0.4375,2,0.12518727996943466,106,1,500,500,0,1.0,1.0,1.0,1.0,0.140185871,0.000535474,0
31,0.05,15,0.4375,0.4375,1,0.12518727996943466,106,1,500,500,0,1.0,1.0,1.0,1.0,0.134894127,0.000591745,0
30,0.05,15,0.4375,0.25,5,0.12518727996943466,106,1,500,500,0,1.0,1.0,1.0,1.0,0.137395754,0.000619054,0
29,0.05,15,0.4375,0.25,4,0.12518727996943466,106,1,500,500,0,1.0,1.0,1.0,1.0,0.134457973,0.000608758,0
28,0.05,15,0.4375,0.25,3,0.12518727996943466,106,1,500,500,0,1.0,1.0,1.0,1.0,0.131086112,0.000490317,0
27,0.05,15,0.4375,0.25,2,0.12518727996943466,106,1,500,500,0,1.0,1.0,1.0,1.0,0.134616472,0.000531534,0
26,0.05,15,0.4375,0.25,1,0.12518727996943466,106,1,500,500,0,1.0,1.0,1.0,1.0,0.141614846,0.000511027,0
