experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
2110,0.3875,25,1.0,0.4375,5,0.32509315088388363,83,1,500,500,0,1.0,1.0,1.0,1.0,0.19836133,0.000889238,0
2109,0.3875,25,1.0,0.4375,4,0.32509315088388363,83,1,500,500,0,1.0,1.0,1.0,1.0,0.208206316,0.001025345,0
2108,0.3875,25,1.0,0.4375,3,0.32509315088388363,83,1,500,500,0,1.0,1.0,1.0,1.0,0.19537314,0.000917025,0
2107,0.3875,25,1.0,0.4375,2,0.32509315088388363,83,1,500,500,0,1.0,1.0,1.0,1.0,0.201291871,0.000900651,0
2106,0.3875,25,1.0,0.4375,1,0.32509315088388363,83,1,500,500,0,1.0,1.0,1.0,1.0,0.195977549,0.000849709,0
2105,0.3875,25,1.0,0.25,5,0.32509315088388363,83,1,500,500,0,1.0,1.0,1.0,1.0,0.198786147,0.000913634,0
2104,0.3875,25,1.0,0.25,4,0.32509315088388363,83,1,500,500,0,1.0,1.0,1.0,1.0,0.210356527,0.000914018,0
3076,0.5,55,0.8125,0.25,1,0.37478700621004574,43,1,500,500,0,1.0,1.0,1.0,1.0,0.094470238,0.000916398,0
3071,0.5,55,0.625,1.0,1,0.37478700621004574,43,1,500,500,0,1.0,1.0,1.0,1.0,0.101136662,0.000995953,0
3066,0.5,55,0.625,0.8125,1,0.37478700621004574,43,1,500,500,0,1.0,1.0,1.0,1.0,0.10276793,0.000901295,0
2353,0.3875,45,1.0,0.25,3,0.32509315088388363,53,1,500,500,0,1.0,1.0,1.0,1.0,0.129771194,0.001455907,0
2352,0.3875,45,1.0,0.25,2,0.32509315088388363,53,1,500,500,0,1.0,1.0,1.0,1.0,0.126676897,0.0009029690000000002,0
3091,0.5,55,0.8125,0.8125,1,0.37478700621004574,43,1,500,500,0,1.0,1.0,1.0,1.0,0.095635174,0.000917341,0
3086,0.5,55,0.8125,0.625,1,0.37478700621004574,43,1,500,500,0,1.0,1.0,1.0,1.0,0.098677118,0.000996957,0
3081,0.5,55,0.8125,0.4375,1,0.37478700621004574,43,1,500,500,0,1.0,1.0,1.0,1.0,0.094142923,0.00107081,0
2103,0.3875,25,1.0,0.25,3,0.32509315088388363,83,1,500,500,0,1.0,1.0,1.0,1.0,0.200226874,0.00108658,0
2102,0.3875,25,1.0,0.25,2,0.32509315088388363,83,1,500,500,0,1.0,1.0,1.0,1.0,0.211343092,0.0008911029999999999,0
2621,0.5,15,1.0,1.0,1,0.37478700621004574,116,1,500,500,0,1.0,1.0,1.0,1.0,0.293754868,0.000959851,0
2616,0.5,15,1.0,0.8125,1,0.37478700621004574,116,1,500,500,0,1.0,1.0,1.0,1.0,0.288734429,0.000882548,0
2101,0.3875,25,1.0,0.25,1,0.32509315088388363,83,1,500,500,0,1.0,1.0,1.0,1.0,0.216086729,0.001009994,0
3116,0.5,55,1.0,0.8125,1,0.37478700621004574,43,1,500,500,0,1.0,1.0,1.0,1.0,0.097189483,0.0008990969999999999,0
3111,0.5,55,1.0,0.625,1,0.37478700621004574,43,1,500,500,0,1.0,1.0,1.0,1.0,0.097363729,0.000982789,0
2496,0.3875,55,1.0,1.0,1,0.32509315088388363,43,1,500,500,0,1.0,1.0,1.0,1.0,0.108672062,0.000879326,0
2491,0.3875,55,1.0,0.8125,1,0.32509315088388363,43,1,500,500,0,1.0,1.0,1.0,1.0,0.109772194,0.000919979,0
2486,0.3875,55,1.0,0.625,1,0.32509315088388363,43,1,500,500,0,1.0,1.0,1.0,1.0,0.10704142,0.000902554,0
2481,0.3875,55,1.0,0.4375,1,0.32509315088388363,43,1,500,500,0,1.0,1.0,1.0,1.0,0.114362715,0.0008680279999999999,0
2476,0.3875,55,1.0,0.25,1,0.32509315088388363,43,1,500,500,0,1.0,1.0,1.0,1.0,0.106635432,0.000942374,0
2375,0.3875,45,1.0,1.0,5,0.32509315088388363,53,1,500,500,0,1.0,1.0,1.0,1.0,0.130860792,0.0008663139999999999,0
2374,0.3875,45,1.0,1.0,4,0.32509315088388363,53,1,500,500,0,1.0,1.0,1.0,1.0,0.12855777,0.0008751069999999999,0
2373,0.3875,45,1.0,1.0,3,0.32509315088388363,53,1,500,500,0,1.0,1.0,1.0,1.0,0.128940806,0.000930652,0
