experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
1,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,1,  1.2547281605936172E-01,124,22,486,486,0,  3.8138584985263280E-01,  9.7199999999999998E-01,  9.7199999999999998E-01,  5.4782166681752220E-01,  1.3304606799999999E-01,  6.4555600000000004E-04,0
2,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,2,  1.2547281605936172E-01,124,22,486,486,0,  3.8138584985263280E-01,  9.7199999999999998E-01,  9.7199999999999998E-01,  5.4782166681752220E-01,  1.3327436300000001E-01,  6.4806200000000003E-04,0
3,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,3,  1.2547281605936172E-01,124,25,492,486,6,  3.3710449134064968E-01,  9.8399999999999999E-01,  9.7199999999999998E-01,  5.0217196543262221E-01,  1.3285690200000000E-01,  6.8265700000000003E-04,0
4,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,4,  1.2547281605936172E-01,124,27,498,486,12,  2.9365623885274045E-01,  9.9600000000000000E-01,  9.7199999999999998E-01,  4.5358073738706817E-01,  1.3207930000000001E-01,  6.3288999999999999E-04,0
5,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  2.5000000000000000E-01,5,  1.2547281605936172E-01,124,28,502,486,16,  2.9070096622594355E-01,  1.0040000000000000E+00,  9.7199999999999998E-01,  4.5085896698081707E-01,  1.3186492699999999E-01,  6.2761800000000003E-04,0
6,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,1,  1.2547281605936172E-01,124,22,486,486,0,  3.8138584985263280E-01,  9.7199999999999998E-01,  9.7199999999999998E-01,  5.4782166681752220E-01,  1.2857208200000000E-01,  6.3187499999999995E-04,0
7,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,2,  1.2547281605936172E-01,124,22,486,486,0,  3.8138584985263280E-01,  9.7199999999999998E-01,  9.7199999999999998E-01,  5.4782166681752220E-01,  1.3168609800000000E-01,  6.5155300000000003E-04,0
8,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,3,  1.2547281605936172E-01,124,25,492,486,6,  3.3710449134064968E-01,  9.8399999999999999E-01,  9.7199999999999998E-01,  5.0217196543262221E-01,  1.2948216900000001E-01,  6.3986999999999996E-04,0
9,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,4,  1.2547281605936172E-01,124,27,498,486,12,  2.9365623885274045E-01,  9.9600000000000000E-01,  9.7199999999999998E-01,  4.5358073738706817E-01,  1.3303720499999999E-01,  7.4172400000000003E-04,0
10,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  4.3750000000000000E-01,5,  1.2547281605936172E-01,124,28,502,486,16,  2.9070096622594355E-01,  1.0040000000000000E+00,  9.7199999999999998E-01,  4.5085896698081707E-01,  1.2935637600000000E-01,  6.7490599999999997E-04,0
11,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,1,  1.2547281605936172E-01,124,22,486,486,0,  3.8138584985263280E-01,  9.7199999999999998E-01,  9.7199999999999998E-01,  5.4782166681752220E-01,  1.2989225500000001E-01,  6.1717599999999999E-04,0
12,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,2,  1.2547281605936172E-01,124,22,486,486,0,  3.8138584985263280E-01,  9.7199999999999998E-01,  9.7199999999999998E-01,  5.4782166681752220E-01,  1.3035129200000001E-01,  6.3341999999999999E-04,0
13,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,3,  1.2547281605936172E-01,124,25,492,486,6,  3.3710449134064968E-01,  9.8399999999999999E-01,  9.7199999999999998E-01,  5.0217196543262221E-01,  1.3307461300000001E-01,  6.4325700000000005E-04,0
14,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,4,  1.2547281605936172E-01,124,27,498,486,12,  2.9365623885274045E-01,  9.9600000000000000E-01,  9.7199999999999998E-01,  4.5358073738706817E-01,  1.3639371700000000E-01,  6.4603700000000002E-04,0
15,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  6.2500000000000000E-01,5,  1.2547281605936172E-01,124,28,502,486,16,  2.9070096622594355E-01,  1.0040000000000000E+00,  9.7199999999999998E-01,  4.5085896698081707E-01,  1.3146231100000000E-01,  6.8390400000000004E-04,0
16,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,1,  1.2547281605936172E-01,124,22,486,486,0,  3.8138584985263280E-01,  9.7199999999999998E-01,  9.7199999999999998E-01,  5.4782166681752220E-01,  1.3357988100000001E-01,  5.9803999999999999E-04,0
17,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,2,  1.2547281605936172E-01,124,22,486,486,0,  3.8138584985263280E-01,  9.7199999999999998E-01,  9.7199999999999998E-01,  5.4782166681752220E-01,  1.3220913700000000E-01,  6.4446299999999996E-04,0
18,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,3,  1.2547281605936172E-01,124,25,492,486,6,  3.3710449134064968E-01,  9.8399999999999999E-01,  9.7199999999999998E-01,  5.0217196543262221E-01,  1.2854885999999999E-01,  8.0849800000000005E-04,0
19,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,4,  1.2547281605936172E-01,124,27,498,486,12,  2.9365623885274045E-01,  9.9600000000000000E-01,  9.7199999999999998E-01,  4.5358073738706817E-01,  1.2973966000000001E-01,  6.7403400000000000E-04,0
20,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  8.1250000000000000E-01,5,  1.2547281605936172E-01,124,28,502,486,16,  2.9070096622594355E-01,  1.0040000000000000E+00,  9.7199999999999998E-01,  4.5085896698081707E-01,  1.3336499900000001E-01,  6.7958400000000000E-04,0
21,  5.0000000000000003E-02,15,  2.5000000000000000E-01,  1.0000000000000000E+00,1,  1.2547281605936172E-01,124,22,486,486,0,  3.8138584985263280E-01,  9.7199999999999998E-01,  9.7199999999999998E-01,  5.4782166681752220E-01,  1.3675657599999999E-01,  5.9936099999999997E-04,0
