vector_index,x,y,is_seed,n_memberships,cluster_id
1,  0.0000000000000000E+00, -2.6420210975648451E-03,1,1,14
2,  2.0080321285140560E-03, -3.6275956573019595E-02,0,0,0
3,  4.0160642570281121E-03, -5.7578680822367341E-03,0,1,14
4,  6.0240963855421681E-03,  6.9226730972500317E-02,0,0,0
5,  8.0321285140562242E-03,  1.1829278943055357E-01,0,1,4
6,  1.0040160642570281E-02,  6.5719307754226436E-02,0,0,0
7,  1.2048192771084336E-02,  3.2234242219910253E-02,0,0,0
8,  1.4056224899598391E-02,  1.4795339142355099E-01,0,0,0
9,  1.6064257028112448E-02,  7.1015962121031215E-03,0,0,0
10,  1.8072289156626505E-02,  1.1861812538260558E-01,0,1,4
11,  2.0080321285140562E-02,  1.7115618702178835E-02,0,0,0
12,  2.2088353413654616E-02,  7.8658543468180686E-02,0,1,4
13,  2.4096385542168672E-02,  3.9107765901101224E-02,0,0,0
14,  2.6104417670682729E-02,  4.7740660729140592E-02,0,0,0
15,  2.8112449799196783E-02,  2.6033978201416771E-02,0,0,0
16,  3.0120481927710840E-02,  1.6782928634987723E-01,0,1,4
17,  3.2128514056224897E-02,  5.6229450637669889E-03,0,0,0
18,  3.4136546184738950E-02,  9.0545121655812300E-03,0,0,0
19,  3.6144578313253010E-02,  2.4196864189411477E-01,1,1,11
20,  3.8152610441767064E-02,  1.5453302605588065E-01,0,1,4
21,  4.0160642570281124E-02, -1.1048781075488068E-01,0,0,0
22,  4.2168674698795178E-02,  3.9116650260758064E-02,0,0,0
23,  4.4176706827309231E-02, -5.6605733350345883E-02,0,0,0
24,  4.6184738955823292E-02,  1.6314222438426174E-02,0,0,0
25,  4.8192771084337345E-02, -1.5469563113004853E-01,1,1,18
26,  5.0200803212851398E-02,  8.9442440210187407E-02,0,1,4
27,  5.2208835341365459E-02,  1.3062325149825998E-02,0,0,0
28,  5.4216867469879512E-02,  1.1322615548347409E-01,0,1,4
29,  5.6224899598393566E-02, -1.7559901513814841E-02,0,1,14
30,  5.8232931726907626E-02,  1.2309881170757844E-01,0,1,4
31,  6.0240963855421679E-02,  8.7288625461217184E-02,0,1,4
32,  6.2248995983935740E-02,  2.4465422918295915E-01,0,1,4
33,  6.4257028112449793E-02,  2.4142260516454958E-01,0,1,4
34,  6.6265060240963847E-02,  1.9535776872275035E-01,0,1,4
35,  6.8273092369477900E-02,  1.1041708228605879E-01,0,1,4
36,  7.0281124497991967E-02,  2.9939268061680741E-01,0,1,11
37,  7.2289156626506021E-02,  2.0335491025826394E-02,0,0,0
38,  7.4297188755020074E-02,  3.6309687144947131E-02,0,0,0
39,  7.6305220883534128E-02,  1.4590779377594310E-01,0,1,4
40,  7.8313253012048181E-02,  3.3694955473778587E-01,0,0,0
