experiment_id,mean_dist_quant,k_seeding,alpha_mad,alpha_accept,min_intersection,radius,n_seeds,n_ensembles,n_clustered_memberships,n_unique_clustered,n_overlap_memberships,internal_coherence,coverage,unique_coverage,clustering_quality,clustering_seconds,quality_seconds,ierr
510,0.05,55,0.25,0.4375,5,0.12547281605936172,46,19,445,433,12,0.2740532146035816,0.89,0.866,0.419065654279818,0.045525017,0.000589861,0
515,0.05,55,0.25,0.625,5,0.12547281605936172,46,19,445,433,12,0.2740532146035816,0.89,0.866,0.419065654279818,0.046706703,0.000586258,0
520,0.05,55,0.25,0.8125,5,0.12547281605936172,46,19,445,433,12,0.2740532146035816,0.89,0.866,0.419065654279818,0.045295219,0.000613287,0
505,0.05,55,0.25,0.25,5,0.12547281605936172,46,19,445,433,12,0.2740532146035816,0.89,0.866,0.419065654279818,0.045731323,0.000587622,0
525,0.05,55,0.25,1.0,5,0.12547281605936172,46,19,445,433,12,0.2740532146035816,0.89,0.866,0.419065654279818,0.053696929,0.000914349,0
380,0.05,45,0.25,0.25,5,0.12547281605936172,55,21,478,464,14,0.2785403923471691,0.956,0.928,0.4313906887689924,0.059719641,0.000645317,0
395,0.05,45,0.25,0.8125,5,0.12547281605936172,55,21,478,464,14,0.2785403923471691,0.956,0.928,0.4313906887689924,0.057594128,0.00067721,0
400,0.05,45,0.25,1.0,5,0.12547281605936172,55,21,478,464,14,0.2785403923471691,0.956,0.928,0.4313906887689924,0.066078182,0.000694529,0
390,0.05,45,0.25,0.625,5,0.12547281605936172,55,21,478,464,14,0.2785403923471691,0.956,0.928,0.4313906887689924,0.057556759,0.000611012,0
385,0.05,45,0.25,0.4375,5,0.12547281605936172,55,21,478,464,14,0.2785403923471691,0.956,0.928,0.4313906887689924,0.058417949,0.000621804,0
20,0.05,15,0.25,0.8125,5,0.12547281605936172,124,28,502,486,16,0.29070096622594355,1.004,0.972,0.45085896698081707,0.133364999,0.000679584,0
10,0.05,15,0.25,0.4375,5,0.12547281605936172,124,28,502,486,16,0.29070096622594355,1.004,0.972,0.45085896698081707,0.129356376,0.000674906,0
5,0.05,15,0.25,0.25,5,0.12547281605936172,124,28,502,486,16,0.29070096622594355,1.004,0.972,0.45085896698081707,0.131864927,0.000627618,0
25,0.05,15,0.25,1.0,5,0.12547281605936172,124,28,502,486,16,0.29070096622594355,1.004,0.972,0.45085896698081707,0.13193981,0.000622701,0
15,0.05,15,0.25,0.625,5,0.12547281605936172,124,28,502,486,16,0.29070096622594355,1.004,0.972,0.45085896698081707,0.131462311,0.000683904,0
19,0.05,15,0.25,0.8125,4,0.12547281605936172,124,27,498,486,12,0.29365623885274045,0.996,0.972,0.45358073738706817,0.12973966,0.000674034,0
9,0.05,15,0.25,0.4375,4,0.12547281605936172,124,27,498,486,12,0.29365623885274045,0.996,0.972,0.45358073738706817,0.133037205,0.000741724,0
14,0.05,15,0.25,0.625,4,0.12547281605936172,124,27,498,486,12,0.29365623885274045,0.996,0.972,0.45358073738706817,0.136393717,0.000646037,0
24,0.05,15,0.25,1.0,4,0.12547281605936172,124,27,498,486,12,0.29365623885274045,0.996,0.972,0.45358073738706817,0.130046721,0.000692744,0
4,0.05,15,0.25,0.25,4,0.12547281605936172,124,27,498,486,12,0.29365623885274045,0.996,0.972,0.45358073738706817,0.1320793,0.00063289,0
508,0.05,55,0.25,0.4375,3,0.12547281605936172,46,18,441,433,8,0.3136108311030565,0.882,0.866,0.4627003132410628,0.047272719,0.000599042,0
519,0.05,55,0.25,0.8125,4,0.12547281605936172,46,18,441,433,8,0.3136108311030565,0.882,0.866,0.4627003132410628,0.045950881,0.000606092,0
509,0.05,55,0.25,0.4375,4,0.12547281605936172,46,18,441,433,8,0.3136108311030565,0.882,0.866,0.4627003132410628,0.046402964,0.00059451,0
503,0.05,55,0.25,0.25,3,0.12547281605936172,46,18,441,433,8,0.3136108311030565,0.882,0.866,0.4627003132410628,0.045185044,0.000595991,0
513,0.05,55,0.25,0.625,3,0.12547281605936172,46,18,441,433,8,0.3136108311030565,0.882,0.866,0.4627003132410628,0.046207816,0.000582405,0
504,0.05,55,0.25,0.25,4,0.12547281605936172,46,18,441,433,8,0.3136108311030565,0.882,0.866,0.4627003132410628,0.045992448,0.000690007,0
523,0.05,55,0.25,1.0,3,0.12547281605936172,46,18,441,433,8,0.3136108311030565,0.882,0.866,0.4627003132410628,0.046632083,0.00063566,0
524,0.05,55,0.25,1.0,4,0.12547281605936172,46,18,441,433,8,0.3136108311030565,0.882,0.866,0.4627003132410628,0.046304481,0.00062213,0
514,0.05,55,0.25,0.625,4,0.12547281605936172,46,18,441,433,8,0.3136108311030565,0.882,0.866,0.4627003132410628,0.045931674,0.000654766,0
518,0.05,55,0.25,0.8125,3,0.12547281605936172,46,18,441,433,8,0.3136108311030565,0.882,0.866,0.4627003132410628,0.052883545,0.00061909,0
